Morph-lemma,Morph-inflection,Occurrence
係,係,60613
我,我,45295
一,一,42366
唔,唔,35972
嘅,嘅,30560
個,個,27601
有,有,27543
人,人,27163
都,都,25886
好,好,25362
你,你,24376
佢,佢,21661
到,到,19688
就,就,18521
既,既,18314
咁,咁,17190
會,會,16127
同,同,15420
大,大,15278
呢,呢,15030
以,以,14658
得,得,13493
無,無,12998
要,要,12896
不,不,12709
可,可,11816
然,然,11416
去,去,11115
講,講,11096
過,過,10812
地,地,10549
但,但,10232
話,話,10232
多,多,10116
為,為,9855
出,出,9842
後,後,9790
自,自,9758
時,時,9672
下,下,9195
家,家,9172
上,上,8997
咗,咗,8741
點,點,8697
又,又,8686
真,真,8663
之,之,8450
果,果,8023
知,知,7959
做,做,7827
生,生,7740
而,而,7582
啦,啦,7316
日,日,7292
經,經,7247
住,住,7234
啲,啲,7152
左,左,7152
中,中,7128
可以,可以,7083
如,如,7075
面,面,7010
的,的,6894
咩,咩,6835
心,心,6792
幾,幾,6715
其,其,6714
成,成,6518
事,事,6510
想,想,6368
開,開,6337
所,所,6301
對,對,6296
樣,樣,6265
喺,喺,6194
真係,真係,6193
己,己,6192
實,實,6180
呀,呀,6171
文,文,6096
睇,睇,6093
年,年,6090
自己,自己,6036
用,用,5852
先,先,5772
唔係,唔係,5725
只,只,5696
仲,仲,5492
已,已,5488
學,學,5471
度,度,5417
最,最,5417
意,意,5411
當,當,5292
女,女,5278
於,於,5134
入,入,5075
再,再,5036
但係,但係,5023
定,定,4978
嚟,嚟,4961
頭,頭,4867
已經,已經,4866
問,問,4818
見,見,4818
本,本,4799
是,是,4753
發,發,4711
呢個,呢個,4696
港,港,4647
間,間,4627
來,來,4598
能,能,4597
行,行,4591
手,手,4519
因,因,4492
哋,哋,4313
老,老,4309
邊,邊,4299
仔,仔,4291
都係,都係,4280
解,解,4278
黎,黎,4265
似,似,4222
分,分,4214
覺,覺,4200
次,次,4190
返,返,4172
打,打,4162
冇,冇,4072
嘢,嘢,4063
少,少,4049
香,香,4007
道,道,3988
前,前,3969
法,法,3955
完,完,3942
明,明,3942
身,身,3891
食,食,3844
就係,就係,3831
者,者,3819
起,起,3815
理,理,3790
聲,聲,3781
方,方,3734
埋,埋,3684
全,全,3679
情,情,3604
正,正,3591
亦,亦,3589
香港,香港,3579
兩,兩,3576
依,依,3537
即,即,3532
語,語,3514
野,野,3509
小,小,3501
其實,其實,3483
國,國,3465
俾,俾,3462
應,應,3461
如果,如果,3446
落,落,3436
力,力,3390
叫,叫,3364
三,三,3346
十,十,3337
阿,阿,3332
因為,因為,3329
諗,諗,3313
至,至,3312
現,現,3293
死,死,3290
口,口,3226
世,世,3223
相,相,3221
望,望,3185
作,作,3182
咪,咪,3182
公,公,3110
在,在,3086
聽,聽,3047
識,識,3026
算,算,3013
友,友,3012
架,架,2971
今,今,2960
機,機,2929
水,水,2927
字,字,2894
嗰,嗰,2886
未,未,2885
天,天,2866
好似,好似,2849
依家,依家,2840
唔好,唔好,2818
所以,所以,2812
動,動,2787
走,走,2743
覺得,覺得,2716
重,重,2714
加,加,2708
大家,大家,2700
笑,笑,2700
條,條,2690
種,種,2685
變,變,2677
緊,緊,2671
通,通,2655
子,子,2644
將,將,2630
等,等,2628
高,高,2616
哈,哈,2613
好多,好多,2607
電,電,2607
寫,寫,2599
外,外,2598
工,工,2567
或,或,2565
題,題,2555
不過,不過,2536
只係,只係,2506
唔知,唔知,2504
可能,可能,2485
更,更,2479
直,直,2478
然後,然後,2457
他,他,2446
主,主,2444
