Morph-lemma,Morph-inflection
de,de
a,a
el,la
el,el
que,que
i,i
de,d
el,els
per,per
en,en
haver,ha
el,les
un,un
amb,amb
un,una
no,no
ser,és
el,l
anar,va
se,es
més,més
com,com
el,El
el,La
hi,hi
però,però
aquest,aquest
haver,han
també,també
ser,ser
tot,tot
o,o
en,En
fer,fer
ja,ja
anar,van
seu,seva
any,anys
el,ls
molt,molt
perquè,perquè
seu,seu
a,A
per,p
fins,fins
ser,són
cap,cap
si,si
entre,entre
el,Els
aquest,aquesta
i,I
des,des
fer,fa
això,això
sobre,sobre
quan,quan
per,Per
ara,ara
després,després
ho,ho
tenir,té
estar,està
on,on
dos,dos
fet,fet
què,què
ser,estat
poder,pot
part,part
durant,durant
no,No
li,li
només,només
ser,És
nos,ens
persona,persones
cas,cas
sense,sense
el,Les
haver,havia
encara,encara
manera,manera
ser,era
contra,contra
tot,tots
mateix,mateix
govern,govern
dia,dia
però,Però
gran,gran
altre,altres
seu,seus
tres,tres
primer,primer
tenir,tenir
de,De
un,Un
dir,dir
moment,moment
se,se
país,país
tant,tant
temps,temps
fer,fet
president,president
nou,nou
bé,bé
primer,primera
segons,segons
lo,els
dia,dies
qui,qui
cada,cada
dos,dues
abans,abans
ni,ni
si,Si
dir,dit
poder,poder
ser,serà
gent,gent
tenir,tenen
també,També
un,uns
dir,diu
setmana,setmana
banda,banda
milió,milions
veure,veure
un,Una
vida,vida
sempre,sempre
així,Així
segons,Segons
any,any
aquest,Aquest
així,així
espanyol,espanyol
món,món
qual,qual
partit,partit
situació,situació
ara,Ara
amb,Amb
canvi,canvi
estar,estan
passat,passat
aquest,aquests
cosa,cosa
poder,poden
lloc,lloc
me,em
hora,hores
mes,mesos
tan,tan
haver,hem
tot,Tot
seu,seves
català,català
nou,nova
tot,totes
davant,davant
sentit,sentit
projecte,projecte
arribar,arribar
cop,cop
euro,euros
mentre,mentre
molt,molts
ciutat,ciutat
menys,menys
sinó,sinó
punt,punt
lo,el
quatre,quatre
diferent,diferents
millor,millor
voler,vol
caldre,cal
donar,donar
se,Es
públic,públic
com,Com
final,final
sí,sí
això,Això
haver,haver
aquest,Aquesta
ser,sigui
mes,mes
tot,tota
casa,casa
general,general
explicar,explica
lo,la
aquest,aquestes
altre,altra
grup,grup
partir,partir
hi,Hi
gran,grans
col,col
anar,vaig
total,total
guerra,guerra
ne,en
començar,començar
suport,suport
llei,llei
anar,anar
important,important
vegada,vegada
mai,mai
al,Al
pandèmia,pandèmia
través,través
cosa,coses
feina,feina
res,res
explicar,explicat
passar,passar
altre,altre
mateixa,mateixa
pas,pas
un,unes
quan,Quan
dada,dades
dins,dins
molt,moltes
cinc,cinc
majoria,majoria
des,Des
posar,posar
qual,quals
cas,casos
història,història
fer,fan
poc,poc
