Morph-lemma,Morph-inflection
的,的
在,在
是,是
了,了
和,和
一,一
有,有
不,不
也,也
中,中
他,他
人,人
要,要
都,都
上,上
就,就
但,但
我,我
到,到
为,为
被,被
疫情,疫情
等,等
而,而
以,以
工作,工作
多,多
对,对
更,更
新,新
及,及
我们,我们
能,能
表示,表示
这,这
已,已
大,大
与,与
自己,自己
说,说
最,最
一个,一个
把,把
地,地
会,会
之,之
个,个
年,年
政府,政府
将,将
又,又
可以,可以
从,从
着,着
她,她
病毒,病毒
干部,干部
让,让
名,名
人民,人民
得,得
或,或
发展,发展
下,下
向,向
很,很
没有,没有
还,还
好,好
其,其
可能,可能
后,后
去,去
你,你
後,後
需要,需要
他们,他们
问题,问题
就是,就是
做,做
两,两
由,由
用,用
可,可
要求,要求
個,個
再,再
公司,公司
會,會
时,时
提供,提供
生活,生活
所,所
月,月
国家,国家
社会,社会
来,来
群众,群众
前,前
重要,重要
高,高
目前,目前
包括,包括
并,并
亦,亦
為,為
次,次
以及,以及
如果,如果
里,里
曾,曾
中心,中心
未,未
安全,安全
作为,作为
想,想
政治,政治
全,全
三,三
因,因
党,党
其他,其他
才,才
这个,这个
给,给
进行,进行
精神,精神
不是,不是
第一,第一
今年,今年
措施,措施
经济,经济
一些,一些
党员,党员
看,看
过,过
那,那
其中,其中
至,至
世界,世界
小,小
各,各
仍,仍
月日,月日
希望,希望
全面,全面
组织,组织
建设,建设
每,每
人员,人员
指,指
感染,感染
已经,已经
並,並
防控,防控
时间,时间
坚持,坚持
因为,因为
只,只
能力,能力
位,位
警方,警方
方面,方面
所有,所有
领导,领导
支持,支持
通过,通过
很多,很多
这些,这些
指出,指出
它,它
这样,这样
接受,接受
保持,保持
天,天
成为,成为
與,與
使用,使用
健康,健康
不断,不断
服务,服务
种,种
只有,只有
政策,政策
因此,因此
情况,情况
肺炎,肺炎
對,對
非常,非常
研究,研究
中央,中央
任何,任何
实现,实现
人士,人士
却,却
思想,思想
教育,教育
一直,一直
病例,病例
出,出
企业,企业
大家,大家
地方,地方
学习,学习
基层,基层
所以,所以
才能,才能
四,四
令,令
还是,还是
太,太
時,時
努力,努力
但是,但是
經,經
比,比
事,事
口罩,口罩
方式,方式
主要,主要
必须,必须
同时,同时
知道,知道
於,於
提高,提高
现在,现在
增加,增加
沒有,沒有
正,正
该,该
新冠,新冠
全国,全国
看到,看到
提出,提出
起,起
第二,第二
开始,开始
加强,加强
死亡,死亡
全球,全球
受,受
確診,確診
落实,落实
什么,什么
正在,正在
几,几
一定,一定
甚至,甚至
使,使
像,像
來,來
有人,有人
部分,部分
影響,影響
情況,情況
历史,历史
公共,公共
解决,解决
这是,这是
不同,不同
患者,患者
行动,行动
做好,做好
时候,时候
事件,事件
們,們
力量,力量
宣布,宣布
总书记,总书记
是否,是否
完成,完成
保障,保障
影响,影响
制度,制度
管理,管理
另,另
不少,不少
发现,发现
这种,这种
没,没
跟,跟
檢測,檢測
为了,为了
而且,而且
于,于
文化,文化
作用,作用
家,家
了解,了解
服務,服務
活动,活动
出现,出现
做到,做到
他們,他們
市民,市民
這,這
美國,美國
当,当
如,如
城市,城市
得到,得到
任务,任务
推动,推动
民族,民族
打,打
進行,進行
认为,认为
此,此
防疫,防疫
合作,合作
责任,责任
走,走
地区,地区
說,說
居民,居民
提升,提升
如何,如何
起来,起来
安排,安排
信息,信息
過,過
即,即
另外,另外
推进,推进
存在,存在
脱贫,脱贫
受到,受到
担当,担当
中國,中國
便,便
去年,去年
二,二
活動,活動
認為,認為
有效,有效
相信,相信
人们,人们
代表,代表
对于,对于
冠肺,冠肺
孩子,孩子
环境,环境
時間,時間
生命,生命
家庭,家庭
控制,控制
國家,國家
出現,出現
真正,真正
間,間
更加,更加
造成,造成
还有,还有
成功,成功
抗疫,抗疫
民眾,民眾
只是,只是
消息,消息
发生,发生
重大,重大
则,则
部门,部门
員,員
积极,积极
应该,应该
开展,开展
目标,目标
呢,呢
社会主义,社会主义
成,成
吃,吃
法律,法律
场,场
改革,改革
能够,能够
疫苗,疫苗
之前,之前
时代,时代
基本,基本
社區,社區
調查,調查
建立,建立
医院,医院
平台,平台
發現,發現
市场,市场
创新,创新
男子,男子
关系,关系
國,國
虽然,虽然
广大,广大
經濟,經濟
本,本
學生,學生
根據,根據
今日,今日
相關,相關
先,先
同,同
一起,一起
技术,技术
開始,開始
内,内
公布,公布
今天,今天
作出,作出
充分,充分
面对,面对
取得,取得
以来,以来
計劃,計劃
不仅,不仅
意识,意识
关键,关键
人生,人生
基础,基础
始终,始终
不要,不要
科技,科技
形成,形成
均,均
五,五
发挥,发挥
低,低
深入,深入
万,万
除了,除了
特朗普,特朗普
特色,特色
出来,出来
限制,限制
顯示,顯示
共同,共同
原因,原因
事情,事情
水平,水平
生产,生产
直接,直接
內,內
場,場
那些,那些
实际,实际
国际,国际
个人,个人
质量,质量
一切,一切
许多,许多
根本,根本
段,段
继续,继续
一样,一样
年月,年月
科学,科学
發生,發生
病人,病人
完全,完全
利益,利益
繼續,繼續
社交,社交
份,份
還,還
新型,新型
近,近
下午,下午
过程,过程
主席,主席
最后,最后
伟大,伟大
新时代,新时代
之后,之后
行为,行为
結果,結果
产业,产业
同時,同時
相关,相关
既,既
利用,利用
期間,期間
數,數
仍然,仍然
而是,而是
卫生,卫生
若,若
帮助,帮助
案件,案件
奋斗,奋斗
重新,重新
推出,推出
坚定,坚定
近日,近日
該,該
使命,使命
进入,进入
那么,那么
分析,分析
监督,监督
通過,通過
增强,增强
大学,大学
由于,由于
如此,如此
萬,萬
困难,困难
进一步,进一步
昨日,昨日
一线,一线
期间,期间
之一,之一
歲,歲
条,条
元,元
朋友,朋友
決定,決定
称,称
当时,当时
發展,發展
人口,人口
重点,重点
决定,决定
需求,需求
学生,学生
我国,我国
年轻,年轻
將,將
個案,個案
只要,只要
革命,革命
民主,民主
岁,岁
系统,系统
强调,强调
