Morph-lemma,Morph-inflection
biti,je
i,i
u,u
sebe,se
na,na
da,da
biti,su
za,za
od,od
a,a
sa,s
htjeti,će
koji,koji
što,što
taj,to
kako,kako
ne,ne
iz,iz
o,o
u,U
biti,bi
biti,nije
te,te
do,do
ali,ali
kao,kao
koji,koje
biti,biti
koji,koja
još,još
mnogo,više
nakon,nakon
godina,godine
ili,ili
biti,bio
jer,jer
biti,sam
zbog,zbog
biti,smo
već,već
samo,samo
sa,sa
dan,dana
po,po
pa,pa
sve,sve
moći,može
reći,rekao
imati,ima
osoba,osoba
čovjek,ljudi
prije,prije
na,Na
tako,tako
on,ga
kada,kada
godina,godina
dok,dok
biti,bilo
uz,uz
sada,sada
dva,dva
li,li
biti,bila
oni,ih
tri,tri
jedan,jedan
taj,toga
vrijeme,vrijeme
protiv,protiv
nego,nego
bez,bez
on,mu
oko,oko
prema,prema
no,no
biti,nisu
koronavirus,koronavirusa
kazati,kaže
kod,kod
htjeti,ćemo
danas,danas
broj,broj
sav,sve
taj,To
gdje,gdje
moći,mogu
no,No
htjeti,neće
svoj,svoje
nekoliko,nekoliko
kad,kad
ovaj,ove
ako,ako
mi,nam
nemati,nema
dva,dvije
koji,kojima
i,I
posto,posto
nakon,Nakon
nešto,nešto
osoba,osobe
biti,bili
koji,koju
oni,im
mjera,mjere
sav,svi
ni,ni
uvijek,uvijek
taj,tome
prvi,prvi
vrlo,vrlo
tijekom,tijekom
oni,njih
trebati,treba
milijun,milijuna
dio,dio
način,način
mi,nas
taj,taj
puno,puno
sat,sata
četiri,četiri
on,on
mjera,mjera
koji,kojem
koji,kojoj
čak,čak
daleko,dalje
kuna,kuna
kazati,kazao
jedan,jedna
za,Za
ja,mi
slučaj,slučajeva
između,između
dobro,dobro
imati,imaju
pet,pet
dan,dan
županija,županije
od,Od
pod,pod
među,među
kako,Kako
zaraza,zaraze
sav,svih
put,put
a,A
svoj,svojim
također,također
sat,sati
područje,području
ukupno,ukupno
raditi,radi
nov,novi
koronavirus,koronavirusom
onda,onda
jako,jako
svoj,svoj
tek,tek
taj,te
drugi,drugi
sezona,sezone
odnosno,odnosno
put,puta
ako,Ako
drugi,druge
malo,manje
svoj,svoju
taj,tom
predsjednik,predsjednik
bolest,bolesti
kroz,kroz
zaštita,zaštite
sa,S
poput,poput
on,joj
ovaj,ovo
što,Što
gotovo,gotovo
vrijeme,vremena
malo,malo
ovaj,ovaj
mjesto,mjesto
on,ona
preko,preko
neki,neki
imati,imati
koliko,koliko
kuća,kuće
nov,novih
mjesto,mjesta
tko,tko
ipak,ipak
imati,imao
ovaj,ovom
pandemija,pandemije
teško,teško
tjedan,tjedna
šest,šest
život,život
baš,baš
koronavirus,koronavirus
morati,mora
možda,možda
ne,Ne
tada,tada
biti,bit
koji,kojih
utakmica,utakmice
riječ,riječ
obitelj,obitelji
pitanje,pitanje
moći,možemo
ništa,ništa
zaražen,zaraženih
iako,Iako
kraj,kraju
sav,svim
moći,mogao
svijet,svijetu
nalaziti,nalazi
neki,neke
kraj,kraja
on,njega
igrač,igrača
što,čega
nov,nove
značiti,znači
prema,Prema
tisuća,tisuća
reći,reći
ovaj,ovog
početak,početka
upravo,upravo
naime,Naime
mnogo,najviše
reći,rekla
tu,tu
ponovno,ponovno
godina,godinu
strana,strane
slučaj,slučaju
obzir,obzirom
koji,kojeg
biti,bude
oni,njima
posao,posao
pomoć,pomoć
niti,niti
moguć,moguće
imati,imali
mjesto,mjestu
iako,iako
pred,pred
svoj,svom
taj,ta
županija,županiji
željeti,želi
život,života
svijet,svijeta
ja,me
trenutak,trenutku
jedan,jednom
objaviti,objavio
kasno,kasnije
doći,doći
odmah,odmah
moći,moći
mi,mi
predsjednik,predsjednika
onaj,one
velik,veliki
minuta,minuta
zajedno,zajedno
htjeti,ću
njegov,njegov
raditi,raditi
moći,mogli
njegov,njegova
posebno,posebno
epidemija,epidemije
situacija,situacija
utakmica,utakmica
moći,možete
činiti,čini
građanin,građana
ja,ja
često,često
nitko,nitko
euro,eura
naš,naše
taj,tim
mjesec,mjeseci
taj,tog
oboljeli,oboljelih
grad,grada
onaj,oni
trenutno,trenutno
zemlja,zemlje
taj,tu
dobiti,dobio
rano,ranije
imati,imamo
vidjeti,vidjeti
sebe,sebe
momčad,momčad
stvar,stvari
smatrati,smatra
virus,virusa
međutim,Međutim
sedam,sedam
zbog,Zbog
jedan,jednog
petak,petak
netko,netko
virus,virus
mjesec,mjeseca
ministar,ministar
momčad,momčadi
postojati,postoji
država,država
vi,vam
ovaj,Ovo
kad,Kad
on,On
ponedjeljak,ponedjeljak
ožujak,ožujka
posljednji,posljednja
sigurno,sigurno
hrvatski,hrvatski
rad,rad
morati,moraju
ticati,tiče
igrati,igrati
tjedan,tjedan
slučaj,slučaj
on,ju
da,Da
tako,Tako
bilo,bilo
koji,kojim
subota,subotu
nedjelja,nedjelju
zato,zato
svaki,svaki
problem,problem
znati,zna
policija,policija
prvi,prvom
rad,rada
jedan,jednu
sustav,sustav
broj,broja
trebati,trebao
biti,bile
država,države
klub,kluba
sve,Sve
klub,klub
svoj,svog
jučer,jučer
prošli,prošle
prvak,prvaka
civilan,civilne
drugi,drugih
pri,pri
također,Također
područje,područja
ovaj,ova
taj,toj
uz,Uz
odnos,odnosu
nov,nova
bolnica,bolnici
on,ono
iz,Iz
osam,osam
kada,Kada
biti,ste
pomoći,pomoći
zašto,zašto
potpuno,potpuno
osim,osim
dijete,djece
problem,problema
taj,tih
brzo,brzo
samoizolacija,samoizolaciji
liga,lige
vjerojatno,vjerojatno
velik,veći
zapravo,zapravo
imati,imala
pak,pak
kazati,kažu
dobro,bolje
osim,Osim
sad,sad
dolaziti,dolazi
svoj,svojih
očekivati,očekuje
tamo,tamo
biti,bismo
vlast,vlasti
iza,iza
opet,opet
drugi,drugom
srijeda,srijedu
škola,škole
navoditi,navodi
toliko,toliko
isticati,ističe
utakmica,utakmicu
prvi,prve
što,čemu
biti,Nije
minuta,minuti
četvrtak,četvrtak
oni,oni
trener,trener
napraviti,napraviti
moći,mogla
žena,žena
biti,bih
dodati,dodao
mogućnost,mogućnost
posljednji,posljednjih
kao,Kao
sve,svega
deset,deset
svoj,svojoj
doći,došao
nov,novog
prvi,prva
potreban,potrebno
dosad,dosad
dobiti,dobiti
do,Do
željeti,žele
svibanj,svibnja
utorak,utorak
onaj,onih
sav,Svi
potom,potom
pisati,piše
objaviti,objavila
jednom,jednom
vi,vas
moći,moglo
naš,naš
čovjek,ljude
kuća,kući
prvi,prvog
odluka,odluku
ovaj,ovoj
drugi,drugim
velik,velike
trebati,trebalo
dio,dijelu
poručiti,poručio
nov,novim
pobjeda,pobjedu
odluka,odluka
izbor,izbora
zemlja,zemalja
ostati,ostati
zemlja,zemlji
istaknuti,istaknuo
stanje,stanje
razina,razini
raditi,rade
važan,važno
hrvatski,hrvatske
bolnica,bolnice
lipanj,lipnja
vratiti,vratiti
pravo,prava
mnogi,mnogi
velik,najveći
igrač,igrač
uopće,uopće
mjesec,mjesec
pacijent,pacijenata
metar,metara
taj,time
velik,velika
situacija,situaciji
grad,grad
jedan,jedno
ovaj,ovih
dosta,dosta
čovjek,ljudima
grad,gradu
govoriti,govori
hrvatski,Hrvatski
sustav,sustava
htjeti,hoće
dobar,najbolji
stajati,stoji
pobjeda,pobjede
niz,niz
situacija,situaciju
stranka,stranke
početak,početku
vlada,vlada
natjecanje,natjecanja
većina,većina
ići,ići
povijest,povijesti
premijer,premijer
cijel,cijeli
prije,Prije
mi,Mi
izjaviti,izjavio
hrvatski,hrvatskih
inače,inače
još,Još
rezultat,rezultat
svijet,svijet
mnogo,mnogo
sav,svima
igrač,igrači
trebati,trebala
danas,Danas
doći,došlo
stožer,stožera
ispred,ispred
ovaj,ovu
javnost,javnosti
godina,godini
barem,barem
građanin,građani
zdravstvo,zdravstva
riječ,Riječ
situacija,situacije
nov,novu
jedan,jedne
aktivnost,aktivnosti
ime,ime
dobar,dobar
ipak,Ipak
travanj,travnja
ići,ide
održati,održati
putem,putem
odluka,odluke
prostor,prostor
slučaj,slučaja
tvrtka,tvrtke
tijekom,Tijekom
prilika,priliku
on,njemu
sezona,sezonu
trebati,trebali
europski,Europske
širenje,širenja
kraj,kraj
veljača,veljače
biti,jest
devet,devet
projekt,projekt
nad,nad
ovdje,ovdje
postati,postao
dovoljno,dovoljno
njegov,njegove
podatak,podacima
siječanj,siječnja
obitelj,obitelj
igrati,igra
dugo,dugo
razlog,razloga
prvi,prvu
dobiti,dobili
vozilo,vozila
koji,kojom
izbor,izborima
čovjek,čovjek
film,film
život,životu
uglavnom,uglavnom
stići,stigao
ali,Ali
dolar,dolara
godina,godinama
sat,sat
priča,priča
htjeti,ćete
neki,nekim
zdravstvo,zdravstvo
odlučiti,odlučio
morati,moramo
drugi,drugog
diljem,diljem
nastaviti,nastaviti
nikad,nikad
novac,novac
hrvatski,hrvatskog
tvrditi,tvrdi
jasno,jasno
najaviti,najavio
unutar,unutar
borba,borbi
društven,društvenim
žena,žene
javan,javno
star,starije
igra,igre
čekati,čeka
dobiti,dobila
drugi,druga
dogoditi,dogodilo
grad,Grada
sebe,si
početi,počeo
njihov,njihove
pozitivan,pozitivnih
biti,nisam
ovaj,ovim
dr,dr
poslije,poslije
susret,susreta
mreža,mrežama
početkom,početkom
prvenstvo,prvenstva
malo,najmanje
priopćenje,priopćenju
trebati,trebaju
dati,dati
previše,previše
kriza,krize
teren,terenu
prostor,prostora
lako,lako
nemati,nemaju
živjeti,živi
glavni,glavni
njihov,njihov
susret,susret
zdravlje,zdravlje
igrati,igrao
posao,poslova
par,par
pitanje,pitanja
ugovor,ugovor
izvan,izvan
bod,bodova
po,Po
njezin,njezin
stožer,stožer
učiniti,učiniti
što,čime
cilj,cilj
voditi,vodi
inače,Inače
uskoro,uskoro
stanovnik,stanovnika
smrt,smrti
razdoblje,razdoblju
predsjednik,Predsjednik
njihov,njihova
hrvatski,Hrvatskog
isto,isto
dati,dao
samoizolacija,samoizolacije
jedan,Jedan
drugi,drugo
nedavno,nedavno
nikada,nikada
čiji,čiji
promjena,promjene
doma,doma
pitanje,pitanju
god,god
mogućnost,mogućnosti
biti,Bio
ostali,ostali
kazati,kazala
sezona,sezona
o,O
utakmica,utakmici
otkriti,otkrio
rat,rata
sebe,sebi
doći,došli
projekt,projekta
jedan,jednoj
međutim,međutim
mi,nama
vidjeti,vidi
dolaziti,dolaze
naš,naših
brojan,brojne
širenje,širenje
rujan,rujna
građanin,građane
ruka,ruke
biti,nismo
završiti,završio
umjesto,umjesto
uspjeti,uspio
broj,broju
ujutro,ujutro
kolo,kola
republika,Republike
posao,posla
potres,potresa
neki,nekih
zato,Zato
rezultat,rezultate
zatim,zatim
uloga,ulogu
već,Već
onaj,ono
jednostavno,jednostavno
pola,pola
dio,dijela
zabilježiti,zabilježeno
velik,veliku
trenutačno,trenutačno
mjera,mjerama
stanje,stanju
sklop,sklopu
medij,mediji
vrata,vrata
osvojiti,osvojio
ostati,ostao
nalaziti,nalaze
postojati,postoje
morati,morati
rješenje,rješenje
donijeti,donio
srpanj,srpnja
respirator,respiratoru
liječenje,liječenju
sam,sami
program,programa
potvrditi,potvrdio
tijelo,tijela
dodavati,dodaje
sav,sva
zaključiti,zaključio
dogoditi,dogoditi
pronaći,pronaći
posljedica,posljedica
ovaj,Ova
biti,budu
pokazati,pokazala
pokazivati,pokazuje
reprezentacija,reprezentacije
ljeto,ljeta
sada,Sada
događati,događa
početi,počela
prosinac,prosinca
dijete,dijete
njegov,njegovu
noć,noći
protekao,protekla
napisati,napisao
stoga,stoga
unatoč,unatoč
među,Među
ovaj,Ovaj
dobro,najbolje
grad,Grad
ja,mene
naravno,Naravno
simptom,simptome
svaki,svakom
svakako,svakako
prvi,Prvi
pola,pol
tjedan,tjedana
program,program
škola,škola
cjepivo,cjepiva
film,filma
doći,dođe
testiranje,testiranja
riječ,riječi
on,Ono
prvi,prvoj
klub,klubu
dobar,bolji
početak,početak
prvo,prvo
velik,velik
naravno,naravno
uvjet,uvjetima
prvi,prvih
društvo,društva
minuta,minute
vratiti,vratio
potreba,potrebe
obzir,obzira
kolovoz,kolovoza
prostor,prostoru
istraživanje,istraživanja
vijest,vijest
pozitivan,pozitivan
novooboljeli,novooboljelih
krajem,krajem
TV,TV
novac,novca
uključivati,uključujući
isti,isti
zemlja,zemlja
nov,novom
vlada,vlade
uspjeti,uspjeli
donositi,donosi
vrijednost,vrijednosti
automobil,automobila
mnogi,mnoge
informacija,informacije
izbor,izbore
koji,kojemu
gol,gola
dijete,djeca
razvoj,razvoj
izgledati,izgleda
stvar,stvar
tražiti,traži
očito,očito
dvoje,dvoje
policija,policije
novozaražean,novozaraženih
iznimno,iznimno
prvenstvo,prvenstvo
dodatno,dodatno
lako,lakše
zdravlje,zdravlja
putovanje,putovanja
koristiti,koristiti
uprava,uprave
stoga,Stoga
činjenica,činjenica
treći,treći
doći,došla
ispod,ispod
građanin,građanima
online,online
prijedlog,prijedlog
radnik,radnika
izvijestiti,izvijestio
društvo,društvo
pogotovo,pogotovo
javnost,javnost
pravilo,pravila
prilikom,prilikom
dom,dom
točno,točno
neki,neka
gol,gol
kod,Kod
takav,takav
otići,otišao
velik,velikim
voda,vode
skupina,skupine
kuća,kuća
donijeti,donijeti
dok,Dok
počinjati,počinje
raditi,radio
znati,znaju
granica,granice
ostajati,ostaje
djelo,djela
sud,sud
dijete,djecu
trener,trenera
zabiti,zabio
član,član
posljednji,posljednje
sredstvo,sredstva
postati,postala
uzorak,uzoraka
uoči,uoči
pokazati,pokazao
tijelo,tijelo
dobar,dobra
član,članova
zemlja,zemljama
primjer,primjer
naš,naša
klub,klubova
živjeti,žive
oni,Oni
snaga,snage
ostali,ostale
početi,početi
kultura,kulture
daleko,daleko
županija,županija
testirati,testirano
prav,pravi
član,članovi
budućnost,budućnosti
pad,pad
misliti,misli
sve,svemu
trajati,traje
pravo,pravo
priča,priče
aktivan,aktivnih
red,redu
postati,postati
primjerice,primjerice
biti,Bilo
konferencija,konferenciji
odlučiti,odlučili
naći,naći
predstavljati,predstavlja
kontakt,kontaktu
listopad,listopada
sam,sama
doba,doba
koristiti,koristi
nov,Novi
događaj,događaja
davati,daje
virus,virusom
otići,otići
takav,takve
odlučiti,odlučila
ovaj,ovoga
iznositi,iznosi
sezona,sezoni
nastavak,nastavak
gospodarstvo,gospodarstva
doista,doista
ministarstvo,Ministarstva
podrška,podršku
samo,Samo
hrana,hrane
ruka,ruku
on,Ona
svoj,svojom
dobar,najboljih
misliti,mislim
nastavljati,nastavlja
nov,novo
bivši,bivši
pomoć,pomoći
mlad,mladih
napraviti,napravio
razdoblje,razdoblje
velik,velikih
istraživanje,istraživanje
možda,Možda
milijun,milijun
ujedno,ujedno
odgovor,odgovor
jedini,jedini
država,državi
europski,europskih
njezin,njezina
tu,Tu
svaki,svakog
otkriti,otkrila
maska,maske
sigurnost,sigurnosti
ljubav,ljubav
