Morph-lemma,Morph-inflection
i,i
at,at
og,og
være,er
til,til
på,på
en,en
af,af
for,for
der,der
have,har
med,med
det,det
den,den
ikke,ikke
som,som
en,et
det,Det
den,de
om,om
fra,fra
kunne,kan
være,var
han,han
den,det
så,så
skulle,skal
sig,sig
sige,siger
også,også
ville,vil
de,de
blive,blev
man,man
men,men
vi,vi
hvor,hvor
år,år
ved,ved
være,være
men,Men
efter,efter
i,I
nu,nu
over,over
ud,ud
blive,bliver
op,op
hun,hun
og,Og
være,været
jeg,jeg
mange,flere
den,Den
to,to
da,da
eller,eller
få,få
mod,mod
sin,sin
mange,mange
have,have
have,havde
der,Der
kunne,kunne
meget,meget
når,når
blive,blevet
deres,deres
han,Han
end,end
komme,kommer
anden,andet
nogen,noget
blive,blive
første,første
jeg,Jeg
dansk,danske
hvis,hvis
selv,selv
ind,ind
al,alle
anden,andre
dag,dag
blandt,blandt
dog,dog
vi,Vi
her,her
de,dem
en,En
gang,gang
siden,siden
ny,nye
sidste,sidste
skulle,skulle
helt,helt
under,under
den,De
få,får
du,du
fortælle,fortæller
få,fik
stor,store
lige,lige
ifølge,ifølge
hvad,hvad
for,For
tre,tre
se,se
mellem,mellem
nogen,nogle
kun,kun
tid,tid
mene,mener
hel,hele
tilbage,tilbage
del,del
stå,står
igen,igen
godt,godt
både,både
her,Her
krone,kroner
mere,mere
den,Det
komme,komme
få,fået
gøre,gøre
frem,frem
ville,ville
fordi,fordi
anden,anden
sammen,sammen
hos,hos
meget,mere
gå,går
omkring,omkring
før,før
derfor,derfor
inden,inden
så,Så
sin,sit
uden,uden
lidt,lidt
stor,stor
skrive,skriver
endnu,endnu
bare,bare
ifølge,Ifølge
de,De
nemlig,nemlig
procent,procent
han,ham
mens,mens
sen,seneste
derfor,Derfor
mand,mand
gøre,gør
samme,samme
på,På
måtte,må
hun,Hun
tage,tage
hans,hans
vores,vores
lyde,lyder
komme,kom
ny,ny
se,ser
ned,ned
stadig,stadig
tv,TV
vi,os
nok,nok
fire,fire
kommune,Kommune
gå,gå
politi,politiet
russisk,russiske
jo,jo
al,alt
denne,denne
oplyse,oplyser
hvordan,hvordan
jeg,mig
barn,børn
dag,dage
grund,grund
allerede,allerede
land,landet
tidlig,tidligere
aften,aften
sin,sine
ung,unge
hvis,Hvis
sag,sagen
tale,tale
finde,finde
sted,stedet
nu,Nu
vise,viser
se,set
ligge,ligger
arbejde,arbejde
klar,klar
uge,uge
million,millioner
altså,altså
klokke,klokken
videre,videre
betyde,betyder
tidligere,tidligere
ingen,ingen
næste,næste
menneske,mennesker
fem,fem
folk,folk
søndag,søndag
gang,gange
gerne,gerne
gå,gik
dansk,dansk
give,giver
god,god
tage,taget
række,række
nogen,nogen
langt,langt
have,haft
løb,løbet
ukrainsk,ukrainske
bag,bag
efter,Efter
hendes,hendes
måske,måske
gennem,gennem
stor,største
en,Et
sige,sagde
sted,sted
fredag,fredag
penge,penge
person,personer
dansk,Dansk
sige,sige
vej,vej
hjem,hjem
mest,mest
give,give
brug,brug
lørdag,lørdag
netop,netop
tage,tager
forhold,forhold
fortsat,fortsat
torsdag,torsdag
præsident,præsident
mandag,mandag
onsdag,onsdag
stor,større
først,først
stor,stort
formand,formand
forbindelse,forbindelse
måde,måde
mål,mål
verden,verden
holde,holde
med,Med
god,bedste
når,Når
tirsdag,tirsdag
morgen,morgen
mulighed,mulighed
hver,hver
vide,ved
længe,længere
sådan,sådan
finde,fundet
plads,plads
måned,måneder
sætte,sat
tro,tror
hun,hende
komme,kommet
lille,lille
ske,sker
politi,Politi
mulig,muligt
rundt,rundt
gøre,gjort
aldrig,aldrig
forskellig,forskellige
uge,uger
forklare,forklarer
komme,kommende
sted,steder
hjælp,hjælp
rigtig,rigtig
amerikansk,amerikanske
måtte,måtte
ny,nyt
man,Man
tage,tog
ting,ting
selvom,selvom
gå,gået
tæt,tæt
bruge,bruge
kort,kort
god,bedre
heller,heller
god,gode
seks,seks
liv,liv
ramme,ramt
vinde,vandt
kvinde,kvinder
direktør,direktør
land,lande
synes,synes
min,min
hvilken,hvilket
følge,følge
kamp,kamp
fald,fald
krig,krigen
par,par
handle,handler
samtidig,samtidig
sådan,Sådan
by,byen
da,Da
ellers,ellers
hver,hvert
hjælpe,hjælpe
en,én
lang,lang
år,års
kamp,kampen
mand,mænd
samt,samt
altid,altid
land,landets
håbe,håber
næsten,næsten
ønske,ønsker
lille,mindre
stå,stod
stå,stå
tid,tiden
sætte,sætte
senere,senere
eksempel,eksempel
lave,lave
længe,længe
hurtigt,hurtigt
indtil,indtil
dermed,dermed
ude,ude
væk,væk
gælde,gælder
faktisk,faktisk
vælge,valgt
møde,møde
minut,minutter
igennem,igennem
foran,foran
ret,ret
gøre,gjorde
som,Som
politi,Politiet
fast,fast
begge,begge
også,Også
kvinde,kvinde
side,side
hold,hold
dag,dagen
sikre,sikre
god,godt
mindst,mindst
kommune,kommunen
holde,holder
område,området
ti,ti
især,især
imod,imod
blot,blot
svær,svært
virksomhed,virksomheder
eneste,eneste
sende,sendt
køre,køre
politisk,politiske
ekstra,ekstra
lokal,lokale
venstre,Venstre
mange,fleste
du,dig
hinanden,hinanden
valg,valg
cirka,cirka
kamp,kampe
november,november
marts,marts
sag,sag
til,Til
egen,egen
politisk,politisk
januar,januar
februar,februar
arbejde,arbejder
mange,Flere
land,land
finde,fandt
stille,stille
kalde,kalder
eftermiddag,eftermiddag
milliard,milliarder
gammel,gamle
spille,spille
liv,livet
parti,partiet
spille,spiller
alligevel,alligevel
ene,ene
ske,skete
lov,lov
time,timer
vigtig,vigtigt
vej,vejen
problem,problemer
syv,syv
december,december
hvad,Hvad
verden,verdens
denne,dette
lave,lavet
selvom,Selvom
ligesom,ligesom
otte,otte
borger,borgere
du,Du
tidspunkt,tidspunkt
spørgsmål,spørgsmål
bruge,brugt
give,givet
hvorfor,hvorfor
samtidig,Samtidig
folketing,Folketinget
nuværende,nuværende
siden,Siden
juni,juni
I,I
kilometer,kilometer
point,point
regering,regering
anholde,anholdt
nat,natten
år,året
fokus,fokus
kræve,kræver
år,årets
vurdere,vurderer
måned,måned
holde,holdt
sidde,sidder
finde,finder
dansker,danskere
aftale,aftale
trods,trods
arbejde,arbejdet
skabe,skabe
bruge,bruger
begynde,begyndte
burde,bør
ske,sket
direkte,direkte
støtte,støtte
stige,stigende
høj,højere
skyldes,skyldes
russisk,russisk
sejr,sejr
hvem,hvem
ansætte,ansatte
tredje,tredje
parti,partier
bo,bor
sige,sagt
køre,kører
betale,betale
maj,maj
antal,antallet
denne,disse
regering,regeringen
grad,grad
angreb,angreb
august,august
høj,høj
samle,samlet
begynde,begynder
samarbejde,samarbejde
ende,ende
at,At
tal,tal
lægge,lagt
lyde,lød
medarbejder,medarbejdere
ske,ske
ad,ad
derudover,Derudover
findes,findes
hen,hen
familie,familie
alt,alt
tilfælde,tilfælde
kendt,kendt
tysk,tyske
tvivl,tvivl
mand,manden
rest,resten
møde,møder
ofte,ofte
oktober,oktober
kæmpe,kæmpe
september,september
lade,lade
lang,lange
situation,situation
leder,leder
virkelig,virkelig
ende,endte
kritik,kritik
del,dele
nummer,nummer
understrege,understreger
oplysning,oplysninger
spiller,spillere
ord,ord
dermed,Dermed
se,ses
gas,gas
fængsel,fængsel
kommun,kommuner
lykkes,lykkedes
lille,små
vise,vise
flygtning,flygtninge
knap,knap
alene,alene
går,går
efterfølgende,efterfølgende
sigte,sigtet
social,sociale
snart,snart
nødt,nødt
krav,krav
grad,grader
selvfølgelig,selvfølgelig
din,din
lukke,lukket
bil,bil
fortsætte,fortsætter
forvente,forventer
køre,kørte
blandt,Blandt
give,gav
soldat,soldater
krig,krig
meter,meter
politik,politik
sæson,sæson
ved,Ved
høj,høje
ret,retten
april,april
universitet,Universitet
spil,spil
gammel,ældre
mindre,mindre
købe,købe
folkeparti,Folkeparti
sende,sende
dansker,danskerne
fremgå,fremgår
kende,kender
medlem,medlemmer
være,Er
eksempelvis,eksempelvis
periode,periode
fejl,fejl
dansk,Danske
sætte,sætter
parti,parti
by,by
vise,viste
særligt,særligt
form,form
fransk,franske
desuden,desuden
forbi,forbi
fremtid,fremtiden
corona,corona
flertal,flertal
bane,banen
svært,svært
øjeblik,øjeblikket
familie,familien
opleve,oplever
selv,Selv
nogensinde,nogensinde
svar,svar
klar,klart
valg,valget
medie,medier
navn,navn
situation,situationen
særlig,særlig
historie,historie
min,mit
slet,slet
ganske,ganske
borgmester,borgmester
via,via
vente,venter
forælder,forældre
britisk,britiske
spille,spillet
fra,Fra
offentlig,offentlige
egentlig,egentlig
gengæld,gengæld
inde,inde
nå,nå
gruppe,gruppe
død,død
pressemeddelelse,pressemeddelelse
spille,spillede
herunder,herunder
sag,sager
pris,prisen
juli,juli
såkaldt,såkaldte
pege,peger
al,Alle
forsøge,forsøger
stemme,stemme
tale,taler
mor,mor
besøg,besøg
hjemmeside,hjemmeside
svare,svarer
vand,vand
slutning,slutningen
europæisk,europæiske
slags,slags
omgang,omgang
bruge,bruges
ni,ni
invasion,invasion
vinde,vinde
køre,kørt
sætte,satte
beslutning,beslutning
dengang,dengang
myndighed,myndigheder
stemme,stemmer
mangle,mangler
mange,Mange
rejse,rejse
behov,behov
område,områder
ja,ja
ramme,rammer
hverken,hverken
barn,børnene
fælles,fælles
økonomisk,økonomisk
glad,glad
samle,samlede
politiker,politikere
sidst,sidst
egen,eget
få,færre
skrive,skrevet
konsekvens,konsekvenser
område,område
føle,føler
fortælle,fortælle
problem,problem
dræbe,dræbt
vide,vide
stige,steget
pludselig,pludselig
rolle,rolle
hold,holdet
antal,antal
vinde,vinder
to,To
formiddag,formiddag
forsøg,forsøg
fortælle,fortalte
yderligere,yderligere
slå,slog
niveau,niveau
dag,dagens
grøn,grønne
mærke,mærke
skade,skade
socialdemokrati,Socialdemokratiet
hos,Hos
person,person
falde,falder
trække,trække
baggrund,baggrund
fortsætte,fortsætte
klub,klubben
markant,markant
glæde,glæder
formentlig,formentlig
både,Både
vælge,valgte
vinde,vundet
slå,slå
våben,våben
følge,følger
lægge,lægger
gæst,gæster
slå,slået
ikke,Ikke
international,internationale
tur,tur
hjemme,hjemme
tidligere,Tidligere
udsætte,udsat
bil,bilen
risiko,risiko
penge,pengene
svensk,svenske
elev,elever
beslutte,besluttet
tale,talt
se,så
mens,Mens
billede,billeder
privat,private
sommer,sommer
således,således
ansvar,ansvar
medlem,medlem
fuld,fuld
start,start
død,døde
adgang,adgang
bedst,bedst
undersøgelse,undersøgelse
hus,hus
min,mine
enkelt,enkelte
blå,blå
starte,startede
uge,ugen
film,film
normalt,normalt
egen,egne
fri,fri
job,job
møde,mødt
skabe,skabt
lægge,lægge
stige,stiger
hvor,Hvor
forvente,forventes
betydning,betydning
høre,høre
regel,regler
udvikling,udvikling
Ret,Retten
lige,Lige
alvor,alvor
rigtig,rigtige
selskab,selskabet
kunde,kunder
mulighed,muligheder
ende,ender
nå,nåede
fodbold,fodbold
modtage,modtaget
falde,faldet
politiker,politikerne
energi,energi
deltage,deltage
behandling,behandling
anderledes,anderledes
stille,stiller
økonomisk,økonomiske
russ,russerne
ændre,ændre
ligge,lå
leve,lever
afgørende,afgørende
ukrainer,ukrainere
løsning,løsning
bil,biler
billede,billede
en,ét
lang,længere
frivillig,frivillige
opgave,opgave
høre,hører
opleve,oplevet
vold,vold
kontakt,kontakt
far,far
glæde,glæde
fylde,fyldt
enig,enige
mad,mad
forslag,forslag
start,starten
afsted,afsted
nærmest,nærmest
tro,tro
hvornår,hvornår
forskel,forskel
patient,patienter
burde,burde
aftale,aftalen
weekend,weekenden
sikker,sikker
mødes,mødes
vise,vist
skrive,skrev
plan,planen
sikkerhed,sikkerhed
hedde,hedder
falde,faldt
undgå,undgå
tænke,tænker
opfordre,opfordrer
lave,laver
særlig,særligt
dømme,dømt
interview,interview
al,al
ven,venner
hårdt,hårdt
enkelt,enkelt
sejr,sejren
pris,priser
midt,midt
udfordring,udfordringer
styrke,styrker
runde,runde
engang,engang
forstå,forstå
Nogle,Nogle
øje,øje
lukke,lukke
sikkert,sikkert
økonomi,økonomi
alligevel,Alligevel
brand,brand
masse,masser
forsøge,forsøgt
hvilken,hvilke
nær,nær
plan,plan
retning,retning
skole,skolen
stilling,stilling
stoppe,stoppe
by,byer
leve,leve
nej,nej
virksomhed,virksomheden
tabe,tabte
begyndelse,begyndelsen
pris,priserne
stå,stået
tidligt,tidligt
grænse,grænsen
træk,træk
succes,succes
hoved,hovedet
læse,læse
skridt,skridt
uddannelse,uddannelse
om,Om
søge,søge
desuden,Desuden
ingen,intet
slut,slut
statsminister,statsminister
mulighed,muligheden
melde,meldt
ønske,ønske
skole,skole
halvleg,halvleg
undersøge,undersøge
sende,sender
kontrol,kontrol
politi,politi
projekt,projektet
forsøge,forsøge
ligne,lignende
risikere,risikerer
simpelthen,simpelthen
pris,pris
Region,Region
hård,hård
ramme,ramte
stykke,stykke
vel,vel
sidde,sad
erne,erne
råd,råd
vand,vandet
bold,bolden
sælge,solgt
dansker,danskeren
enten,enten
barn,barn
nødvendig,nødvendigt
spare,spare
forsøge,forsøgte
borger,borgerne
fjerde,fjerde
strøm,strøm
gammel,gammel
dansker,dansker
sted,stede
ændre,ændret
overhovedet,overhovedet
professor,professor
opleve,opleve
pres,pres
sende,sendte
indsats,indsats
vare,varer
oplevelse,oplevelse
foregå,foregår
stigning,stigning
virke,virker
endda,endda
styrke,styrke
mening,mening
såkaldt,såkaldt
fylde,fylder
bekræfte,bekræfter
musik,musik
