Morph-lemma,Morph-inflection
the,the
of,of
and,and
to,to
in,in
a,a
the,The
be,is
be,was
that,that
for,for
with,with
as,as
by,by
on,on
be,are
from,from
be,be
or,or
be,were
it,it
his,his
an,an
in,In
not,not
at,at
which,which
have,have
this,this
also,also
have,has
have,had
but,but
he,he
their,their
can,can
one,one
be,been
its,its
this,This
other,other
more,more
they,they
use,used
it,It
first,first
a,A
all,all
into,into
two,two
than,than
only,only
would,would
time,time
citation,citation
he,He
most,most
who,who
may,may
some,some
many,many
such,such
when,when
after,after
between,between
these,these
over,over
about,about
year,years
use,use
there,there
no,no
new,new
they,them
out,out
during,during
make,made
up,up
he,him
both,both
will,will
then,then
so,so
often,often
any,any
however,However
could,could
be,being
through,through
where,where
while,while
number,number
people,people
main,main
I,I
system,system
each,each
for,For
her,her
well,well
they,They
same,same
know,known
call,called
as,As
if,if
before,before
because,because
three,three
later,later
work,work
there,There
do,did
under,under
very,very
part,part
become,became
these,These
early,early
city,city
do,do
much,much
several,several
large,large
until,until
different,different
find,found
year,year
government,government
world,world
th,th
example,example
convert,convert
since,since
own,own
even,even
form,form
after,After
life,life
around,around
on,On
power,power
those,those
high,high
against,against
state,state
still,still
set,set
within,within
when,When
she,she
second,second
include,including
century,century
small,small
end,end
use,using
begin,began
what,what
however,however
s,s
name,name
make,make
without,without
way,way
some,Some
usually,usually
common,common
area,area
another,another
now,now
at,At
must,must
say,said
country,country
death,death
due,due
like,like
do,does
public,public
by,By
long,long
order,order
four,four
water,water
his,His
film,film
back,back
few,few
become,become
series,series
less,less
period,period
base,based
consider,considered
place,place
if,If
major,major
among,among
give,given
support,support
group,group
important,important
down,down
game,game
family,family
point,point
take,took
war,war
day,day
should,should
result,result
political,political
music,music
control,control
either,either
system,systems
member,members
last,last
original,original
take,take
along,along
single,single
one,One
similar,similar
just,just
an,An
never,never
various,various
case,case
process,process
time,times
area,areas
home,home
publish,published
line,line
include,include
country,countries
during,During
lead,led
possible,possible
although,although
language,language
although,Although
modern,modern
military,military
local,local
development,development
generally,generally
many,Many
off,off
population,population
popular,popular
man,men
hold,held
every,every
develop,developed
though,though
history,history
right,right
rather,rather
show,show
term,term
million,million
human,human
we,we
american,American
general,general
how,how
child,children
leave,left
body,body
come,came
production,production
late,late
state,states
available,available
while,While
himself,himself
play,play
create,created
other,others
see,seen
per,per
die,died
sometimes,sometimes
law,law
have,having
book,book
again,again
next,next
addition,addition
require,required
work,works
light,light
she,She
write,wrote
great,great
almost,almost
include,included
woman,women
five,five
release,released
field,field
day,days
information,information
build,built
service,service
word,word
she,her
produce,produced
continue,continued
datum,data
you,you
change,change
high,higher
above,above
role,role
social,social
allow,allowed
to,To
range,range
able,able
land,land
age,age
design,design
level,level
follow,following
position,position
little,little
national,national
british,British
team,team
provide,provide
itself,itself
write,written
specie,species
other,Other
version,version
receive,received
make,making
theory,theory
establish,established
good,good
german,German
thus,thus
season,season
accord,According
since,Since
total,total
low,low
group,groups
throughout,throughout
always,always
side,side
force,force
together,together
old,old
large,largest
upon,upon
all,All
air,air
school,school
certain,certain
mean,means
case,cases
energy,energy
take,taken
with,With
describe,described
man,man
type,type
least,least
space,space
present,present
term,terms
company,company
especially,especially
might,might
natural,natural
effect,effect
free,free
father,father
particular,particular
part,parts
standard,standard
third,third
too,too
short,short
use,uses
size,size
instead,instead
play,played
force,forces
across,across
increase,increased
word,words
surface,surface
once,once
see,see
study,study
follow,followed
month,months
go,went
