Morph-lemma,Morph-inflection
ja,ja
olla,on
että,että
ei,ei
olla,oli
myös,myös
mukaan,mukaan
olla,ovat
mutta,mutta
olla,ole
kun,kun
se,se
jo,jo
voida,voi
tai,tai
kuin,kuin
olla,ollut
joka,joka
hän,hän
se,sen
n,n
sekä,sekä
jälkeen,jälkeen
vuosi,vuonna
niin,niin
kertoa,kertoo
kanssa,kanssa
vuosi,vuoden
nyt,nyt
hän,Hän
kuitenkin,kuitenkin
sanoa,sanoo
viime,viime
olla,olla
vielä,vielä
vain,vain
olla,olisi
noin,noin
aika,aikana
esimerkiksi,esimerkiksi
se,siitä
se,sitä
ei,eivät
muassa,muassa
se,Se
joka,jossa
yli,yli
paljon,paljon
sitten,sitten
muun,muun
tulla,tulee
joka,jotka
jos,jos
ennen,ennen
pitää,pitää
koko,koko
prosentti,prosenttia
sillä,sillä
eli,eli
hän,hänen
hyvin,hyvin
vuosi,vuotta
ett,ett
joka,jonka
kaksi,kaksi
kertoa,kertoi
saada,sai
ei,eikä
kaikki,kaikki
nyt,Nyt
myös,Myös
saada,saa
lisäksi,lisäksi
olla,olivat
euro,euroa
koska,koska
vaikka,vaikka
vastaan,vastaan
jos,Jos
enemmän,enemmän
sanoa,sanoi
mikä,mitä
eri,eri
tämä,tällä
se,siihen
kello,kello
yksi,yksi
vaan,vaan
se,ne
miten,miten
vuoksi,vuoksi
ensi,ensi
aika,ajan
aina,aina
jopa,jopa
tulla,tuli
osa,osa
kuten,kuten
kautta,kautta
kun,Kun
tämä,Tämä
olla,olevan
tehdä,tehdä
lähes,lähes
kerta,kertaa
enää,enää
määrä,määrä
tämä,tämän
lisäksi,Lisäksi
itse,itse
se,Sen
aiemmin,aiemmin
mikä,mikä
edelleen,edelleen
asti,asti
kolme,kolme
mukana,mukana
hyvä,hyvä
aika,aikaa
saada,saanut
kaupunki,kaupungin
tämä,tänä
hetki,hetkellä
hän,he
taas,taas
miljoona,miljoonaa
aika,aikaan
viikko,viikolla
hän,Hänen
tulla,tullut
kuitenkaan,kuitenkaan
saada,saada
juuri,juuri
tämä,tämä
takia,takia
pitää,pitäisi
ilman,ilman
ainakin,ainakin
joten,joten
maa,maan
perjantai,perjantaina
voida,voisi
voida,voivat
viime,Viime
mutta,Mutta
mikään,mitään
voida,voidaan
saakka,saakka
se,niitä
alkaa,alkaa
tehdä,teki
siis,siis
arvioida,arvioi
keskiviikko,keskiviikkona
olla,olleet
maanantai,maanantaina
uusi,uuden
pois,pois
olla,On
kaksi,kahden
usein,usein
tämä,tässä
todeta,toteaa
se,niiden
tänään,tänään
uusi,uusi
presidentti,presidentti
tiistai,tiistaina
alku,alussa
yhä,yhä
lauantai,lauantaina
mukaan,mukaansa
torstai,torstaina
tilanne,tilanne
oma,oman
ei,Ei
esimerkiksi,Esimerkiksi
ottaa,ottaa
aika,aika
sijaan,sijaan
yhteensä,yhteensä
viikko,viikon
alue,alueella
vaikka,Vaikka
vasta,vasta
välillä,välillä
uusi,uutta
erityisesti,erityisesti
joka,jota
tehdä,tehnyt
kerran,kerran
sota,sodan
euro,euron
puheenjohtaja,puheenjohtaja
puolestaan,puolestaan
kausi,kauden
toinen,toinen
se,siinä
alkaa,alkoi
jäädä,jäi
tehdä,tehty
ja,Ja
jotta,jotta
alle,alle
mieli,mielestä
hieman,hieman
vähän,vähän
joka,joita
jolloin,jolloin
kuinka,kuinka
hän,heidän
joka,joiden
joka,joissa
nopeasti,nopeasti
uusi,uusia
mahdollinen,mahdollista
yhdessä,yhdessä
vaikuttaa,vaikuttaa
antaa,antaa
peruste,perusteella
usea,useita
mennessä,mennessä
sunnuntai,sunnuntaina
neljä,neljä
huolimatta,huolimatta
ihan,ihan
tehdä,tekee
myötä,myötä
yksi,yhden
toinen,toisen
ensimmäinen,ensimmäinen
vuosi,vuosina
hallitus,hallituksen
keskustella,keskustella
kiinni,kiinni
jälleen,jälleen
ihminen,ihmisiä
asia,asia
joka,joista
löytyä,löytyy
jatkaa,jatkaa
myöhemmin,myöhemmin
suuri,suurin
saattaa,saattaa
tapa,tavalla
pitää,piti
käyttää,käyttää
nousta,nousi
pitkään,pitkään
kymmenen,kymmenen
yhteys,yhteydessä
aivan,aivan
muistuttaa,muistuttaa
suuri,suuri
maailma,maailman
ihminen,ihmiset
voittaa,voitti
näyttää,näyttää
lisää,lisää
todella,todella
ensimmäinen,ensimmäisen
haluta,haluaa
heti,heti
lopulta,lopulta
silloin,silloin
tulla,tulisi
tämä,tähän
kuulua,kuuluu
tämä,Tällä
näin,Näin
erittäin,erittäin
tulla,tulla
täysin,täysin
edes,edes
ihminen,ihmisten
muu,muita
klo,klo
tehdä,tehdään
läpi,läpi
ihminen,ihmistä
näin,näin
mies,miesten
muu,muiden
olla,olen
prosentti,prosentin
alue,alueen
asia,asiasta
tieto,tietoa
poliisi,Poliisi
oy,Oy
siellä,siellä
käyttö,käyttöön
Voit,Voit
päivä,päivän
liian,liian
takaisin,takaisin
jäädä,jää
tiedote,tiedotteessa
poliisi,poliisi
viisi,viisi
nainen,naisten
varten,varten
vuosi,vuosi
kaupunki,kaupunki
mies,mies
tarkoitus,tarkoitus
kolme,kolmen
kannattaa,kannattaa
aihe,aiheesta
yksi,Yksi
nuori,nuorten
apu,avulla
päästä,päästä
kyse,kyse
tämä,tätä
yhtä,yhtä
oma,oma
verran,verran
osa,osalta
joka,josta
lapsi,lasten
ei,En
yhtiö,yhtiön
koskaan,koskaan
tämä,Tämän
joka,jolla
se,sillä
toimia,toimii
mikä,missä
kohti,kohti
olla,Olen
silti,silti
ei,en
muu,muuta
kaikki,kaikkien
loppu,loppuun
tarkoittaa,tarkoittaa
olla,onko
muu,muut
vuosi,vuodesta
lle,lle
hinta,hinta
olla,oleva
kyllä,kyllä
lähtien,lähtien
samalla,Samalla
kaikki,Kaikki
saada,saadaan
tarvita,tarvitaan
vaikea,vaikea
hän,He
ottaa,otti
suoraan,suoraan
näkyä,näkyy
asia,asioita
moni,moni
vuosi,Vuonna
joka,johon
käydä,käy
tärkeä,tärkeää
toistaiseksi,toistaiseksi
vaatia,vaatii
ehkä,ehkä
kausi,kaudella
kertoa,kerrotaan
etenkin,etenkin
päättää,päätti
hallitus,hallitus
alkaen,alkaen
kanta,kannalta
vähemmän,vähemmän
poliisi,poliisin
jatkua,jatkuu
ottelu,ottelun
todeta,totesi
selvästi,selvästi
vuosi,vuosien
vai,vai
se,niistä
joka,joilla
järjestää,järjestetään
een,een
kunta,kunnan
verrata,verrattuna
kesä,kesän
edessä,edessä
samalla,samalla
asia,asiaa
varmasti,varmasti
se,Ne
alla,alla
jokin,jotain
vaihe,vaiheessa
päästä,pääsee
apu,apua
toimitusjohtaja,toimitusjohtaja
loppu,lopussa
oma,omaa
lähellä,lähellä
esiin,esiin
tehdä,tekemään
nousta,noussut
todennäköisesti,todennäköisesti
kuusi,kuusi
tulla,tulevat
pian,pian
kaikki,kaikille
saada,saavat
kesken,kesken
käydä,kävi
kuukausi,kuukauden
miljoona,miljoonan
eniten,eniten
uskoa,uskoo
päivä,päivänä
puolesta,puolesta
raha,rahaa
seitsemän,seitsemän
johtaja,johtaja
maa,maassa
se,Siinä
olla,onkin
hän,hänet
minä,meidän
saada,saatu
kahdeksan,kahdeksan
mahdollisuus,mahdollisuus
hyvä,hyvää
tilanne,tilannetta
tämä,tästä
nähdä,nähdään
yleensä,yleensä
iso,iso
uudelleen,uudelleen
vuosi,vuodessa
olla,olevansa
ilmoittaa,ilmoitti
ensimmäinen,ensimmäistä
sähkö,sähkön
kokonaan,kokonaan
ympäri,ympäri
olla,olemme
päästä,pääsi
vuosi,vuoteen
eteenpäin,eteenpäin
tarvita,tarvitse
tilanne,tilanteessa
tehdä,tehtiin
toiminta,toimintaa
syy,syytä
alku,alusta
aloittaa,aloitti
erilainen,erilaisia
aloittaa,aloittaa
hyvin,paremmin
kesä,kesänä
tapaus,tapauksessa
kertoa,kertovat
joukkue,joukkue
miksi,miksi
työ,työtä
valtio,valtion
puoli,puolella
pari,pari
osa,Osa
nostaa,nostaa
hän,hänelle
kilometri,kilometrin
takana,takana
päivä,päivä
minä,meillä
tapa,tavoin
tietää,tietää
piste,pistettä
kaikki,kaiken
toimia,toiminut
vähintään,vähintään
puoli,puolet
silloin,Silloin
ihminen,ihmisen
joutua,joutui
kommentoida,kommentoi
entinen,entistä
mennä,menee
joku,joku
moni,monet
mikä,minkä
lähteä,lähti
tuoda,tuo
vuosi,Vuoden
odottaa,odottaa
ry,ry
aiheuttaa,aiheuttaa
siksi,siksi
käytäntö,käytännössä
mieli,mieltä
tapahtua,tapahtuu
sama,samaan
media,mediassa
sota,sota
se,Sitä
järjestää,järjestää
mikä,Mitä
maksaa,maksaa
sisällä,sisällä
jatko,jatkossa
minuutti,minuuttia
suhteen,suhteen
mennä,meni
kevät,keväällä
mahdollisimman,mahdollisimman
työ,töitä
ensin,ensin
valmis,valmis
viikonloppu,viikonloppuna
loppu,lopulla
kohtaan,kohtaan
parhaillaan,parhaillaan
vuosi,vuosia
käyttö,käytössä
välttämättä,välttämättä
nähdä,näkee
joukkue,joukkueen
olla,ollaan
voida,voinut
mikä,mistä
vastata,vastaa
kasvaa,kasvaa
liittyä,liittyy
oikein,oikein
tämä,Tässä
tavoite,tavoitteena
melko,melko
myöskään,myöskään
toivoa,toivoo
hän,häntä
siksi,Siksi
minä,me
paikka,paikka
koulu,koulun
mies,miehen
sanoa,sanoa
hyvä,paras
tärkeä,tärkeä
päälle,päälle
