Morph-lemma,Morph-inflection
der,der
der,die
und,und
in,in
der,den
mit,mit
von,von
zu,zu
der,das
sein,ist
auf,auf
in,im
der,Die
sich,sich
für,für
ein,ein
nicht,nicht
es,es
der,dem
ein,eine
auch,auch
der,des
an,an
an,am
als,als
der,Der
werden,werden
bei,bei
dass,dass
haben,hat
aus,aus
der,Das
nach,nach
sein,sind
um,um
werden,wird
sie,sie
ein,einem
noch,noch
wie,wie
er,er
ein,einer
ein,einen
vor,vor
haben,haben
sein,war
aber,aber
zu,zum
über,über
so,so
mehr,mehr
oder,oder
nur,nur
in,In
werden,wurde
sein,sein
sein,sei
gegen,gegen
sie,Sie
bis,bis
man,man
es,Es
zu,zur
können,kann
wieder,wieder
haben,hatte
wir,wir
können,können
durch,durch
haben,habe
unter,unter
sollen,soll
schon,schon
geben,gibt
in,Im
Jahr,Jahr
zwei,zwei
sagen,sagte
dann,dann
Mensch,Menschen
und,Und
auch,Auch
ein,Ein
von,vom
Jahr,Jahren
ich,ich
immer,immer
nun,nun
Prozent,Prozent
ihr,ihre
bei,beim
wenn,wenn
bereits,bereits
wir,Wir
sein,seine
er,Er
seit,seit
werden,wurden
kein,keine
dieser,diese
nach,Nach
mit,Mit
Euro,Euro
ich,Ich
ab,ab
sehr,sehr
sein,waren
an,Am
dieser,dieser
neu,neue
jetzt,jetzt
gehen,geht
werden,worden
für,Für
ihr,ihr
sein,seiner
erster,ersten
Uhr,Uhr
bei,Bei
drei,drei
weiter,weiter
dieser,diesem
ein,eines
Polizei,Polizei
wollen,will
damit,damit
ein,Eine
etwa,etwa
müssen,müssen
rund,rund
Jahr,Jahre
wie,Wie
doch,Doch
Zeit,Zeit
viel,viel
zwischen,zwischen
sowie,sowie
muss,muss
gut,gut
Ende,Ende
dabei,dabei
vieler,viele
neu,neuen
sagen,sagt
sein,seien
da,da
in,ins
so,So
anderer,anderen
selbst,selbst
hier,hier
aber,Aber
aller,alle
alle,allem
sein,seinen
wegen,wegen
sollen,sollen
stehen,steht
etwas,etwas
ihr,ihren
machen,machen
was,was
ganz,ganz
ihr,ihrer
laut,laut
sein,seinem
kommen,kommt
Stadt,Stadt
vergangen,vergangenen
beide,beiden
ohne,ohne
weil,weil
können,könnte
auf,Auf
Unternehmen,Unternehmen
geben,gab
doch,doch
Million,Millionen
werden,werde
anderer,andere
sondern,sondern
was,Was
uns,uns
dafür,dafür
kommen,kommen
jedoch,jedoch
wollen,wollen
dort,dort
als,Als
weit,weitere
haben,hatten
vier,vier
erst,erst
dazu,dazu
können,konnte
Mann,Mann
allerdings,allerdings
lassen,lassen
dieser,Diese
ihn,ihn
wenn,Wenn
heute,heute
kommen,kam
also,also
Land,Land
sollen,sollte
ihm,ihm
geben,geben
Woche,Woche
deutlich,deutlich
einmal,einmal
Freitag,Freitag
stehen,stehen
letzter,letzten
ob,ob
Kind,Kinder
denn,Denn
erster,erste
alle,alles
kein,kein
wer,Wer
davon,davon
sehen,sehen
ihr,ihrem
dieser,dieses
sogar,sogar
Frau,Frau
Sonntag,Sonntag
derzeit,derzeit
sein,gewesen
dabei,Dabei
fünf,fünf
machen,macht
Donnerstag,Donnerstag
werden,würde
dieser,diesen
Tag,Tag
groß,große
sein,wäre
wo,wo
liegen,liegt
Montag,Montag
da,Da
russisch,russischen
Woche,Wochen
gehen,gehen
anderer,anderem
Mittwoch,Mittwoch
Angabe,Angaben
Welt,Welt
zurück,zurück
Leben,Leben
werden,würden
Samstag,Samstag
wer,was
groß,großen
darauf,darauf
fast,fast
weniger,weniger
denn,denn
während,während
nichts,nichts
mal,mal
haben,hätten
sehen,sieht
möglich,möglich
zwar,zwar
seit,Seit
Dienstag,Dienstag
Platz,Platz
Spiel,Spiel
einfach,einfach
vor,Vor
zeigen,zeigt
wohl,wohl
Fall,Fall
gelten,gilt
man,Man
ebenfalls,ebenfalls
gerade,gerade
eigen,eigenen
Weg,Weg
Teil,Teil
statt,statt
Mal,Mal
Geld,Geld
bleiben,bleibt
zehn,zehn
heißen,heißt
finden,finden
spät,später
machen,gemacht
der,denen
damit,Damit
ja,ja
zudem,zudem
schnell,schnell
deutsch,deutschen
bekannt,bekannt
besonders,besonders
können,könnten
Frage,Frage
gar,gar
wenig,wenig
Person,Personen
mir,mir
erklären,erklärt
bisher,bisher
Krieg,Krieg
Thema,Thema
mehrere,mehrere
vieler,vielen
einiger,einige
Team,Team
Straße,Straße
zweiter,zweiten
laut,Laut
sollen,sollten
dieser,dies
von,Von
zusammen,zusammen
Frau,Frauen
bleiben,bleiben
gehen,ging
haben,hätte
zuletzt,zuletzt
nächster,nächsten
nun,Nun
zunächst,zunächst
pro,pro
stark,stark
Einsatz,Einsatz
Anfang,Anfang
kommend,kommenden
Ort,Ort
um,Um
kein,keinen
Regierung,Regierung
sechs,sechs
weiterhin,weiterhin
sein,bin
lässt,lässt
weit,weiteren
zufolge,zufolge
klar,klar
Blick,Blick
zudem,Zudem
an,An
September,September
mich,mich
gut,besser
Ziel,Ziel
können,könne
lange,lange
Tag,Tagen
wollen,wollte
zu,Zu
aller,allen
Arbeit,Arbeit
Beispiel,Beispiel
Saison,Saison
knapp,knapp
Auto,Auto
Präsident,Präsident
oft,oft
Juni,Juni
russisch,russische
aktuell,aktuell
insgesamt,insgesamt
tun,tun
zu,Zum
ihnen,ihnen
schwer,schwer
genau,genau
erklären,erklärte
verletzen,verletzt
Oktober,Oktober
der,Den
können,konnten
Richtung,Richtung
Tag,Tage
finden,findet
Trainer,Trainer
erhalten,erhalten
nie,nie
wirklich,wirklich
unser,unsere
geben,gegeben
zuvor,zuvor
jetzt,Jetzt
bekommen,bekommen
natürlich,natürlich
kurz,kurz
Grund,Grund
Beginn,Beginn
erneut,erneut
Familie,Familie
kaum,kaum
Zukunft,Zukunft
Minute,Minuten
Dezember,Dezember
Zahl,Zahl
November,November
Nacht,Nacht
teilen,teilte
zeigen,zeigen
Februar,Februar
gut,gute
berichten,berichtet
Lage,Lage
Juli,Juli
bringen,gebracht
dieser,Dies
alle,alle
Januar,Januar
müssen,müsse
Stunde,Stunden
fest,fest
gegenüber,gegenüber
Situation,Situation
deutsch,deutsche
Monat,Monaten
Jahr,Jahres
hier,Hier
Kunde,Kunden
bei,Beim
sich,uns
eigentlich,eigentlich
Bereich,Bereich
wichtig,wichtig
Sommer,Sommer
Fan,Fans
weit,weit
während,Während
Feuerwehr,Feuerwehr
neben,neben
April,April
sicher,sicher
FC,FC
dann,Dann
kommen,gekommen
möchten,möchte
aller,aller
Milliarde,Milliarden
Mai,Mai
Seite,Seite
deshalb,deshalb
bringen,bringen
Pandemie,Pandemie
hin,hin
nehmen,nehmen
darüber,darüber
dürfen,dürfte
direkt,direkt
gleich,gleich
musste,musste
stellen,stellt
Rolle,Rolle
hinter,hinter
Haus,Haus
meister,meisten
bislang,bislang
damals,damals
aus,Aus
neu,neu
Unterstützung,Unterstützung
aktuell,aktuellen
eher,eher
liegen,liegen
halten,halten
Region,Region
Entscheidung,Entscheidung
dort,Dort
außerdem,Außerdem
gemeinsam,gemeinsam
bis,Bis
daher,daher
Kosten,Kosten
Mannschaft,Mannschaft
der,deren
jeder,jeder
Wochenende,Wochenende
werden,geworden
Höhe,Höhe
daran,daran
gehören,gehört
welcher,welche
innen,innen
sagen,sagen
halten,hält
sieben,sieben
Bundesregierung,Bundesregierung
dürfen,darf
aufgrund,aufgrund
Problem,Problem
stehen,stand
Geschichte,Geschichte
hoch,hohen
erwarten,erwartet
Mitarbeiter,Mitarbeiter
leicht,leicht
der,dessen
stellen,stellen
trotz,trotz
dürfen,dürfen
Spieler,Spieler
dazu,Dazu
nicht,Nicht
Art,Art
ukrainisch,ukrainischen
spielen,spielen
wissen,wissen
März,März
ob,Ob
mindestens,mindestens
gut,besten
Politik,Politik
richtig,richtig
hoch,hoch
über,Über
neben,Neben
geben,gebe
bieten,bietet
deutsch,Deutschen
allerdings,Allerdings
jeder,jeden
lang,lang
Rahmen,Rahmen
je,je
Mann,Männer
Vergleich,Vergleich
Mitte,Mitte
Problem,Probleme
nur,Nur
offenbar,offenbar
Dass,Dass
Wasser,Wasser
Folge,Folge
Kritik,Kritik
Meter,Meter
zweiter,zweite
acht,acht
wissen,weiß
Datum,Daten
Gas,Gas
Entwicklung,Entwicklung
durch,Durch
du,du
unterwegs,unterwegs
ihr,Ihre
per,per
Maßnahme,Maßnahmen
einer,einer
Monat,Monate
sofort,sofort
ukrainisch,ukrainische
Sieg,Sieg
Gruppe,Gruppe
Preis,Preise
helfen,helfen
Russland,Russland
schon,Schon
einiger,einigen
ihr,Ihr
anders,anders
mussn,muss
Eltern,Eltern
beispielsweise,beispielsweise
spielen,spielt
Frage,Fragen
Verfügung,Verfügung
unter,Unter
paar,paar
unser,unserer
sprechen,spricht
Wert,Wert
vieler,Viele
Berliner,Berliner
Schritt,Schritt
am,am
Hilfe,Hilfe
führen,führt
eigen,eigene
groß,groß
Projekt,Projekt
künftig,künftig
Folge,Folgen
Bürgermeister,Bürgermeister
dieser,Dieser
brauchen,braucht
Land,Länder
liegen,lag
setzen,setzt
Bevölkerung,Bevölkerung
heißen,hieß
hinaus,hinaus
bald,bald
Information,Informationen
sein,seines
jung,junge
laufen,läuft
handeln,handelt
finden,gefunden
vielleicht,vielleicht
zumindest,zumindest
ganz,ganze
noch,Noch
Verein,Verein
betonen,betonte
klein,kleine
nutzen,nutzen
wer,wer
Unfall,Unfall
solcher,solche
Punkt,Punkte
führen,führen
Gast,Gäste
setzen,setzen
erst,Erst
alt,alte
sich,mich
Energie,Energie
mittlerweile,mittlerweile
Land,Landes
Gemeinde,Gemeinde
Krankenhaus,Krankenhaus
Abend,Abend
Erfolg,Erfolg
erstmals,erstmals
zwei,Zwei
scheinen,scheint
Zahl,Zahlen
arbeiten,arbeiten
Start,Start
Bild,Bild
beide,beide
innerhalb,innerhalb
Möglichkeit,Möglichkeit
überhaupt,überhaupt
Markt,Markt
letzter,letzte
gut,guten
gerne,gerne
nehmen,nimmt
neu,neues
erreichen,erreicht
planen,geplant
Mutter,Mutter
