Morph-lemma,Morph-inflection
και,και
να,να
ο,το
ο,την
ο,της
με,με
ο,του
για,για
που,που
από,από
ο,η
ο,ο
σε ο,στο
σε,σε
είμαι,είναι
σε ο,στην
ο,τον
ο,τα
θα,θα
ο,των
ο,τη
ότι,ότι
δεν,δεν
ο,Η
μου,του
ο,οι
ο,τις
ο,Ο
σε ο,στη
έχω,έχει
ο,τους
μου,της
ένας,ένα
ο,Το
σε ο,στα
σε ο,στον
ένας,μια
σε ο,στις
είμαι,ήταν
μου,τους
αλλά,αλλά
ο,Οι
αυτός,αυτό
μου,μας
έχω,έχουν
έχω,είχε
πως,πως
ενώ,ενώ
δύο,δύο
μετά,μετά
πολύ,πολύ
μου,μου
όπως,όπως
κατά,κατά
ως,ως
ή,ή
δεν,Δεν
αυτός,αυτή
καθώς,καθώς
οποίος,οποία
πιο,πιο
λέγω,είπε
σε ο,στους
σήμερα,σήμερα
ένας,μία
μπορώ,μπορεί
πρέπει,πρέπει
αν,αν
όταν,όταν
χρόνος,χρόνια
εγώ,το
όμως,όμως
ο,Τα
μέχρι,μέχρι
κάνω,κάνει
για,Για
σε,Σε
με,Με
σε ο,Στο
προς,προς
μόνο,μόνο
κάθε,κάθε
σύμφωνα,Σύμφωνα
ομάδα,ομάδα
μέσα,μέσα
όπου,όπου
τι,τι
όλος,όλα
είμαι,Είναι
από,Από
πριν,πριν
πρώτος,πρώτη
οποίος,οποίο
επίσης,επίσης
ένας,ένας
ένας,έναν
χώρα,χώρα
σύμφωνα,σύμφωνα
δηλώνω,δήλωσε
εγώ,μας
μεταξύ,μεταξύ
και,κι
αυτός,αυτά
ακόμα,ακόμη
ζωή,ζωή
μαζί,μαζί
κάτι,κάτι
χωρίς,χωρίς
υπάρχω,υπάρχει
ο,Την
νέος,νέα
Και,Και
κάνω,έκανε
εγώ,τους
γιατί,γιατί
στιγμή,στιγμή
γίνομαι,γίνει
έχω,είχαν
μην,μην
παιδί,παιδιά
όπως,Όπως
ακόμα,ακόμα
σε ο,Στην
ίδιος,ίδια
αναφέρω,ανέφερε
φορά,φορά
βρίσκω,βρίσκεται
εγώ,τον
θέση,θέση
περιοχή,περιοχή
οποίος,οποίος
τόσο,τόσο
ευρώ,ευρώ
πάνω,πάνω
συνέχεια,συνέχεια
όχι,όχι
ώρα,ώρα
έχω,έχουμε
ώς,έως
χρονος,χρονος
γίνομαι,έγινε
θα,Θα
όσο,όσο
πλέον,πλέον
μεγάλος,μεγάλη
λόγω,λόγω
σου,σου
ήδη,ήδη
διάρκεια,διάρκεια
εγώ,την
εδώ,εδώ
τελευταίος,τελευταία
σπίτι,σπίτι
πρόεδρος,πρόεδρος
πρώτος,πρώτο
αυτός,Αυτό
μέσω,μέσω
τώρα,τώρα
σε ο,Στη
περίπου,περίπου
αφού,αφού
ένας,ενός
κατάσταση,κατάσταση
κυβέρνηση,κυβέρνηση
ώρα,ώρες
τέλος,τέλος
τονίζω,τόνισε
σχέση,σχέση
πολύς,πολλά
κόσμος,κόσμο
έτος,ετών
τρόπος,τρόπο
αποτέλεσμα,αποτέλεσμα
αφορώ,αφορά
αυτός,αυτές
χρόνος,χρόνο
πληροφορία,πληροφορίες
αν,Αν
τότε,τότε
υπάρχω,υπάρχουν
αρχή,αρχές
εκεί,εκεί
πάντα,πάντα
παιχνίδι,παιχνίδι
σημείο,σημείο
ώστε,ώστε
ωστόσο,ωστόσο
στοιχείο,στοιχεία
χώρα,χώρας
άλλος,άλλη
μπορώ,μπορούν
ΗΠΑ,ΗΠΑ
μου,σας
νέος,νέο
ποτέ,ποτέ
ίδιος,ίδιο
αναμένω,αναμένεται
μεγάλος,μεγάλο
εγώ,του
αναφέρω,αναφέρει
όλος,όλους
άνθρωπος,άνθρωποι
ημέρα,ημέρες
φαίνομαι,φαίνεται
τρεις,τρεις
πολύς,πολλές
καλά,καλά
κοντά,κοντά
εκτός,εκτός
έτσι,έτσι
περίπτωση,περίπτωση
φορά,φορές
ωστόσο,Ωστόσο
μάλιστα,μάλιστα
όλος,όλοι
θέμα,θέμα
αγώνας,αγώνα
πρωί,πρωί
λίγο,λίγο
χώρα,χώρες
υπουργός,υπουργός
άλλος,άλλο
λέει,λέει
προκειμένου,προκειμένου
μήνας,μήνες
σειρά,σειρά
μέρος,μέρος
γίνομαι,γίνεται
πίσω,πίσω
εν,εν
ίδιος,ίδιος
υπόθεση,υπόθεση
γεγονός,γεγονός
Να,Να
όλος,όλες
χθες,χθες
κάνω,κάνουν
απόφαση,απόφαση
μετά,Μετά
όσος,όσα
ματς,ματς
κάποιος,κάποια
λόγος,λόγο
χρονη,χρονη
εγώ,τα
πλευρά,πλευρά
ανακοινώνω,ανακοίνωσε
άλλος,άλλα
πλαίσιο,πλαίσιο
μην,μη
πρώην,πρώην
μέτρο,μέτρα
δε,δε
έχω,έχω
επί,επί
βράδυ,βράδυ
είμαι,είμαστε
πολύ,περισσότερο
αποτελώ,αποτελεί
όλος,όλη
βρίσκω,βρίσκονται
αύξηση,αύξηση
πράγμα,πράγματα
γκολ,γκολ
γυναίκα,γυναίκα
διάστημα,διάστημα
ομάδα,ομάδας
όταν,Όταν
προσθέτω,πρόσθεσε
ούτε,ούτε
μόλις,μόλις
σχετικά,σχετικά
εκ,εκ
χώρος,χώρο
άλλος,άλλες
ό,ό
ιστορία,ιστορία
μητέρα,μητέρα
υπό,υπό
παράλληλα,Παράλληλα
πρόβλημα,προβλήματα
κυρίως,κυρίως
βίντεο,βίντεο
σημείωσε,σημείωσε
σαν,σαν
πώς,πώς
εβδομάδα,εβδομάδα
άνθρωπος,ανθρώπους
βάση,βάση
περίοδος,περίοδο
επίσης,Επίσης
είμαι,είμαι
εγώ,σας
πολίτης,πολίτες
σχεδόν,σχεδόν
ομάδα,ομάδες
πρόγραμμα,πρόγραμμα
πρόκειται,πρόκειται
νίκη,νίκη
άλλος,άλλων
