Morph-lemma,Morph-inflection
の,の
は,は
に,に
て,て
た,た
が,が
だ,だ
を,を
ん,ん
か,か
ない,ない
と,と
よ,よ
も,も
で,で
する,し
です,です
だ,な
な,な
ね,ね
から,から
う,う
こと,こと
私,私
あっ,あっ
って,って
く,っ
お,お
ます,ます
そう,そう
じゃ,じゃ
いい,いい
てる,てる
いる,い
人,人
さん,さん
俺,俺
何,何
この,この
あ,あ
する,する
えっ,えっ
けど,けど
いる,いる
これ,これ
それ,それ
れる,れ
てる,て
だ,で
ある,ある
ば,ば
でも,でも
わ,わ
なる,なっ
たち,たち
お前,お前
その,その
あの,あの
た,たら
どう,どう
だ,だろ
ます,まし
だ,だっ
ちゃん,ちゃん
だけ,だけ
様,様
よう,よう
ぞ,ぞ
今,今
だ,なら
さ,さ
え,え
ここ,ここ
まで,まで
し,し
なん,なん
はい,はい
うん,うん
もう,もう
くれる,くれ
たい,たい
言う,言っ
です,でしょ
ない,なく
僕,僕
見る,見
そんな,そんな
ああ,ああ
ます,ませ
もの,もの
する,さ
いや,いや
や,や
くる,き
なる,なる
なんて,なんて
やる,やっ
ない,なかっ
くん,くん
あなた,あなた
ちょっと,ちょっと
せる,せ
思う,思っ
だって,だって
はっ,はっ
君,君
みんな,みんな
者,者
大丈夫,大丈夫
来る,来
気,気
できる,でき
あれ,あれ
ない,ねえ
あぁ,あぁ
一,一
じゃあ,じゃあ
今日,今日
ありがとう,ありがとう
ある,あっ
くださる,ください
のに,のに
自分,自分
子,子
ため,ため
こんな,こんな
うる,うっ
誰,誰
られる,られ
ら,ら
みたい,みたい
前,前
ある,あり
はぁ,はぁ
へ,へ
とき,とき
また,また
なんで,なんで
だから,だから
とか,とか
かも,かも
より,より
一緒,一緒
まだ,まだ
なんか,なんか
なぁ,なぁ
話,話
わけ,わけ
中,中
という,という
どこ,どこ
ご,ご
れる,れる
好き,好き
力,力
できる,できる
ねぇ,ねぇ
思う,思う
やる,やる
ほう,ほう
わかる,わかっ
ちゃう,ちゃっ
出る,出
として,として
ぜ,ぜ
ござる,ござい
あと,あと
よい,よかっ
手,手
人間,人間
聞く,聞い
もん,もん
おっ,おっ
年,年
言う,言う
ふる,ふ
目,目
ところ,ところ
まあ,まあ
違う,違う
うち,うち
日,日
よく,よく
行く,行く
ぬ,ず
ごめん,ごめん
世界,世界
方,方
言う,言わ
ちゃ,ちゃ
いう,いう
お願い,お願い
っす,っす
ただ,ただ
くらい,くらい
家,家
くる,くる
時間,時間
ので,ので
魔法,魔法
みる,み
待つ,待っ
くれる,くれる
おい,おい
本当に,本当に
なる,なり
そういう,そういう
たい,たく
ねえ,ねえ
そこ,そこ
知る,知っ
すごい,すごい
まぁ,まぁ
しか,しか
もっと,もっと
ます,ましょ
ハッ,ハッ
先生,先生
こっち,こっち
やつ,やつ
同じ,同じ
的,的
早い,早く
やっぱり,やっぱり
食べる,食べ
です,でし
はず,はず
悪い,悪い
フッ,フッ
知る,知ら
うい,うぅ
わぁ,わぁ
ダメ,ダメ
仕事,仕事
する,しよ
顔,顔
先輩,先輩
ちゃんと,ちゃんと
たり,たり
先,先
ま,ま
心,心
持つ,持っ
相手,相手
そ,そ
うわ,うわ
ぬ,ぬ
考える,考え
絶対,絶対
しれる,しれ
じゃん,じゃん
男,男
なさる,なさい
ずっと,ずっと
必要,必要
かわいい,かわいい
まま,まま
時,時
少し,少し
魔,魔
られる,られる
くる,くっ
いつも,いつも
すぐ,すぐ
体,体
どうして,どうして
ほど,ほど
そして,そして
行く,行っ
まさか,まさか
ほら,ほら
次,次
剣,剣
もらう,もらっ
おお,おお
つ,つ
こそ,こそ
ホント,ホント
姉,姉
さっき,さっき
教える,教え
つもり,つもり
いう,いっ
する,す
女,女
入る,入っ
二,二
なぜ,なぜ
ない,なきゃ
しまう,しまっ
きっと,きっと
バカ,バカ
では,では
だが,だが
いう,いえ
やめる,やめ
さすが,さすが
わかる,わから
なる,なら
大,大
ちゃう,ちゃう
いく,いく
それで,それで
こちら,こちら
無理,無理
なに,なに
友達,友達
夜,夜
作る,作っ
はあ,はあ
名前,名前
感じ,感じ
そっ,そっ
よろしく,よろしく
度,度
っていう,っていう
わっ,わっ
など,など
子ども,子ども
以上,以上
彼女,彼女
ええ,ええ
すぎる,すぎ
心配,心配
こう,こう
どんな,どんな
どういう,どういう
これから,これから
別に,別に
ちょ,ちょ
すみません,すみません
村,村
しかし,しかし
いえ,いえ
助ける,助け
確か,確か
それに,それに
っと,っと
来る,来る
意味,意味
あんた,あんた
ちる,ち
なるほど,なるほど
する,すれ
ほしい,ほしい
あいつ,あいつ
全部,全部
見える,見え
初めて,初めて
あんな,あんな
神,神
つける,つけ
問題,問題
姉ちゃん,姉ちゃん
死ぬ,死ん
上,上
冬,冬
ござる,ござる
いける,いけ
場所,場所
全然,全然
うわる,うわっ
頭,頭
わかる,わかる
部屋,部屋
やる,やり
帰る,帰っ
姫,姫
他,他
今度,今度
国,国
嫌,嫌
命,命
店,店
普通,普通
音,音
うつ,うっ
生きる,生き
ふん,ふん
せる,せる
太,太
思う,思い
ふる,ふっ
する,しろ
とも,とも
忘れる,忘れ
いろいろ,いろいろ
関係,関係
らしい,らしい
いつ,いつ
娘,娘
気持ち,気持ち
夢,夢
本,本
すべて,すべて
かしら,かしら
かける,かけ
外,外
こいつ,こいつ
さぁ,さぁ
ひる,ひ
頑張る,頑張っ
月,月
せい,せい
入れる,入れ
火,火
最後,最後
ある,あれ
昔,昔
ど,ど
分,分
する,せ
かい,かい
わかる,わかり
おはよう,おはよう
もちろん,もちろん
がる,がっ
使う,使っ
ない,なけれ
本当,本当
アイツ,アイツ
大事,大事
魔術,魔術
王,王
さま,さま
あげる,あげ
学校,学校
とこ,とこ
大変,大変
行く,行き
明日,明日
仲間,仲間
べし,べき
うい,うう
魔王,魔王
料理,料理
強い,強い
おいしい,おいしい
マジ,マジ
もらう,もらう
行く,行こ
まったく,まったく
山田,山田
見せる,見せ
兄,兄
言葉,言葉
言う,言い
声,声
一つ,一つ
街,街
出す,出し
師,師
どうぞ,どうぞ
変,変
そんなに,そんなに
名,名
んで,んで
つく,つい
っけ,っけ
いく,いっ
もしかして,もしかして
勇者,勇者
愛,愛
いったい,いったい
昨日,昨日
三,三
いく,いか
殿,殿
戻る,戻っ
おかげ,おかげ
最近,最近
連れる,連れ
覚える,覚え
め,め
ごめんなさい,ごめんなさい
部,部
彼,彼
終わる,終わっ
会,会
所,所
砂糖,砂糖
でる,でる
話す,話し
ない,ねぇ
死ぬ,死ぬ
寝る,寝
逃げる,逃げ
失礼,失礼
性,性
数,数
家族,家族
ポチ,ポチ
回,回
最初,最初
水,水
すごい,すごく
敵,敵
たい,たかっ
六道,六道
さあ,さあ
理由,理由
おう,おう
皆さん,皆さん
とおり,とおり
情報,情報
よい,よし
練習,練習
冒険,冒険
邪魔,邪魔
我が,我が
もし,もし
約束,約束
やる,やら
勝手,勝手
間,間
術,術
貴様,貴様
ばかり,ばかり
今回,今回
買う,買っ
たくさん,たくさん
星,星
任せる,任せ
実は,実は
なんと,なんと
森,森
やっぱ,やっぱ
存在,存在
元気,元気
結構,結構
芽,芽
見つける,見つけ
族,族
金,金
信じる,信じ
あげる,あげる
怖い,怖い
てる,てん
姿,姿
出る,出る
こ,こ
よし,よし
分かる,分かっ
ながら,ながら
あら,あら
魔力,魔力
そろそろ,そろそろ
我々,我々
ウソ,ウソ
急,急
うまい,うまく
陽,陽
兄ちゃん,兄ちゃん
強い,強く
おぉ,おぉ
せっかく,せっかく
犬,犬
花,花
こういう,こういう
まっ,まっ
準備,準備
用,用
そりゃ,そりゃ
く,く
枚,枚
見る,見る
肉,肉
殺す,殺し
すぎる,すぎる
ない,なし
必ず,必ず
旦那,旦那
可能,可能
海,海
危険,危険
なあ,なあ
行く,行か
しまう,しまう
まずは,まずは
頼む,頼む
いっぱい,いっぱい
つまり,つまり
猫,猫
足,足
にとって,にとって
物,物
負ける,負け
よい,よい
以外,以外
おる,おり
どれ,どれ
くい,く
後,後
うれしい,うれしい
いやいや,いやいや
とにかく,とにかく
フン,フン
いただく,いただき
口,口
パパ,パパ
一番,一番
無事,無事
くる,こ
騎士,騎士
獣,獣
決める,決め
別,別
ミリ,ミリ
貴族,貴族
全員,全員
第,第
楽しみ,楽しみ
パイ,パイ
きれい,きれい
妹,妹
守る,守る
行う,行っ
作る,作る
魔物,魔物
ほる,ほ
呼ぶ,呼ん
鬼,鬼
お母さん,お母さん
師匠,師匠
うまい,うまい
おく,おい
受ける,受け
久しぶり,久しぶり
起きる,起き
しかた,しかた
変わる,変わっ
陛下,陛下
道,道
新しい,新しい
元,元
たん,たん
セン,セン
楽しい,楽しい
曲,曲
風,風
こんなに,こんなに
やはり,やはり
しっかり,しっかり
ない,な
血,血
朝,朝
とても,とても
勉強,勉強
攻撃,攻撃
学園,学園
白石,白石
最高,最高
帰る,帰る
どうか,どうか
待つ,待て
ゲーム,ゲーム
事,事
決まる,決まっ
女の子,女の子
屋,屋
殺す,殺す
について,について
城,城
終わる,終わり
幸せ,幸せ
思う,思わ
服,服
よる,よっ
記憶,記憶
おく,おく
そっち,そっち
使う,使う
ども,ども
とりあえず,とりあえず
石,石
下,下
島,島
そもそも,そもそも
やめる,やめろ
番,番
すげる,すげ
身,身
場,場
いう,いい
女子,女子
悪い,悪く
結婚,結婚
へぇ,へぇ
万,万
間違い,間違い
始める,始め
大切,大切
いきなり,いきなり
残念,残念
簡単,簡単
だけど,だけど
よい,よく
歳,歳
どおり,どおり
なかなか,なかなか
レイ,レイ
なら,なら
食べる,食べる
風呂,風呂
安心,安心
聞く,聞き
高い,高い
朝陽,朝陽
ありがと,ありがと
いたす,いたし
戦い,戦い
ちまう,ちまっ
士,士
みる,みる
それでも,それでも
どっち,どっち
状況,状況
入る,入る
会う,会っ
連絡,連絡
生徒,生徒
続ける,続け
周,周
する,すん
える,え
もらえる,もらえ
用意,用意
我,我
いつか,いつか
申し訳,申し訳
なんだか,なんだか
聞く,聞か
本気,本気
へっ,へっ
目的,目的
いる,いら
まず,まず
言える,言え
ひる,ひっ
多い,多い
生,生
いらっしゃる,いらっしゃい
あたし,あたし
試合,試合
やる,やろ
結局,結局
生活,生活
作品,作品
ぬ,ね
化,化
ううん,ううん
なんとか,なんとか
お父さん,お父さん
ころ,ころ
あんまり,あんまり
いく,いき
倒す,倒し
くう,くっ
もう少し,もう少し
ふう,ふっ
確認,確認
祭,祭
刀,刀
里,里
頃,頃
感じる,感じ
都,都
うむ,うむ
思い,思い
超,超
とる,とっ
役,役
どの,どの
ろ,ろ
消える,消え
たぶん,たぶん
止める,止め
毎日,毎日
ほか,ほか
どうせ,どうせ
呼ぶ,呼ば
腕,腕
わあ,わあ
場合,場合
時代,時代
危ない,危ない
勝負,勝負
十,十
探す,探し
ねる,ねっ
主,主
ずいぶん,ずいぶん
戦,戦
さっさと,さっさと
代わり,代わり
お金,お金
いくら,いくら
期待,期待
あまり,あまり
置く,置い
大好き,大好き
妖精,妖精
小,小
色,色
大人,大人
イカ,イカ
ひどい,ひどい
見える,見える
似る,似
疲れる,疲れ
け,け
殺す,殺さ
しばらく,しばらく
しかも,しかも
傷,傷
取る,取っ
もらう,もらい
嫌い,嫌い
さえ,さえ
なる,なれ
協力,協力
興味,興味
クソ,クソ
すか,すか
おかしい,おかしい
わける,わけ
どうも,どうも
当然,当然
出す,出す
皆,皆
兄さん,兄さん
首,首
説明,説明
室,室
クリス,クリス
一応,一応
いちばん,いちばん
まるで,まるで
方法,方法
高校,高校
氷室,氷室
迷惑,迷惑
能力,能力
薬,薬
耳,耳
ケガ,ケガ
依頼,依頼
生まれる,生まれ
しまう,しまい
許す,許さ
感謝,感謝
自由,自由
結果,結果
り,り
スる,ス
嬢,嬢
ぼる,ぼ
正直,正直
銀,銀
感,感
聞く,聞く
ちょうど,ちょうど
さて,さて
写真,写真
アハハ,アハハ
あそこ,あそこ
残る,残っ
大会,大会
弟,弟
会う,会い
参加,参加
船,船
光,光
ガキ,ガキ
契約,契約
ケンカ,ケンカ
それでは,それでは
おく,おき
おる,おっ
未来,未来
まずい,まずい
コン,コン
式,式
守る,守っ
作戦,作戦
野郎,野郎
領主,領主
べ,べ
特に,特に
天,天
覚悟,覚悟
欲しい,欲しい
行動,行動
死,死
だめ,だめ
ギルド,ギルド
伝える,伝え
にゃ,にゃ
無駄,無駄
逆,逆
雨,雨
失敗,失敗
ママ,ママ
戦う,戦う
隊長,隊長
待つ,待た
セ,セ
ゆっくり,ゆっくり
相談,相談
理解,理解
黙る,黙っ
人生,人生
親,親
強い,強
近く,近く
程度,程度
任務,任務
本物,本物
ドラゴン,ドラゴン
軍,軍
父,父
十分,十分
早い,早い
形,形
車,車
町,町
逃げる,逃げる
カード,カード
姉さん,姉さん
くせ,くせ
もらえる,もらえる
やっと,やっと
書く,書い
司,司
すむ,すま
くる,こい
優しい,優しい
いま,いま
調子,調子
持つ,持つ
精霊,精霊
最強,最強
酒,酒
リア,リア
離れる,離れ
そば,そば
緊張,緊張
おもしろい,おもしろい
狩り,狩り
トモ,トモ
認める,認め
なれる,なれ
させる,させ
着る,着
父様,父様
難しい,難しい
何者,何者
かなり,かなり
分かる,分から
髪,髪
貸す,貸し
大きな,大きな
婚約,婚約
息子,息子
菓子,菓子
もう一度,もう一度
特別,特別
真,真
なれる,なれる
結界,結界
余計,余計
諦める,諦め
完全,完全
まだまだ,まだまだ
すでに,すでに
機,機
絵,絵
痛い,痛い
味,味
乗る,乗っ
映画,映画
兵馬,兵馬
かぁ,かぁ
女性,女性
によって,によって
遊び,遊び
件,件
戦う,戦っ
うるさい,うるさい
てめえ,てめえ
少女,少女
足りる,足り
隊,隊
聞こえる,聞こえ
困る,困っ
君たち,君たち
知る,知り
応援,応援
スキル,スキル
仲よく,仲よく
使える,使え
今年,今年
冗談,冗談
お礼,お礼
近い,近い
重,重
たつ,たっ
炎,炎
おる,おる
挨拶,挨拶
組,組
果,果
紹介,紹介
使える,使える
平気,平気
た,たろ
高,高
向こう,向こう
夏,夏
仲,仲
何だ,何だ
がる,がる
彼ら,彼ら
研究,研究
かかる,かかっ
そいつ,そいつ
アイドル,アイドル
拙者,拙者
日本,日本
み,み
小さい,小さい
点,点
面倒,面倒
品,品
それとも,それとも
授業,授業
演技,演技
レベル,レベル
楽しい,楽し
山,山
会社,会社
赤,赤
とく,とい
チーム,チーム
連中,連中
考える,考える
す,す
新,新
調べる,調べ
討伐,討伐
それなら,それなら
うる,うる
ところで,ところで
つく,つく
ふむ,ふむ
どちら,どちら
動き,動き
零,零
戻る,戻る
恋,恋
咲,咲
それだけ,それだけ
頼む,頼ん
異,異
笑う,笑っ
かっこいい,かっこいい
まい,まい
ぐらい,ぐらい
空,空
そのまま,そのまま
それから,それから
責任,責任
あっち,あっち
与える,与え
報告,報告
だし,だし
毒,毒
落ちる,落ち
周り,周り
斬る,斬り
楽しい,楽しかっ
っぽい,っぽい
変わる,変わら
落ち着く,落ち着い
来る,来い
食事,食事
おめでとう,おめでとう
もつ,もっ
それにしても,それにしても
席,席
増える,増え
遊ぶ,遊ん
母さん,母さん
恥ずかしい,恥ずかしい
お客,お客
予定,予定
戦争,戦争
けれど,けれど
技,技
種族,種族
演奏,演奏
訓練,訓練
いる,いれ
状態,状態
帰る,帰り
げ,げ
自信,自信
胸,胸
何で,何で
父さん,父さん
おなか,おなか
いく,いけ
雷,雷
国王,国王
青野,青野
だいたい,だいたい
めっちゃ,めっちゃ
すてき,すてき
霊,霊
地,地
すぎ,すぎ
クラス,クラス
ライブ,ライブ
我ら,我ら
成功,成功
すら,すら
意識,意識
こら,こら
ふう,ふう
大きい,大きく
怒る,怒ら
喜ぶ,喜ん
集める,集め
たい,てぇ
勝つ,勝っ
葵,葵
久保,久保
飲む,飲ん
事情,事情
了解,了解
変える,変え
ひとつ,ひとつ
違う,違っ
だい,だい
左,左
自身,自身
泣く,泣い
珍しい,珍しい
捨てる,捨て
読む,読ん
呪い,呪い
始まる,始まっ
いろんな,いろんな
ごはん,ごはん
エーテル,エーテル
じ,じ
団,団
とく,とく
とる,とる
お疲れさま,お疲れさま
怒る,怒っ
楽,楽
真面目,真面目
こうして,こうして
男子,男子
監督,監督
公爵,公爵
そうですね,そうですね
過ぎる,過ぎ
苦手,苦手
秘密,秘密
斎,斎
お菓子,お菓子
使う,使わ
帝国,帝国
乱,乱
隼,隼
わざわざ,わざわざ
ほとんど,ほとんど
いける,いける
描く,描い
利用,利用
もらう,もらお
やる,やれ
せめて,せめて
全て,全て
甘い,甘い
命令,命令
相変わらず,相変わらず
聖,聖
様子,様子
知り合い,知り合い
ぶる,ぶ
四,四
恵,恵
助け,助け
たま,たま
電話,電話
慣れる,慣れ
こんにちは,こんにちは
武器,武器
八,八
事件,事件
わし,わし
わたくし,わたくし
長,長
わかる,わかん
クマ,クマ
青山,青山
き,し
腹,腹
雪,雪
おそらく,おそらく
王国,王国
完成,完成
螢,螢
バレる,バレ
隣,隣
隠す,隠し
ド,ド
母,母
合わせる,合わせ
おいおい,おいおい
もうすぐ,もうすぐ
東京,東京
お世話,お世話
捜す,捜し
宇宙,宇宙
そこで,そこで
長い,長い
お嬢様,お嬢様
たしかに,たしかに
気付く,気付い
水原,水原
ボス,ボス
案内,案内
手伝う,手伝っ
位,位
誕生,誕生
気分,気分
選手,選手
スイ,スイ
格好,格好
屋敷,屋敷
おく,おけ
舞台,舞台
動く,動い
悪い,悪かっ
困る,困る
開ける,開け
むしろ,むしろ
あした,あした
つい,つい
デート,デート
動く,動く
美世,美世
本当は,本当は
つう,つう
戦闘,戦闘
大きい,大きい
父上,父上
実力,実力
弱い,弱い
ぜひ,ぜひ
みる,みろ
感情,感情
裏,裏
ぶっ,ぶっ
頑張る,頑張れ
笑顔,笑顔
王子,王子
我慢,我慢
うわさ,うわさ
恋愛,恋愛
帰る,帰ろ
返す,返し
主人,主人
マスター,マスター
たって,たって
二度と,二度と
ノア,ノア
魂,魂
かかる,かかる
遅い,遅い
警察,警察
いずれ,いずれ
話す,話す
行く,行け
距離,距離
ばっか,ばっか
送る,送っ
上がる,上がっ
いただく,いただい
王女,王女
工房,工房
抜刀,抜刀
あんなに,あんなに
お互い,お互い
反応,反応
ごと,ごと
側,側
ミ,ミ
悪魔,悪魔
へえ,へえ
効果,効果
歌,歌
みる,みよ
ばっかり,ばっかり
旅,旅
ガン,ガン
五色,五色
とく,とけ
不安,不安
こりゃ,こりゃ
抜ける,抜け
ならば,ならば
技術,技術
ほんと,ほんと
大した,大した
当たり前,当たり前
彼氏,彼氏
くい,くぅ
聖域,聖域
馬,馬
女神,女神
んじゃ,んじゃ
美しい,美しい
お待ち,お待ち
後ろ,後ろ
僕ら,僕ら
やら,やら
付,付
風邪,風邪
ジュン,ジュン
助かる,助かっ
言う,言え
ある,あん
選ぶ,選ん
派,派
同士,同士
生きる,生きる
得意,得意
バンド,バンド
突然,突然
荷物,荷物
ご飯,ご飯
すむ,すん
やすい,やすい
テスト,テスト
得る,得
早速,早速
神様,神様
ばあちゃん,ばあちゃん
ってな,ってな
護衛,護衛
ヴァイオリン,ヴァイオリン
週間,週間
思える,思え
助ける,助ける
褒める,褒め
借りる,借り
待てる,待て
死ぬ,死に
完璧,完璧
いいえ,いいえ
すばらしい,すばらしい
千,千
い,い
プロデューサー,プロデューサー
喪神,喪神
コーヒー,コーヒー
それと,それと
経験,経験
立派,立派
以前,以前
決して,決して
勘違い,勘違い
お茶,お茶
集中,集中
全力,全力
つきあう,つきあっ
エル,エル
