Morph-lemma,Morph-inflection
の,の
は,は
て,て
に,に
た,た
だ,だ
が,が
を,を
か,か
で,で
も,も
と,と
ない,ない
ん,ん
する,し
よ,よ
から,から
です,です
だ,な
な,な
ね,ね
って,って
お,お
こと,こと
私,私
あっ,あっ
そう,そう
だ,に
いい,いい
さん,さん
それ,それ
ます,ます
てる,てる
何,何
てる,て
俺,俺
なん,なん
この,この
だ,で
する,する
これ,これ
けど,けど
どう,どう
人,人
だ,じゃ
いる,いる
んっ,んっ
いる,い
あ,あ
えっ,えっ
れる,れ
ば,ば
ある,ある
たち,たち
その,その
わ,わ
ぬ,ん
お前,お前
いう,いう
あの,あの
た,たら
ちゃん,ちゃん
様,様
だ,なら
もう,もう
ます,まし
だけ,だけ
なる,なっ
し,し
だ,だっ
見る,見
今,今
ぞ,ぞ
ます,ませ
よう,よう
ここ,ここ
そんな,そんな
まで,まで
はい,はい
うん,うん
ない,なく
さ,さ
くれる,くれ
たい,たい
僕,僕
ねえ,ねえ
言う,言っ
もの,もの
ああ,ああ
いや,いや
する,さ
くる,き
やる,やっ
なる,なる
や,や
せる,せ
君,君
ない,なかっ
くん,くん
ちょっと,ちょっと
あなた,あなた
い,い
気,気
なんて,なんて
だ,だろう
ら,ら
思う,思っ
こんな,こんな
者,者
じゃ,じゃ
来る,来
みんな,みんな
はっ,はっ
うっ,うっ
大丈夫,大丈夫
できる,でき
あぁ,あぁ
あれ,あれ
だ,だろ
じゃあ,じゃあ
え,え
今日,今日
誰,誰
ありがとう,ありがとう
くださる,ください
子,子
自分,自分
ため,ため
られる,られ
ねぇ,ねぇ
みたい,みたい
はぁ,はぁ
わけ,わけ
ある,あっ
ある,あり
より,より
出る,出
また,また
とき,とき
前,前
へ,へ
話,話
です,でしょ
ご,ご
本当,本当
一緒,一緒
まだ,まだ
なぁ,なぁ
力,力
どこ,どこ
ごめん,ごめん
う,う
できる,できる
っ,っ
一,一
方,方
中,中
やる,やる
好き,好き
です,でしょう
れる,れる
思う,思う
わかる,わかっ
ところ,ところ
ほう,ほう
よい,よかっ
ぜ,ぜ
ちゃう,ちゃっ
あと,あと
ござる,ござい
人間,人間
ず,ず
もん,もん
す,す
手,手
つ,つ
聞く,聞い
なさる,なさい
目,目
うち,うち
言う,言う
世界,世界
そこ,そこ
年,年
おっ,おっ
違う,違う
よく,よく
魔法,魔法
行く,行く
こう,こう
まあ,まあ
くる,くる
言う,言わ
家,家
おい,おい
くらい,くらい
っす,っす
時間,時間
的,的
日,日
ハァ,ハァ
うぅ,うぅ
少し,少し
行く,行っ
もし,もし
待つ,待っ
なる,なり
くれる,くれる
知る,知ら
知る,知っ
みる,み
いつ,いつ
すごい,すごい
くっ,くっ
もっと,もっと
ただ,ただ
先生,先生
同じ,同じ
やっぱり,やっぱり
ええ,ええ
早い,早く
はず,はず
こっち,こっち
しか,しか
悪い,悪い
つく,つい
です,でし
すぐ,すぐ
食べる,食べ
思う,思い
まぁ,まぁ
ます,ましょう
出す,出し
ヤツ,ヤツ
やつ,やつ
ダメ,ダメ
フッ,フッ
先輩,先輩
顔,顔
考える,考え
別,別
仕事,仕事
たり,たり
相手,相手
持つ,持っ
まま,まま
する,しよう
たい,たく
絶対,絶対
時,時
しれる,しれ
次,次
じゃん,じゃん
男,男
つける,つけ
かわいい,かわいい
なっ,なっ
ずっと,ずっと
必要,必要
そ,そ
入る,入っ
こそ,こそ
られる,られる
ぬ,ぬ
先,先
いく,いく
かける,かけ
ちゃんと,ちゃんと
願う,願い
まさか,まさか
さま,さま
そして,そして
ほら,ほら
いつも,いつも
もらう,もらっ
体,体
上,上
ホント,ホント
ハッ,ハッ
ない,なきゃ
教える,教え
つもり,つもり
さっき,さっき
しまう,しまっ
てる,てん
なぜ,なぜ
ほど,ほど
ま,ま
うわ,うわ
よし,よし
あんな,あんな
やる,やり
生きる,生き
やめる,やめ
心,心
なる,なら
み,み
きっと,きっと
姉,姉
ふ,ふ
ちゃう,ちゃう
わかる,わから
さすが,さすが
言う,言い
フフッ,フフッ
女,女
いう,いえ
バカ,バカ
いえ,いえ
うわっ,うわっ
皆,皆
どんな,どんな
よろしく,よろしく
無理,無理
間,間
ぐっ,ぐっ
友達,友達
こちら,こちら
名前,名前
作る,作っ
感じ,感じ
生,生
一人,一人
すむ,すみ
大,大
など,など
助ける,助け
なに,なに
彼女,彼女
子ども,子ども
場所,場所
以上,以上
受ける,受け
えぇ,えぇ
心配,心配
はあ,はあ
えっと,えっと
落ちる,落ち
あんた,あんた
ちゃ,ちゃ
入れる,入れ
意味,意味
しかし,しかし
そっ,そっ
気持ち,気持ち
話す,話し
どういう,どういう
なんか,なんか
なるほど,なるほど
わぁ,わぁ
いける,いけ
来る,来る
する,すれ
確か,確か
アンタ,アンタ
見える,見え
彼,彼
ほしい,ほしい
まず,まず
せる,せる
全部,全部
国,国
ふっ,ふっ
問題,問題
初めて,初めて
度,度
嫌,嫌
おお,おお
姉ちゃん,姉ちゃん
らしい,らしい
帰る,帰っ
店,店
ござる,ござる
とも,とも
あいつ,あいつ
死ぬ,死ん
全然,全然
わかる,わかる
部屋,部屋
関係,関係
他,他
忘れる,忘れ
今度,今度
命,命
神,神
一度,一度
取る,取り
普通,普通
とる,とっ
いく,いっ
夢,夢
かしら,かしら
する,しろ
連れる,連れ
分,分
いろいろ,いろいろ
剣,剣
ち,ち
村,村
頭,頭
すべて,すべて
すぎる,すぎ
ぇ,ぇ
っと,っと
学校,学校
こいつ,こいつ
娘,娘
引く,引き
逃げる,逃げ
所,所
外,外
さぁ,さぁ
せい,せい
頑張る,頑張っ
金,金
最後,最後
月,月
行く,行き
込む,込ん
昔,昔
ない,なけれ
わかる,わかり
本,本
出す,出す
おはよう,おはよう
とこ,とこ
もちろん,もちろん
楽しい,楽し
使う,使っ
あげる,あげ
実,実
音,音
見せる,見せ
大事,大事
母さん,母さん
仲間,仲間
アイツ,アイツ
べし,べき
料理,料理
回,回
大変,大変
わっ,わっ
魔術,魔術
明日,明日
火,火
いく,いか
強い,強い
姫,姫
魔王,魔王
おいしい,おいしい
後,後
マジ,マジ
まったく,まったく
もらう,もらう
名,名
部,部
二,二
街,街
どうぞ,どうぞ
会,会
寝る,寝
兄,兄
殿,殿
勇者,勇者
いったい,いったい
戻る,戻っ
似る,似
昨日,昨日
夜,夜
言葉,言葉
願い,願い
声,声
変,変
我,我
おかげ,おかげ
っけ,っけ
最近,最近
嬢,嬢
可能,可能
終わる,終わっ
砂糖,砂糖
でる,でる
死ぬ,死ぬ
覚える,覚え
ど,ど
いう,いっ
ひ,ひ
父さん,父さん
ふん,ふん
おう,おう
失礼,失礼
性,性
家族,家族
水,水
たい,たかっ
最初,最初
さあ,さあ
六道,六道
星,星
よい,よく
すごい,すごく
ぁ,ぁ
やる,やら
二人,二人
ポチ,ポチ
我が,我が
待つ,待て
く,く
情報,情報
理由,理由
ながら,ながら
ぃ,ぃ
いただく,いただき
見つける,見つけ
用,用
ばかり,ばかり
約束,約束
練習,練習
邪魔,邪魔
冒険,冒険
おぉ,おぉ
うわぁ,うわぁ
とおり,とおり
貴様,貴様
め,め
今回,今回
師,師
買う,買っ
元気,元気
うう,うう
たくさん,たくさん
鬼,鬼
行く,行こう
客,客
出る,出る
やっぱ,やっぱ
存在,存在
いっぱい,いっぱい
結構,結構
あげる,あげる
む,ん
信ずる,信じ
怖い,怖い
会う,会っ
数,数
ふぅ,ふぅ
敵,敵
こ,こ
ちょ,ちょ
分かる,分かっ
菓子,菓子
合う,合っ
姿,姿
魔力,魔力
そろそろ,そろそろ
我々,我々
負ける,負け
うまい,うまく
急,急
強い,強く
ぅ,ぅ
必ず,必ず
殺す,殺し
任せる,任せ
せっかく,せっかく
追う,追い
ウソ,ウソ
兄ちゃん,兄ちゃん
ある,あれ
準備,準備
枚,枚
役,役
おく,おい
おる,おり
すぎる,すぎる
コイツ,コイツ
見る,見る
あら,あら
そりゃ,そりゃ
取る,取っ
父,父
犬,犬
騎士,騎士
旦那,旦那
決める,決め
どれ,どれ
第,第
つく,つき
物,物
行く,行か
なあ,なあ
危険,危険
しまう,しまう
女子,女子
頼む,頼む
変わる,変わっ
つまり,つまり
魔,魔
以外,以外
結婚,結婚
うれしい,うれしい
いやいや,いやいや
思う,思わ
とにかく,とにかく
きれい,きれい
よる,よっ
守る,守る
聞く,聞き
パパ,パパ
王,王
無事,無事
不,不
番,番
一番,一番
変わる,変わら
たって,たって
すむ,すま
全員,全員
まつ,まっ
貴族,貴族
妹,妹
作る,作る
魔物,魔物
口,口
肉,肉
呼ぶ,呼ん
起きる,起き
やがる,やがっ
師匠,師匠
うまい,うまい
陛下,陛下
新しい,新しい
上げる,上げ
帰る,帰る
なし,なし
久しぶり,久しぶり
殺す,殺す
楽しい,楽しい
ミリ,ミリ
曲,曲
でる,で
いたす,いたし
止める,止め
ゲーム,ゲーム
森,森
下,下
やはり,やはり
最高,最高
持つ,持ち
いらっしゃる,いらっしゃい
学園,学園
しっかり,しっかり
とても,とても
勉強,勉強
事,事
攻撃,攻撃
決まる,決まっ
よい,よい
女の子,女の子
幸せ,幸せ
フッ,ﾌｯ
へぇ,へぇ
使う,使う
冬,冬
記憶,記憶
合う,合う
身,身
服,服
おく,おく
ああっ,ああっ
とりあえず,とりあえず
高校,高校
そっち,そっち
もらえる,もらえ
ドラゴン,ドラゴン
そもそも,そもそも
すぎ,すぎ
あまり,あまり
ニャ,ニャ
入る,入る
安心,安心
血,血
始める,始め
悪い,悪く
三,三
やめる,やめろ
元,元
猫,猫
道,道
戦,戦
大切,大切
勝手に,勝手に
礼,礼
いくら,いくら
いきなり,いきなり
残念,残念
簡単,簡単
やる,やろう
島,島
どおり,どおり
さて,さて
疲れ,疲れ
着る,着
高い,高い
なかなか,なかなか
着く,着い
間違い,間違い
朝,朝
やら,やら
食べる,食べる
足,足
たしか,たしか
術,術
フフッ,ﾌﾌｯ
朝陽,朝陽
生まれる,生まれ
ちまう,ちまっ
ありがと,ありがと
ひっ,ひっ
場,場
用意,用意
センパイ,センパイ
続ける,続け
石,石
どっち,どっち
みる,みる
色,色
状況,状況
愛,愛
わかる,わかん
む,む
花,花
連絡,連絡
風呂,風呂
返す,返し
興味,興味
くる,こ
生徒,生徒
いく,いき
ども,ども
世話,世話
申し訳,申し訳
歳,歳
目的,目的
生活,生活
本気,本気
聞く,聞か
多い,多い
倒す,倒し
あたし,あたし
死,死
残る,残っ
消える,消え
結局,結局
試合,試合
屋,屋
作品,作品
する,せ
あんまり,あんまり
ひと,ひと
無,無
ころ,ころ
戦い,戦い
確認,確認
うむ,うむ
終わり,終わり
時代,時代
勝負,勝負
長,長
たぶん,たぶん
じい,じい
呼ぶ,呼び
ちょっ,ちょっ
海,海
待つ,待ち
刀,刀
山,山
感ずる,感じ
ほか,ほか
毎日,毎日
代わり,代わり
立つ,立ち
呼ぶ,呼ば
仲,仲
感,感
どうせ,どうせ
ねっ,ねっ
場合,場合
危ない,危ない
ダメ,ﾀﾞﾒ
する,すん
置く,置い
っス,っス
殺す,殺さ
思い,思い
伝える,伝え
へっ,へっ
ずいぶん,ずいぶん
魔族,魔族
程度,程度
さっさと,さっさと
嫌い,嫌い
期待,期待
万,万
ばあ,ばあ
大人,大人
いる,いら
頃,頃
妖精,妖精
わあ,わあ
大好き,大好き
見える,見える
冬夜,冬夜
自由,自由
ひどい,ひどい
腕,腕
もらう,もらい
かかる,かかっ
しばらく,しばらく
しかも,しかも
ふう,ふう
協力,協力
守る,守っ
さえ,さえ
おかしい,おかしい
迷惑,迷惑
疲れる,疲れ
当然,当然
兄さん,兄さん
クソ,クソ
超,超
出す,出さ
傷,傷
船,船
説明,説明
四,四
込む,込む
待つ,待た
親,親
一応,一応
いちばん,いちばん
まるで,まるで
方法,方法
ほ,ほ
くる,こい
てく,てっ
会う,会い
探す,探し
貸す,貸し
ケガ,ケガ
にゃ,にゃ
ううん,ううん
依頼,依頼
相,相
感謝,感謝
しまう,しまい
結果,結果
足りる,足り
まずい,まずい
獣,獣
銀,銀
正直,正直
化,化
聞く,聞く
ちょうど,ちょうど
よぉ,よぉ
写真,写真
知る,知り
風,風
未来,未来
薬,薬
参加,参加
あそこ,あそこ
ただいま,ただいま
大会,大会
契約,契約
ケンカ,ケンカ
早い,早い
車,車
ギルド,ギルド
アハハ,アハハ
しかたない,しかたない
能力,能力
強い,強
だめ,だめ
母,母
研究,研究
作戦,作戦
野郎,野郎
領主,領主
覚悟,覚悟
欲しい,欲しい
行動,行動
特に,特に
乗る,乗っ
少女,少女
作る,作り
ほんと,ほんと
耳,耳
ゆっくり,ゆっくり
戦う,戦う
フフフ,フフフ
失敗,失敗
とく,とい
相談,相談
理解,理解
ミツハ,ミツハ
黙る,黙っ
人生,人生
言える,言え
室,室
弟,弟
アタシ,アタシ
任務,任務
本物,本物
兵馬,兵馬
首,首
ママ,ママ
そば,そば
持つ,持つ
品,品
やっと,やっと
狩り,狩り
捨てる,捨て
逃げる,逃げる
書く,書い
もらえる,もらえる
フフ,フフ
くせ,くせ
光,光
無駄,無駄
近く,近く
なる,なれ
なれる,なれ
優しい,優しい
機,機
抜ける,抜け
調子,調子
式,式
精霊,精霊
完全,完全
最強,最強
逆,逆
上がる,上がっ
おく,おき
むっ,むっ
隊長,隊長
使える,使え
緊張,緊張
チッ,チッ
おもしろい,おもしろい
酒,酒
認める,認め
かなり,かなり
離れる,離れ
大きな,大きな
父様,父様
十分,十分
何者,何者
分かる,分から
ふむ,ふむ
許す,許さ
婚約,婚約
氷室,氷室
なれる,なれる
申す,申し
特別,特別
痛い,痛い
ガキ,ガキ
城,城
形,形
つく,つく
かぁ,かぁ
つける,つける
難しい,難しい
隊,隊
結界,結界
余計,余計
会社,会社
込む,込ま
入る,入り
すでに,すでに
息子,息子
町,町
戦う,戦っ
映画,映画
女性,女性
スキル,スキル
うるさい,うるさい
とる,とる
件,件
意外,意外
味,味
意識,意識
どの,どの
てめえ,てめえ
責任,責任
困る,困っ
フン,フン
レベル,レベル
面倒,面倒
合わせる,合わせ
団,団
応援,応援
り,り
姉さん,姉さん
聞こえる,聞こえ
まだまだ,まだまだ
おる,おる
今年,今年
言う,言え
冗談,冗談
よる,よる
近い,近い
き,き
挨拶,挨拶
チーム,チーム
演技,演技
紹介,紹介
使える,使える
平気,平気
一生,一生
させる,させ
そいつ,そいつ
恋,恋
ライブ,ライブ
拙者,拙者
互い,互い
ぬ,ね
小さい,小さい
主人,主人
集める,集め
授業,授業
アイドル,アイドル
使う,使い
頼む,頼ん
けれど,けれど
っぽい,っぽい
カード,カード
士,士
与える,与え
てる,てろ
連中,連中
諦める,諦め
考える,考える
調べる,調べ
討伐,討伐
なり,なり
戻る,戻る
アニス,ｱﾆｽ
ハハハ,ハハハ
ぐらい,ぐらい
たぁ,たぁ
どちら,どちら
向こう,向こう
笑う,笑っ
自信,自信
ハッコン,ハッコン
とく,とく
違う,違っ
小,小
絵,絵
ヤツ,ﾔﾂ
来る,来い
戦争,戦争
報告,報告
ふふっ,ふふっ
帰る,帰り
入る,入ら
ちゃう,ちゃい
増える,増え
髪,髪
周り,周り
種族,種族
楽しい,楽しかっ
こら,こら
新,新
食事,食事
おめでとう,おめでとう
勝つ,勝っ
フゥ,フゥ
てく,てく
んな,んな
隠す,隠し
様子,様子
遊ぶ,遊ん
選手,選手
ハァ,ﾊｧ
雨,雨
空,空
予定,予定
恥ずかしい,恥ずかしい
演奏,演奏
訓練,訓練
いる,いれ
状態,状態
すてき,すてき
毒,毒
動き,動き
クラス,クラス
国王,国王
燈,燈
おなか,おなか
組,組
雷,雷
だいたい,だいたい
巻く,巻き
大きい,大きく
あっち,あっち
席,席
めっちゃ,めっちゃ
了解,了解
げ,げ
描く,描い
成功,成功
かける,かける
怒る,怒ら
隣,隣
喜ぶ,喜ん
王都,王都
たまに,たまに
事情,事情
変える,変え
使い,使い
どっ,どっ
嫁,嫁
泣く,泣い
地,地
呪い,呪い
立つ,立っ
とく,とけ
自身,自身
飲む,飲ん
珍しい,珍しい
読む,読ん
始まる,始まっ
いろんな,いろんな
すら,すら
ぜひ,ぜひ
ハァハァ,ハァハァ
おく,おけ
使う,使わ
あああ,あああ
監督,監督
胸,胸
んんっ,んんっ
点,点
入れる,入れる
いける,いける
男子,男子
乱,乱
公爵,公爵
怒る,怒っ
わざわざ,わざわざ
苦手,苦手
秘密,秘密
案内,案内
おそらく,おそらく
帝国,帝国
かかる,かかる
ホント,ﾎﾝﾄ
まい,まい
ほとんど,ほとんど
利用,利用
全て,全て
事件,事件
中学,中学
あう,あう
もつ,もっ
せめて,せめて
距離,距離
おじ,おじ
甘い,甘い
真面目,真面目
許す,許し
だ,ちゃ
奈,奈
ったく,ったく
命令,命令
なり,なる
知り合い,知り合い
共,共
あう,あっ
電話,電話
もらう,もらおう
慣れる,慣れ
こんにちは,こんにちは
武器,武器
高,高
立つ,立つ
軍,軍
押す,押し
わたくし,わたくし
完成,完成
行く,行け
腹,腹
我慢,我慢
格好,格好
らしい,らしく
付ける,付け
苦労,苦労
王国,王国
霊,霊
旅,旅
ぼたん,ぼたん
みる,みろ
やる,やれ
デート,デート
長い,長い
気付く,気付い
位,位
舞台,舞台
手伝う,手伝っ
警察,警察
誕生,誕生
気分,気分
遠慮,遠慮
切る,切っ
マスター,マスター
わし,わし
達,達
技,技
いただける,いただけ
動く,動く
だし,だし
弟子,弟子
そなた,そなた
動く,動い
真,真
悪い,悪かっ
困る,困る
宇宙,宇宙
むしろ,むしろ
バレる,バレ
夏,夏
直す,直し
アハハハ,アハハハ
開ける,開け
り,る
戦闘,戦闘
送る,送っ
大きい,大きい
頑張る,頑張れ
実力,実力
弱い,弱い
感情,感情
つく,つか
あん,あん
笑顔,笑顔
屋敷,屋敷
うわさ,うわさ
恋愛,恋愛
得る,得
ハハッ,ハハッ
妖,妖
すごい,すご
切る,切り
ううっ,ううっ
べ,べ
遅い,遅い
いずれ,いずれ
話す,話す
へえ,へえ
いただく,いただい
魂,魂
王女,王女
だぁ,だぁ
工房,工房
抜刀,抜刀
シャル,ｼｬﾙ
ゃ,ゃ
反応,反応
死ぬ,死に
引く,引っ
すげぇ,すげぇ
テスト,テスト
効果,効果
同士,同士
いく,いけ
祭,祭
ばっかり,ばっかり
得意,得意
ぉ,ぉ
愛姫,愛姫
不安,不安
楽,楽
ばっか,ばっか
技術,技術
大した,大した
当たり前,当たり前
彼氏,彼氏
聖域,聖域
バンド,バンド
女神,女神
やすい,やすい
美しい,美しい
裏,裏
求める,求め
死ぬ,死な
付,付
ス,ス
ー,ー
取る,取る
助かる,助かっ
あした,あした
選ぶ,選ん
派,派
うおっ,うおっ
会える,会え
生きる,生きる
はは,はは
風邪,風邪
突然,突然
思える,思え
荷物,荷物
聖,聖
茶,茶
飲む,飲み
ハハハハ,ハハハハ
螢,螢
週間,週間
ゆえ,ゆえ
掃除,掃除
有名,有名
早速,早速
すばらしい,すばらしい
くぅ,くぅ
ガード,ガード
レイ,レイ
護衛,護衛
めぐむ,めぐみ
ヴァイオリン,ヴァイオリン
過ぎる,過ぎ
他人,他人
つい,つい
歌,歌
助ける,助ける
ぶつ,ぶっ
取る,取ら
向かう,向かっ
完璧,完璧
プロデューサー,プロデューサー
喪神,喪神
コーヒー,コーヒー
経験,経験
立派,立派
以前,以前
決して,決して
勘違い,勘違い
あり,あり
よろしい,よろしい
込める,込め
集中,集中
える,え
落とす,落とし
全力,全力
そん,そん
かっこ,かっこ
人気,人気
温泉,温泉
役者,役者
回る,回っ
ノ,ノ
異,異
