Morph-lemma,Morph-inflection
の,の
は,は
を,を
に,に
が,が
て,て
た,た
と,と
で,で
する,し
も,も
する,する
いる,いる
だ,な
こと,こと
する,さ
ます,ます
れる,れ
から,から
や,や
など,など
ない,ない
いる,い
だ,だ
だ,で
です,です
ある,ある
という,という
よう,よう
この,この
なる,なっ
できる,できる
か,か
人,人
として,として
れる,れる
なる,なる
日,日
的,的
まで,まで
へ,へ
ため,ため
者,者
う,う
年,年
その,その
さん,さん
中,中
また,また
ば,ば
ある,あり
可能,可能
ます,まし
もの,もの
いう,いう
利用,利用
について,について
日本,日本
できる,でき
円,円
これ,これ
機能,機能
性,性
サービス,サービス
万,万
化,化
ので,ので
ん,ん
提供,提供
たい,たい
ない,なく
より,より
おる,おり
氏,氏
対応,対応
だけ,だけ
月日,月日
なる,なり
情報,情報
今回,今回
お,お
られる,られ
発表,発表
時,時
約,約
だ,だっ
同,同
必要,必要
ほか,ほか
場合,場合
さ,さ
上,上
年月日,年月日
月,月
くる,き
第,第
企業,企業
サイト,サイト
後,後
時間,時間
開発,開発
による,による
ユーザー,ユーザー
ぬ,ず
ページ,ページ
年月,年月
予定,予定
前,前
さらに,さらに
製品,製品
でも,でも
ます,ませ
それ,それ
一,一
られる,られる
紹介,紹介
新,新
数,数
発売,発売
データ,データ
向け,向け
方,方
ある,あっ
ご,ご
せる,せ
みる,み
販売,販売
により,により
搭載,搭載
見る,見
いく,いく
開始,開始
今,今
版,版
同社,同社
世界,世界
登場,登場
システム,システム
自分,自分
ながら,ながら
たち,たち
会社,会社
よる,よる
県,県
本,本
以上,以上
会,会
大,大
そう,そう
現在,現在
価格,価格
スマート,スマート
ない,なかっ
ところ,ところ
メニュー,メニュー
管理,管理
たり,たり
エリア,エリア
今後,今後
型,型
市,市
東京,東京
使用,使用
ね,ね
内,内
フォン,フォン
回,回
によって,によって
問題,問題
モデル,モデル
メイン,メイン
ゲーム,ゲーム
用,用
目,目
た,たら
高い,高い
公開,公開
だ,だろ
実施,実施
ら,ら
実現,実現
技術,技術
表示,表示
確認,確認
しかし,しかし
考える,考え
です,でしょ
何,何
使う,使っ
端末,端末
環境,環境
点,点
市場,市場
受ける,受け
分,分
といった,といった
そして,そして
多い,多い
結果,結果
私,私
女性,女性
なお,なお
採用,採用
間,間
写真,写真
人気,人気
事業,事業
いい,いい
本文,本文
つ,つ
商品,商品
店,店
とばす,とばし
シリーズ,シリーズ
億,億
度,度
せる,せる
家,家
とき,とき
対象,対象
活用,活用
最大,最大
％,％
高,高
デザイン,デザイン
米,米
思う,思い
購入,購入
設定,設定
説明,説明
調査,調査
出る,出
同じ,同じ
一方,一方
多く,多く
関係,関係
だ,なら
ポイント,ポイント
部,部
電話,電話
支援,支援
ビジネス,ビジネス
作品,作品
行う,行う
どう,どう
撮影,撮影
影響,影響
画面,画面
用意,用意
行う,行わ
状況,状況
携帯,携帯
参加,参加
方法,方法
開催,開催
導入,導入
力,力
地,地
ほど,ほど
チェック,チェック
新しい,新しい
映画,映画
大きな,大きな
時分,時分
内容,内容
イベント,イベント
展開,展開
手,手
および,および
側,側
配信,配信
アプリケーション,アプリケーション
ます,ましょ
台,台
次,次
新た,新た
無料,無料
加える,加え
感,感
被災,被災
かも,かも
初,初
名,名
機,機
追加,追加
しまう,しまう
キャンペーン,キャンペーン
テレビ,テレビ
原発,原発
状態,状態
各,各
経済,経済
メール,メール
において,において
コンテンツ,コンテンツ
モバイル,モバイル
他,他
先,先
位,位
操作,操作
期間,期間
最新,最新
通信,通信
際,際
よ,よ
対策,対策
注目,注目
中心,中心
国内,国内
実際,実際
代表,代表
行う,行っ
にて,にて
ここ,ここ
サポート,サポート
量,量
すべて,すべて
話,話
動画,動画
電力,電力
社,社
それぞれ,それぞれ
に対して,に対して
電子,電子
放送,放送
所,所
従来,従来
担当,担当
くださる,ください
社会,社会
活動,活動
クラ,クラ
思う,思っ
うち,うち
効果,効果
簡単,簡単
元,元
グループ,グループ
国,国
気,気
米国,米国
ウド,ウド
登録,登録
一部,一部
男性,男性
接続,接続
研究,研究
福島,福島
重要,重要
アップ,アップ
ネット,ネット
アクセス,アクセス
拡大,拡大
記事,記事
大震災,大震災
地域,地域
サイズ,サイズ
生活,生活
特徴,特徴
消費,消費
思う,思う
変更,変更
全,全
保険,保険
部分,部分
中国,中国
全国,全国
ドル,ドル
一般,一般
投資,投資
事故,事故
記念,記念
のみ,のみ
場所,場所
発生,発生
東日本,東日本
画像,画像
わけ,わけ
計画,計画
持つ,持っ
番組,番組
いく,いき
政府,政府
やすい,やすい
系,系
以降,以降
その他,その他
しれる,しれ
理由,理由
金,金
関連,関連
な,な
検索,検索
し,し
センター,センター
にとって,にとって
なる,なら
検討,検討
震災,震災
そんな,そんな
リリース,リリース
メディア,メディア
程度,程度
です,でし
初めて,初めて
掲載,掲載
ネットワーク,ネットワーク
歳,歳
さまざま,さまざま
仕事,仕事
年間,年間
述べる,述べ
作業,作業
大きい,大きく
海外,海外
種類,種類
持つ,持つ
別,別
安全,安全
専用,専用
ニュース,ニュース
ソフト,ソフト
契約,契約
率,率
時代,時代
する,すれ
ダウンロード,ダウンロード
べし,べき
住宅,住宅
全体,全体
話す,話し
入れる,入れ
もちろん,もちろん
声,声
限定,限定
今年,今年
使う,使う
基本,基本
以外,以外
法,法
インターネット,インターネット
作成,作成
すでに,すでに
における,における
特に,特に
ファイル,ファイル
見る,見る
首相,首相
決定,決定
これら,これら
個人,個人
くる,くる
に関する,に関する
水,水
午前,午前
午後,午後
アニメ,アニメ
複数,複数
ある,あれ
向ける,向け
求める,求め
作,作
社長,社長
員,員
色,色
以下,以下
よく,よく
期待,期待
運用,運用
形,形
カード,カード
トップ,トップ
存在,存在
車,車
地震,地震
合わせる,合わせ
自動,自動
タブレット,タブレット
向上,向上
強化,強化
入力,入力
規模,規模
ファン,ファン
語る,語っ
オープン,オープン
処理,処理
どの,どの
ない,なけれ
等,等
入る,入っ
ただ,ただ
コメント,コメント
ツール,ツール
明らか,明らか
始める,始め
とともに,とともに
カメラ,カメラ
通常,通常
被害,被害
得る,得
メーカー,メーカー
株式会社,株式会社
イメージ,イメージ
評価,評価
スタート,スタート
連携,連携
示す,示し
セキュリティ,セキュリティ
キャラクター,キャラクター
成長,成長
ソフトウェア,ソフトウェア
くれる,くれる
体,体
監督,監督
映像,映像
料,料
多い,多く
増える,増え
こちら,こちら
町,町
主,主
駅,駅
に対する,に対する
顧客,顧客
ケース,ケース
感じる,感じ
本体,本体
業務,業務
倍,倍
まだ,まだ
子ども,子ども
機器,機器
千,千
目的,目的
しか,しか
最近,最近
構成,構成
選択,選択
設置,設置
仮想,仮想
面,面
続ける,続け
ドラマ,ドラマ
構築,構築
長,長
魅力,魅力
いたす,いたし
する,しよ
場,場
デバイス,デバイス
共有,共有
下,下
しまう,しまっ
運営,運営
良い,良い
とも,とも
セット,セット
報告,報告
自身,自身
つつ,つつ
夏,夏
かける,かけ
同様,同様
その後,その後
けど,けど
タイプ,タイプ
生産,生産
出演,出演
号,号
更新,更新
くれる,くれ
に対し,に対し
線,線
動作,動作
チーム,チーム
会見,会見
判断,判断
音楽,音楽
こうした,こうした
業界,業界
役,役
区,区
家族,家族
ブランド,ブランド
記録,記録
書,書
まず,まず
知る,知ら
特別,特別
高速,高速
ブック,ブック
復興,復興
いずれ,いずれ
様々,様々
取引,取引
どこ,どこ
二,二
計,計
外,外
分析,分析
ベース,ベース
進める,進め
そこで,そこで
連続,連続
って,って
編集,編集
ごと,ごと
最も,最も
指摘,指摘
心,心
大阪,大阪
好き,好き
デジタル,デジタル
国際,国際
額,額
改善,改善
誰,誰
広告,広告
再,再
そこ,そこ
公式,公式
営業,営業
具体,具体
割,割
意味,意味
パソコン,パソコン
効率,効率
通り,通り
使う,使い
施設,施設
サーバー,サーバー
超,超
企画,企画
省,省
詳細,詳細
式,式
話題,話題
少し,少し
容疑,容疑
性能,性能
最初,最初
変化,変化
会場,会場
プロジェクト,プロジェクト
件,件
姿,姿
委員,委員
過去,過去
使う,使わ
店舗,店舗
避難,避難
比,比
コスト,コスト
枚,枚
ぶり,ぶり
代,代
韓国,韓国
注意,注意
非常,非常
同時に,同時に
経営,経営
時期,時期
収録,収録
相手,相手
機種,機種
オンライン,オンライン
体験,体験
メンバー,メンバー
方針,方針
位置,位置
はじめ,はじめ
テーマ,テーマ
比べる,比べ
一つ,一つ
応じる,応じ
すぐ,すぐ
制作,制作
物,物
経験,経験
運転,運転
出す,出し
記者,記者
品,品
統合,統合
年度,年度
協力,協力
バージョン,バージョン
もう,もう
ものの,ものの
ただし,ただし
生,生
ボタン,ボタン
平均,平均
原因,原因
一緒,一緒
専門,専門
プレゼント,プレゼント
ほとんど,ほとんど
街,街
提案,提案
最高,最高
事件,事件
最後,最後
ほしい,ほしい
カ月,カ月
プラットフォーム,プラットフォーム
機関,機関
含める,含め
言う,言っ
やる,やっ
標準,標準
料金,料金
最適,最適
まま,まま
独自,独自
続く,続い
ひとつ,ひとつ
増加,増加
言う,言わ
仕組み,仕組み
容量,容量
特集,特集
集める,集め
呼ぶ,呼ば
昨年,昨年
低,低
用いる,用い
サーバ,サーバ
光,光
削減,削減
近く,近く
製,製
気持ち,気持ち
最終,最終
決める,決め
両,両
便利,便利
成功,成功
マーク,マーク
はず,はず
レベル,レベル
値,値
メモリ,メモリ
つける,つけ
ドコモ,ドコモ
くらい,くらい
みる,みる
展示,展示
カラー,カラー
作る,作っ
アイテム,アイテム
メッセージ,メッセージ
設計,設計
やすい,やすく
解説,解説
とても,とても
予想,予想
出荷,出荷
現場,現場
以来,以来
例えば,例えば
共同,共同
モード,モード
保存,保存
局,局
分野,分野
シーン,シーン
再生,再生
しまう,しまい
オリジナル,オリジナル
男,男
各種,各種
これから,これから
目指す,目指す
考える,考える
停止,停止
大切,大切
使える,使える
前年,前年
行う,行い
そのまま,そのまま
異なる,異なる
終了,終了
選手,選手
言葉,言葉
のに,のに
様子,様子
強い,強い
食べる,食べ
よい,よい
あたり,あたり
段階,段階
スタイル,スタイル
キロ,キロ
金融,金融
動き,動き
挙げる,挙げ
発電,発電
しっかり,しっかり
条件,条件
構造,構造
ばかり,ばかり
おく,おく
戦,戦
聞く,聞い
必ず,必ず
仕様,仕様
期,期
楽しめる,楽しめる
ディスプレイ,ディスプレイ
ガイド,ガイド
備える,備え
ちょっと,ちょっと
舞台,舞台
多数,多数
ストレージ,ストレージ
電源,電源
政権,政権
考え,考え
災害,災害
回答,回答
例,例
課題,課題
彼,彼
週間,週間
まとめる,まとめ
周辺,周辺
料理,料理
いう,いえ
比較,比較
自由,自由
質問,質問
顔,顔
戦略,戦略
会議,会議
結婚,結婚
を通じて,を通じて
曲,曲
自然,自然
書籍,書籍
あなた,あなた
移動,移動
ほぼ,ほぼ
費用,費用
意識,意識
基準,基準
継続,継続
液晶,液晶
いただく,いただき
英語,英語
保護,保護
売上,売上
本当に,本当に
費,費
大学,大学
いう,いっ
投稿,投稿
または,または
かなり,かなり
ライブ,ライブ
予約,予約
あまり,あまり
完全,完全
確保,確保
指定,指定
含む,含む
．,．
制限,制限
ごろ,ごろ
直接,直接
どんな,どんな
銀行,銀行
とか,とか
表現,表現
たくさん,たくさん
見せる,見せ
実行,実行
賞,賞
調整,調整
活躍,活躍
ちゃん,ちゃん
ランキング,ランキング
相談,相談
大幅,大幅
図,図
津波,津波
一番,一番
文字,文字
都,都
毎日,毎日
再開,再開
昨,昨
含む,含ま
ビデオ,ビデオ
人間,人間
今日,今日
高い,高く
お金,お金
なぜ,なぜ
攻撃,攻撃
ひと,ひと
インストール,インストール
伝える,伝え
する,せ
節電,節電
学校,学校
準備,準備
パッケージ,パッケージ
プラン,プラン
獲得,獲得
おく,おき
応募,応募
事,事
部門,部門
ユーザ,ユーザ
不安,不安
女子,女子
取得,取得
エネルギー,エネルギー
自宅,自宅
理解,理解
かかる,かかる
子供,子供
たとえば,たとえば
資金,資金
解決,解決
弾,弾
作る,作る
制度,制度
プロ,プロ
じゃ,じゃ
素材,素材
目指す,目指し
ノート,ノート
新規,新規
原子力,原子力
に関して,に関して
適用,適用
ライン,ライン
音,音
印刷,印刷
内蔵,内蔵
東北,東北
名前,名前
当時,当時
相,相
超える,超え
ショップ,ショップ
起きる,起き
地方,地方
安定,安定
検査,検査
認める,認め
同日,同日
まずは,まずは
様,様
医療,医療
ぜひ,ぜひ
製造,製造
報道,報道
方向,方向
披露,披露
非,非
有効,有効
ホテル,ホテル
傾向,傾向
責任,責任
十分,十分
近い,近い
本格,本格
ストーリー,ストーリー
組織,組織
アップデート,アップデート
菅,菅
法人,法人
家庭,家庭
認識,認識
地元,地元
発言,発言
大会,大会
自動車,自動車
僕,僕
出力,出力
旅行,旅行
個,個
上昇,上昇
当たる,当たる
お客様,お客様
将来,将来
特定,特定
方式,方式
発見,発見
言う,言う
負担,負担
想定,想定
コード,コード
もっと,もっと
物質,物質
朝,朝
以前,以前
工場,工場
視聴,視聴
大手,大手
案,案
産業,産業
会員,会員
少ない,少ない
見通し,見通し
副,副
三,三
音声,音声
つまり,つまり
一時,一時
安心,安心
よる,よれ
クリック,クリック
観光,観光
リスク,リスク
違い,違い
あわせる,あわせ
ニーズ,ニーズ
感じ,感じ
違う,違う
会長,会長
タイトル,タイトル
供給,供給
価値,価値
健康,健康
思い,思い
欧州,欧州
目標,目標
増,増
続ける,続ける
印象,印象
する,す
ほう,ほう
実は,実は
幅,幅
紙,紙
来る,来
閲覧,閲覧
電気,電気
社員,社員
デモ,デモ
行える,行える
東電,東電
続く,続く
無線,無線
起動,起動
予測,予測
世代,世代
大人,大人
行動,行動
超える,超える
シンプル,シンプル
知る,知っ
少ない,少なく
インチ,インチ
おすすめ,おすすめ
意見,意見
応援,応援
議員,議員
当初,当初
マンション,マンション
充電,充電
付き,付き
テスト,テスト
デスク,デスク
スタッフ,スタッフ
コミュニケーション,コミュニケーション
早い,早く
検出,検出
ソフトバンク,ソフトバンク
求める,求める
部屋,部屋
みんな,みんな
いただく,いただい
希望,希望
体制,体制
思う,思わ
自社,自社
総,総
エンジン,エンジン
障害,障害
病院,病院
派,派
難しい,難しい
リニューアル,リニューアル
こう,こう
全員,全員
彼女,彼女
買収,買収
器,器
時点,時点
速度,速度
プログラム,プログラム
大変,大変
日本語,日本語
総合,総合
完成,完成
発行,発行
制御,制御
日本人,日本人
移行,移行
層,層
示す,示す
風,風
連絡,連絡
民主党,民主党
治療,治療
もと,もと
連載,連載
室,室
取材,取材
こんな,こんな
受賞,受賞
批判,批判
子,子
挑戦,挑戦
測定,測定
前後,前後
送信,送信
既存,既存
メリット,メリット
選,選
国民,国民
マンガ,マンガ
本部,本部
エン,エン
いくつ,いくつ
マシン,マシン
だが,だが
末,末
口,口
てる,てる
メートル,メートル
ファイナンス,ファイナンス
各社,各社
キー,キー
あと,あと
付属,付属
パフォーマンス,パフォーマンス
予算,予算
出る,出る
入る,入る
事実,事実
教育,教育
金額,金額
笑顔,笑顔
恋愛,恋愛
株,株
団体,団体
いう,いい
パートナー,パートナー
宮城,宮城
最,最
機会,機会
主張,主張
株式,株式
普及,普及
ない,なし
ちなみに,ちなみに
どちら,どちら
充実,充実
復旧,復旧
需要,需要
差,差
こそ,こそ
捜査,捜査
大量,大量
死亡,死亡
大統領,大統領
調べる,調べ
大きい,大きい
中央,中央
放射,放射
取り組み,取り組み
全て,全て
アピール,アピール
高い,高
シェア,シェア
利益,利益
背景,背景
交換,交換
自動的,自動的
自ら,自ら
拡張,拡張
階,階
検証,検証
同期,同期
都市,都市
イン,イン
頭,頭
夜,夜
あるいは,あるいは
見える,見え
学生,学生
かつ,かつ
組,組
月額,月額
初期,初期
維持,維持
軍,軍
住民,住民
現地,現地
強い,強く
なか,なか
定期,定期
放射線,放射線
たい,たく
いろいろ,いろいろ
カバー,カバー
緊急,緊急
ハードウェア,ハードウェア
普通,普通
提携,提携
トラブル,トラブル
グローバル,グローバル
デビュー,デビュー
誌,誌
計算,計算
歴史,歴史
大きい,大き
雰囲気,雰囲気
外部,外部
行く,行っ
レポート,レポート
逆,逆
現状,現状
バックアップ,バックアップ
上げる,上げ
業者,業者
建物,建物
アイドル,アイドル
範囲,範囲
主人公,主人公
なかなか,なかなか
市内,市内
修正,修正
能力,能力
受ける,受ける
人々,人々
見える,見える
始まる,始まっ
十,十
生まれる,生まれ
原作,原作
与える,与え
入り,入り
ホーム,ホーム
鉄道,鉄道
東京電力,東京電力
要素,要素
空間,空間
アジア,アジア
策,策
いける,いけ
フル,フル
楽しむ,楽しむ
教授,教授
事前,事前
選ぶ,選ぶ
感じる,感じる
書く,書い
足,足
実験,実験
資産,資産
税,税
不足,不足
迎える,迎え
ソニー,ソニー
皆さん,皆さん
科学,科学
オプション,オプション
危険,危険
わかる,わかり
経由,経由
アカウント,アカウント
外国,外国
ずつ,ずつ
高校,高校
楽しみ,楽しみ
マーケティング,マーケティング
バス,バス
装備,装備
協議,協議
積極,積極
雑誌,雑誌
いつも,いつも
行く,行く
正式,正式
細胞,細胞
自体,自体
タメ,タメ
重量,重量
表明,表明
協会,協会
客,客
物語,物語
演じる,演じる
種,種
選ぶ,選ば
試合,試合
チップ,チップ
アメリカ,アメリカ
停電,停電
妻,妻
左,左
道,道
減少,減少
優勝,優勝
不明,不明
パネル,パネル
文化,文化
主要,主要
にくい,にくい
答える,答え
拠点,拠点
ライセンス,ライセンス
知識,知識
トピックス,トピックス
権,権
快適,快適
把握,把握
推進,推進
海,海
沖縄,沖縄
持つ,持ち
姿勢,姿勢
描く,描い
らしい,らしい
危機,危機
取締役,取締役
県警,県警
共通,共通
きっかけ,きっかけ
イラスト,イラスト
岩手,岩手
誕生,誕生
通話,通話
達成,達成
回復,回復
語る,語る
特典,特典
逮捕,逮捕
スペース,スペース
スポーツ,スポーツ
づくり,づくり
設立,設立
帯,帯
上位,上位
うえ,うえ
ソース,ソース
内部,内部
進む,進ん
友人,友人
リンク,リンク
スーパー,スーパー
設備,設備
基盤,基盤
食事,食事
募集,募集
資料,資料
建設,建設
選挙,選挙
キーボード,キーボード
参考,参考
圏,圏
前回,前回
巻,巻
豊富,豊富
実績,実績
強調,強調
秋,秋
出席,出席
訪れる,訪れ
小さな,小さな
投票,投票
コア,コア
兆,兆
変わる,変わっ
右,右
電池,電池
そういう,そういう
やはり,やはり
試験,試験
日常,日常
流れ,流れ
マーケット,マーケット
形式,形式
リアルタイム,リアルタイム
監視,監視
政治,政治
務める,務める
防止,防止
入手,入手
わかる,わかっ
支持,支持
固定,固定
頃,頃
産,産
稼働,稼働
都内,都内
実装,実装
いただける,いただけ
機構,機構
リモート,リモート
品質,品質
呼びかける,呼びかけ
夢,夢
花,花
冬,冬
ケーブル,ケーブル
プロセス,プロセス
どれ,どれ
提出,提出
長期,長期
番,番
欲しい,欲しい
ロード,ロード
ログイン,ログイン
集中,集中
株価,株価
つく,つい
寄付,寄付
疑い,疑い
あの,あの
当社,当社
いつ,いつ
知事,知事
もらう,もらう
肌,肌
年金,年金
選ぶ,選ん
減,減
前日,前日
アップル,アップル
すぎる,すぎ
セミナー,セミナー
自治体,自治体
コンセプト,コンセプト
相当,相当
装置,装置
進める,進める
基,基
語,語
成果,成果
身,身
温度,温度
愛,愛
模様,模様
しかも,しかも
車両,車両
変える,変え
がんばれる,がんばれ
心配,心配
小,小
少女,少女
なんて,なんて
配布,配布
作る,作ら
ならでは,ならでは
手軽,手軽
バッテリー,バッテリー
低い,低い
話す,話す
寄せる,寄せ
キャリア,キャリア
運動,運動
インタフェース,インタフェース
