Morph-base,Morph-inflected
の,の
は,は
て,て
に,に
た,た
が,が
だ,だ
ん,ん
を,を
か,か
ない,ない
と,と
よ,よ
も,も
で,で
する,し
です,です
だ,な
な,な
ね,ね
から,から
う,う
こと,こと
私,私
あっ,あっ
って,って
く,っ
お,お
そう,そう
いい,いい
ます,ます
じゃ,じゃ
てる,てる
いる,い
さん,さん
人,人
何,何
俺,俺
この,この
あ,あ
する,する
えっ,えっ
けど,けど
いる,いる
これ,これ
それ,それ
れる,れ
てる,て
ある,ある
でも,でも
ば,ば
わ,わ
だ,で
なる,なっ
たち,たち
お前,お前
その,その
あの,あの
た,たら
どう,どう
だ,だろ
え,え
ちゃん,ちゃん
ます,まし
だ,だっ
だけ,だけ
様,様
うん,うん
よう,よう
はい,はい
ぞ,ぞ
さ,さ
し,し
だ,なら
今,今
なん,なん
ここ,ここ
まで,まで
もう,もう
くれる,くれ
たい,たい
言う,言っ
僕,僕
です,でしょ
見る,見
ない,なく
ああ,ああ
そんな,そんな
ます,ませ
もの,もの
する,さ
いや,いや
や,や
くる,き
やる,やっ
なんて,なんて
なる,なる
くん,くん
ない,なかっ
あなた,あなた
ちょっと,ちょっと
はっ,はっ
せる,せ
だって,だって
思う,思っ
大丈夫,大丈夫
みんな,みんな
君,君
来る,来
者,者
あれ,あれ
あぁ,あぁ
気,気
できる,でき
はぁ,はぁ
一,一
じゃあ,じゃあ
今日,今日
ない,ねえ
子,子
ありがとう,ありがとう
ある,あっ
のに,のに
くださる,ください
自分,自分
うる,うっ
誰,誰
こんな,こんな
ため,ため
ら,ら
られる,られ
へ,へ
みたい,みたい
前,前
ある,あり
とか,とか
また,また
なんで,なんで
とき,とき
だから,だから
かも,かも
一緒,一緒
まだ,まだ
より,より
ご,ご
なんか,なんか
なぁ,なぁ
話,話
わけ,わけ
好き,好き
中,中
どこ,どこ
ねぇ,ねぇ
という,という
れる,れる
力,力
できる,できる
わかる,わかっ
ほう,ほう
思う,思う
やる,やる
ちゃう,ちゃっ
出る,出
よい,よかっ
あと,あと
ござる,ござい
として,として
人間,人間
手,手
ふる,ふ
ぜ,ぜ
おっ,おっ
聞く,聞い
もん,もん
まあ,まあ
年,年
言う,言う
違う,違う
目,目
ごめん,ごめん
ところ,ところ
うち,うち
よく,よく
行く,行く
世界,世界
っす,っす
ちゃ,ちゃ
言う,言わ
お願い,お願い
いう,いう
ぬ,ず
くらい,くらい
ハッ,ハッ
家,家
ただ,ただ
待つ,待っ
くる,くる
まぁ,まぁ
魔法,魔法
方,方
時間,時間
ので,ので
もっと,もっと
みる,み
おい,おい
くれる,くれる
すごい,すごい
なる,なり
こっち,こっち
そういう,そういう
本当に,本当に
たい,たく
そこ,そこ
知る,知っ
日,日
ます,ましょ
早い,早く
しか,しか
食べる,食べ
フッ,フッ
ねえ,ねえ
同じ,同じ
的,的
うい,うぅ
ダメ,ダメ
です,でし
やっぱり,やっぱり
先生,先生
悪い,悪い
たり,たり
わぁ,わぁ
はず,はず
知る,知ら
先輩,先輩
やつ,やつ
する,しよ
ちゃんと,ちゃんと
仕事,仕事
顔,顔
ま,ま
先,先
そ,そ
うわ,うわ
持つ,持っ
じゃん,じゃん
絶対,絶対
考える,考え
ずっと,ずっと
かわいい,かわいい
しれる,しれ
ぬ,ぬ
相手,相手
なさる,なさい
時,時
必要,必要
少し,少し
魔,魔
まま,まま
ほら,ほら
いつも,いつも
られる,られる
すぐ,すぐ
おお,おお
体,体
くる,くっ
ほど,ほど
どうして,どうして
次,次
男,男
つ,つ
行く,行っ
まさか,まさか
もらう,もらっ
そして,そして
姉,姉
ホント,ホント
こそ,こそ
さっき,さっき
教える,教え
心,心
二,二
つもり,つもり
なぜ,なぜ
ない,なきゃ
いう,いっ
する,す
やめる,やめ
きっと,きっと
無理,無理
入る,入っ
わかる,わから
バカ,バカ
ちゃう,ちゃう
しまう,しまっ
さすが,さすが
なに,なに
大,大
いう,いえ
では,では
女,女
なる,なら
いく,いく
そっ,そっ
はあ,はあ
わっ,わっ
それで,それで
友達,友達
ちょ,ちょ
夜,夜
こちら,こちら
名前,名前
作る,作っ
感じ,感じ
度,度
よろしく,よろしく
だが,だが
っていう,っていう
子ども,子ども
彼女,彼女
ええ,ええ
すぎる,すぎ
こう,こう
など,など
心配,心配
以上,以上
どういう,どういう
どんな,どんな
ちる,ち
すみません,すみません
別に,別に
これから,これから
ふん,ふん
いえ,いえ
っと,っと
助ける,助け
来る,来る
意味,意味
全部,全部
それに,それに
しかし,しかし
ほしい,ほしい
なるほど,なるほど
する,すれ
神,神
確か,確か
うつ,うっ
姉ちゃん,姉ちゃん
問題,問題
見える,見え
初めて,初めて
いける,いけ
冬,冬
あんな,あんな
あんた,あんた
村,村
上,上
死ぬ,死ん
剣,剣
つける,つけ
嫌,嫌
あいつ,あいつ
わかる,わかる
場所,場所
うわる,うわっ
全然,全然
やる,やり
帰る,帰っ
部屋,部屋
店,店
普通,普通
国,国
他,他
今度,今度
ふる,ふっ
思う,思い
生きる,生き
頭,頭
命,命
せる,せる
いろいろ,いろいろ
夢,夢
忘れる,忘れ
する,しろ
らしい,らしい
関係,関係
いつ,いつ
さぁ,さぁ
すべて,すべて
とも,とも
気持ち,気持ち
娘,娘
ひる,ひ
外,外
本,本
かしら,かしら
月,月
かける,かけ
頑張る,頑張っ
火,火
せい,せい
入れる,入れ
する,せ
わかる,わかり
おはよう,おはよう
ある,あれ
分,分
かい,かい
ど,ど
音,音
昔,昔
もちろん,もちろん
うい,うう
最後,最後
アイツ,アイツ
こいつ,こいつ
ない,なけれ
魔術,魔術
使う,使っ
学校,学校
行く,行き
あげる,あげ
本当,本当
料理,料理
大変,大変
さま,さま
大事,大事
明日,明日
とこ,とこ
行く,行こ
魔王,魔王
べし,べき
マジ,マジ
がる,がっ
おいしい,おいしい
仲間,仲間
兄,兄
強い,強い
見せる,見せ
街,街
声,声
出す,出し
一つ,一つ
言う,言い
もらう,もらう
どうぞ,どうぞ
師,師
言葉,言葉
まったく,まったく
勇者,勇者
っけ,っけ
変,変
つく,つい
そんなに,そんなに
もしかして,もしかして
部,部
名,名
昨日,昨日
いく,いっ
愛,愛
んで,んで
ごめんなさい,ごめんなさい
め,め
覚える,覚え
三,三
彼,彼
おかげ,おかげ
最近,最近
戻る,戻っ
終わる,終わっ
回,回
会,会
いったい,いったい
連れる,連れ
死ぬ,死ぬ
砂糖,砂糖
寝る,寝
でる,でる
ない,ねぇ
話す,話し
所,所
いく,いか
性,性
水,水
数,数
逃げる,逃げ
すごい,すごく
失礼,失礼
六道,六道
家族,家族
最初,最初
さあ,さあ
理由,理由
たい,たかっ
皆さん,皆さん
我が,我が
練習,練習
星,星
冒険,冒険
情報,情報
買う,買っ
約束,約束
もし,もし
とおり,とおり
おう,おう
やる,やら
邪魔,邪魔
怖い,怖い
今回,今回
よい,よし
間,間
たくさん,たくさん
勝手,勝手
族,族
術,術
ばかり,ばかり
なんと,なんと
芽,芽
敵,敵
よし,よし
元気,元気
任せる,任せ
見つける,見つけ
やっぱ,やっぱ
ウソ,ウソ
殿,殿
実は,実は
存在,存在
結構,結構
信じる,信じ
出る,出る
こ,こ
あげる,あげる
てる,てん
姿,姿
魔力,魔力
我々,我々
貴様,貴様
急,急
ながら,ながら
兄ちゃん,兄ちゃん
おぉ,おぉ
うまい,うまく
枚,枚
そろそろ,そろそろ
く,く
いやいや,いやいや
犬,犬
肉,肉
あら,あら
こういう,こういう
どれ,どれ
準備,準備
陽,陽
せっかく,せっかく
用,用
強い,強く
まっ,まっ
そりゃ,そりゃ
旦那,旦那
いっぱい,いっぱい
パパ,パパ
分かる,分かっ
猫,猫
可能,可能
すぎる,すぎる
見る,見る
ない,なし
殺す,殺し
海,海
よい,よい
くい,く
頼む,頼む
行く,行か
ほる,ほ
物,物
おる,おり
危険,危険
なあ,なあ
以外,以外
必ず,必ず
しまう,しまう
まずは,まずは
足,足
にとって,にとって
負ける,負け
うれしい,うれしい
口,口
騎士,騎士
いただく,いただき
とにかく,とにかく
つまり,つまり
獣,獣
花,花
ミリ,ミリ
ござる,ござる
鬼,鬼
楽しみ,楽しみ
全員,全員
第,第
パイ,パイ
決める,決め
妹,妹
後,後
魔物,魔物
無事,無事
きれい,きれい
陛下,陛下
別,別
うまい,うまい
お母さん,お母さん
くる,こ
作る,作る
行う,行っ
師匠,師匠
起きる,起き
しかた,しかた
呼ぶ,呼ん
一番,一番
たん,たん
楽しい,楽しい
久しぶり,久しぶり
曲,曲
守る,守る
王,王
変わる,変わっ
血,血
おく,おい
貴族,貴族
待つ,待て
受ける,受け
勉強,勉強
新しい,新しい
風,風
こんなに,こんなに
最高,最高
道,道
どうか,どうか
朝,朝
やめる,やめろ
とても,とても
学園,学園
しっかり,しっかり
ゲーム,ゲーム
幸せ,幸せ
ない,な
やはり,やはり
事,事
女の子,女の子
殺す,殺す
記憶,記憶
決まる,決まっ
について,について
よる,よっ
服,服
思う,思わ
帰る,帰る
城,城
元,元
屋,屋
攻撃,攻撃
そっち,そっち
終わる,終わり
石,石
下,下
とりあえず,とりあえず
いう,いい
使う,使う
島,島
ども,ども
女子,女子
金,金
そもそも,そもそも
へぇ,へぇ
おく,おく
万,万
結婚,結婚
すげる,すげ
悪い,悪く
場,場
大切,大切
身,身
いきなり,いきなり
始める,始め
残念,残念
簡単,簡単
姫,姫
だけど,だけど
どおり,どおり
よい,よく
歳,歳
食べる,食べる
間違い,間違い
なら,なら
風呂,風呂
いたす,いたし
聞く,聞き
ありがと,ありがと
なかなか,なかなか
どっち,どっち
安心,安心
状況,状況
高い,高い
士,士
連絡,連絡
みる,みる
生徒,生徒
続ける,続け
会う,会っ
する,すん
へっ,へっ
入る,入る
ひる,ひっ
我,我
それでも,それでも
もらえる,もらえ
いつか,いつか
なんだか,なんだか
ふう,ふっ
聞く,聞か
生,生
申し訳,申し訳
用意,用意
あたし,あたし
多い,多い
ちまう,ちまっ
番,番
森,森
いる,いら
いらっしゃる,いらっしゃい
試合,試合
本気,本気
ねる,ねっ
言える,言え
目的,目的
戦い,戦い
ううん,ううん
作品,作品
化,化
なんとか,なんとか
お父さん,お父さん
生活,生活
える,え
里,里
まず,まず
確認,確認
あんまり,あんまり
どの,どの
危ない,危ない
ぬ,ね
いく,いき
もう少し,もう少し
やる,やろ
結局,結局
とる,とっ
超,超
ころ,ころ
思い,思い
くう,くっ
うむ,うむ
ほか,ほか
倒す,倒し
わあ,わあ
どうせ,どうせ
頃,頃
探す,探し
主,主
消える,消え
場合,場合
色,色
呼ぶ,呼ば
役,役
戦,戦
イカ,イカ
ひどい,ひどい
妖精,妖精
たぶん,たぶん
感じる,感じ
止める,止め
小,小
期待,期待
大人,大人
け,け
大好き,大好き
痛い,痛い
似る,似
疲れる,疲れ
兄さん,兄さん
すか,すか
見える,見える
置く,置い
取る,取っ
ぼる,ぼ
しかも,しかも
あまり,あまり
嫌い,嫌い
クソ,クソ
もらう,もらい
お金,お金
代わり,代わり
協力,協力
ずいぶん,ずいぶん
興味,興味
ろ,ろ
高校,高校
皆,皆
わける,わけ
いくら,いくら
さっさと,さっさと
しばらく,しばらく
出す,出す
り,り
おかしい,おかしい
なる,なれ
いちばん,いちばん
能力,能力
室,室
一応,一応
まるで,まるで
毎日,毎日
まずい,まずい
耳,耳
腕,腕
殺す,殺さ
首,首
どうも,どうも
方法,方法
説明,説明
スる,ス
さて,さて
当然,当然
勝負,勝負
生まれる,生まれ
さえ,さえ
写真,写真
依頼,依頼
コン,コン
迷惑,迷惑
結果,結果
だめ,だめ
感,感
自由,自由
十,十
正直,正直
許す,許さ
感謝,感謝
弟,弟
アハハ,アハハ
あそこ,あそこ
しまう,しまい
大会,大会
参加,参加
聞く,聞く
契約,契約
にゃ,にゃ
残る,残っ
船,船
銀,銀
べ,べ
領主,領主
それでは,それでは
ママ,ママ
時代,時代
おく,おき
欲しい,欲しい
会う,会い
作戦,作戦
セ,セ
光,光
ちょうど,ちょうど
雨,雨
ギルド,ギルド
行動,行動
ケガ,ケガ
薬,薬
伝える,伝え
おる,おっ
未来,未来
嬢,嬢
天,天
相談,相談
車,車
ドラゴン,ドラゴン
守る,守っ
早い,早い
任務,任務
特に,特に
ケンカ,ケンカ
覚悟,覚悟
理解,理解
失敗,失敗
待つ,待た
ゆっくり,ゆっくり
カード,カード
近く,近く
程度,程度
軍,軍
形,形
本物,本物
傷,傷
もらえる,もらえる
姉さん,姉さん
精霊,精霊
無駄,無駄
十分,十分
ガキ,ガキ
式,式
父,父
死,死
平気,平気
優しい,優しい
やっと,やっと
書く,書い
野郎,野郎
黙る,黙っ
調子,調子
刀,刀
狩り,狩り
いま,いま
父様,父様
人生,人生
逆,逆
くせ,くせ
緊張,緊張
着る,着
おもしろい,おもしろい
酒,酒
認める,認め
離れる,離れ
町,町
くる,こい
婚約,婚約
すむ,すま
髪,髪
逃げる,逃げる
貸す,貸し
持つ,持つ
息子,息子
機,機
菓子,菓子
もう一度,もう一度
戦う,戦う
大きな,大きな
隊長,隊長
映画,映画
結界,結界
そば,そば
なれる,なれ
近い,近い
難しい,難しい
かなり,かなり
諦める,諦め
させる,させ
兵馬,兵馬
味,味
かぁ,かぁ
なれる,なれる
うるさい,うるさい
少女,少女
点,点
まだまだ,まだまだ
特別,特別
何者,何者
余計,余計
君たち,君たち
完全,完全
足りる,足り
重,重
知る,知り
親,親
応援,応援
スキル,スキル
件,件
絵,絵
仲よく,仲よく
乗る,乗っ
冗談,冗談
すでに,すでに
使える,使え
今年,今年
分かる,分から
困る,困っ
女性,女性
によって,によって
果,果
聞こえる,聞こえ
紹介,紹介
使える,使える
たつ,たっ
お礼,お礼
遊び,遊び
強い,強
アイドル,アイドル
み,み
面倒,面倒
品,品
祭,祭
研究,研究
山,山
演技,演技
レベル,レベル
授業,授業
楽しい,楽し
チーム,チーム
会社,会社
仲,仲
す,す
小さい,小さい
炎,炎
挨拶,挨拶
最強,最強
彼ら,彼ら
とく,とい
そのまま,そのまま
調べる,調べ
かかる,かかっ
向こう,向こう
討伐,討伐
ところで,ところで
た,たろ
それとも,それとも
恋,恋
考える,考える
あっち,あっち
笑う,笑っ
おる,おる
そいつ,そいつ
かっこいい,かっこいい
責任,責任
もつ,もっ
空,空
つく,つく
異,異
げ,げ
それから,それから
がる,がる
戦う,戦っ
戻る,戻る
ゆる,ゆん
それだけ,それだけ
頼む,頼ん
ふむ,ふむ
落ち着く,落ち着い
来る,来い
それなら,それなら
ぐらい,ぐらい
こら,こら
新,新
うる,うる
与える,与え
報告,報告
だし,だし
まい,まい
食事,食事
遊ぶ,遊ん
おめでとう,おめでとう
母さん,母さん
っぽい,っぽい
予定,予定
増える,増え
どちら,どちら
種族,種族
零,零
楽しい,楽しかっ
恥ずかしい,恥ずかしい
演奏,演奏
周り,周り
毒,毒
落ちる,落ち
お客,お客
変わる,変わら
状態,状態
席,席
いく,いけ
動き,動き
霊,霊
ぶる,ぶ
すぎ,すぎ
訓練,訓練
連中,連中
胸,胸
帰る,帰り
おなか,おなか
国王,国王
めっちゃ,めっちゃ
父さん,父さん
けれど,けれど
クラス,クラス
ライブ,ライブ
それにしても,それにしても
我ら,我ら
意識,意識
大きい,大きく
何だ,何だ
怒る,怒ら
すてき,すてき
いける,いける
集める,集め
いる,いれ
泣く,泣い
ごはん,ごはん
成功,成功
ふう,ふう
喜ぶ,喜ん
自信,自信
了解,了解
たい,てぇ
呪い,呪い
楽,楽
ひとつ,ひとつ
違う,違っ
変える,変え
とる,とる
高,高
エーテル,エーテル
戦争,戦争
だい,だい
読む,読ん
勝つ,勝っ
いろんな,いろんな
お疲れさま,お疲れさま
怒る,怒っ
飲む,飲ん
とく,とく
ド,ド
事情,事情
地,地
始まる,始まっ
男子,男子
監督,監督
公爵,公爵
そうですね,そうですね
自身,自身
苦手,苦手
お菓子,お菓子
真面目,真面目
こうして,こうして
帝国,帝国
乱,乱
隼,隼
すら,すら
じ,じ
甘い,甘い
捨てる,捨て
おいおい,おいおい
秘密,秘密
使う,使わ
利用,利用
珍しい,珍しい
知り合い,知り合い
真,真
命令,命令
過ぎる,過ぎ
宇宙,宇宙
ほとんど,ほとんど
選手,選手
だいたい,だいたい
わざわざ,わざわざ
何で,何で
電話,電話
もらう,もらお
慣れる,慣れ
わたくし,わたくし
八,八
やる,やれ
描く,描い
様子,様子
頑張る,頑張れ
王国,王国
わかる,わかん
組,組
こんにちは,こんにちは
雪,雪
武器,武器
合わせる,合わせ
完成,完成
もうすぐ,もうすぐ
団,団
バレる,バレ
隣,隣
ボス,ボス
長い,長い
お嬢様,お嬢様
たしかに,たしかに
工房,工房
捜す,捜し
位,位
デート,デート
母,母
おそらく,おそらく
隊,隊
事件,事件
助け,助け
相変わらず,相変わらず
父上,父上
お世話,お世話
手伝う,手伝っ
誕生,誕生
き,し
腹,腹
舞台,舞台
我慢,我慢
長,長
四,四
わし,わし
開ける,開け
むしろ,むしろ
気分,気分
案内,案内
技,技
都,都
弱い,弱い
ほる,ほっ
うわさ,うわさ
雷,雷
せめて,せめて
つう,つう
隠す,隠し
つい,つい
格好,格好
大きい,大きい
ミ,ミ
気付く,気付い
ぜひ,ぜひ
困る,困る
感情,感情
帰る,帰ろ
マスター,マスター
恋愛,恋愛
本当は,本当は
あした,あした
笑顔,笑顔
おく,おけ
返す,返し
主人,主人
待てる,待て
ガン,ガン
悪い,悪かっ
戦闘,戦闘
そこで,そこで
ぶっ,ぶっ
屋敷,屋敷
やら,やら
動く,動い
行く,行け
裏,裏
上がる,上がっ
動く,動く
王女,王女
あんなに,あんなに
話す,話す
ばっか,ばっか
お互い,お互い
実力,実力
側,側
巫女,巫女
イヤ,イヤ
へえ,へえ
効果,効果
後ろ,後ろ
歌,歌
反応,反応
集中,集中
いただく,いただい
みる,みよ
ばっかり,ばっかり
かかる,かかる
たって,たって
二度と,二度と
くい,くぅ
警察,警察
みる,みろ
距離,距離
不安,不安
ほんと,ほんと
痛い,痛
彼氏,彼氏
聖域,聖域
女神,女神
夏,夏
赤,赤
美しい,美しい
送る,送っ
全て,全て
ごと,ごと
僕ら,僕ら
付,付
風邪,風邪
遅い,遅い
抜ける,抜け
派,派
当たり前,当たり前
テスト,テスト
レイ,レイ
馬,馬
バンド,バンド
助かる,助かっ
たま,たま
ご飯,ご飯
ある,あん
やすい,やすい
技術,技術
魂,魂
ついに,ついに
死ぬ,死に
すばらしい,すばらしい
神様,神様
あう,あう
いちご,いちご
突然,突然
荷物,荷物
とく,とけ
お待ち,お待ち
旅,旅
ばあちゃん,ばあちゃん
ヴァイオリン,ヴァイオリン
得る,得
立派,立派
悪魔,悪魔
すむ,すん
んじゃ,んじゃ
ン,ン
求める,求め
同士,同士
未,未
褒める,褒め
い,い
ってな,ってな
温泉,温泉
プロデューサー,プロデューサー
喪神,喪神
コーヒー,コーヒー
いずれ,いずれ
言う,言え
お茶,お茶
助ける,助ける
借りる,借り
千,千
る,る
得意,得意
護衛,護衛
思える,思え
掃除,掃除
選ぶ,選ん
かまう,かまわ
早速,早速
作る,作り
完璧,完璧
すごい,すご
死ぬ,死な
暇,暇
つきあう,つきあっ
頑張る,頑張る
経験,経験
寝る,寝る
よろしい,よろしい
大した,大した
飲む,飲み
生きる,生きる
全力,全力
動画,動画
呼ぶ,呼ぶ
勘違い,勘違い
てめえ,てめえ
無,無
週間,週間
以前,以前
新た,新た
実際,実際
食う,食っ
百,百
事故,事故
許す,許し
いいえ,いいえ
襲う,襲わ
教団,教団
こりゃ,こりゃ
希望,希望
ですが,ですが
続ける,続ける
全,全
