Morph-lemma,Morph-inflection
있,있다
고,고
수,수
일,일
이,이
등,등
며,며
년,년
있,있는
것,것으로
하,했다
말하,말했다
밝히,밝혔다
것,것
이날,이날
월,월
대하,대한
지나,지난
위하,위해
이,이라고
전,전
하,한다
통하,통해
한,한
대하,대해
및,및
등,등을
이번,이번
이후,이후
더,더
또,또
위하,위한
함께,함께
중,중
그,그는
잇,이어
그,그
같,같은
것,것이다
는,는
를,를
하,하는
윤,윤
최근,최근
을,을
것,것은
가장,가장
다르,다른
뒤,뒤
따르,따라
없,없다
지난,지난해
관련,관련
윤석,윤석열
올해,올해
이라,이라며
따르,따르면
경우,경우
것,것을
오후,오후
라고,라고
만,만
하,하고
것,것이
오전,오전
특히,특히
당시,당시
열리,열린
시,시
때,때
현재,현재
많,많은
에,에
앞서,앞서
대통령,대통령은
개,개
때문,때문에
모두,모두
후,후
두,두
관계자,관계자는
가운데,가운데
크,큰
안,안
있,있다는
없,없는
국내,국내
이,이를
설명,설명했다
우리,우리
대통령,대통령
하,한
하,할
모든,모든
다시,다시
지난달,지난달
대,대
등,등이
정부,정부
아니,아니라
이상,이상
내,내
되,된다
약,약
등,등의
있,있다고
대통령,대통령이
보이,보인다
다양,다양한
이,이에
강조,강조했다
다만,다만
데,데
않,않고
한편,한편
만,만에
경기,경기
의,의
의원,의원은
동안,동안
않,않은
첫,첫
정부,정부는
억,억
있,있었다
있,있도록
되,됐다
주요,주요
씨,씨는
등,등에
세계,세계
최대,최대
높,높은
직접,직접
잘,잘
많이,많이
명,명이
로,로
정부,정부가
하지만,하지만
그러나,그러나
새롭,새로운
않,않았다
있,있어
바,바
일부,일부
명,명
해당,해당
또한,또한
없,없이
차,차
대표,대표는
원,원
가,가
글로,글로벌
나오,나온다
코로나,코로나
자신,자신의
보,보고
것,건
되,될
후보,후보는
여러,여러
하,하지만
만큼,만큼
조,조
역시,역시
때문,때문이다
받,받고
코로,코로나
A,A
대선,대선
대비,대비
지역,지역
오,오는
