Morph-lemma,Morph-inflection
ir,ir
kad,kad
į,į
su,su
būti,yra
iš,iš
būti,buvo
o,o
kaip,kaip
tik,tik
savęs,savo
ar,ar
dėl,dėl
apie,apie
tas,tai
ne,ne
nuo,nuo
taip,taip
bet,bet
pat,pat
jau,jau
per,per
dar,dar
metas,metu
galėti,gali
būti,bus
kai,kai
metai,metų
iki,iki
jis,jų
po,po
jis,jo
labai,labai
jis,jis
bei,bei
būti,būti
tačiau,tačiau
daug,daugiau
kas,kas
už,už
nes,nes
turėti,turi
nei,nei
jis,jos
prie,prie
kuris,kurie
nebūti,nėra
net,net
tačiau,Tačiau
jog,jog
tas,Tai
sakyti,sakė
tas,to
galėti,galima
daug,daug
būti,būtų
A.,A
jis,jie
žmogus,žmonių
prieš,prieš
aš,mūsų
kur,kur
žmogus,žmonės
o,O
reikėti,reikia
jis,ji
dabar,dabar
tiek,tiek
sakyti,sako
vienas,vienas
metai,metais
vis,vis
todėl,todėl
tai,tai
darbas,darbo
taip,Taip
m.,m
arba,arba
nors,nors
kuris,kuris
koronavirusas,koronaviruso
diena,dieną
jei,jei
proc.,proc
metai,metus
pasak,Pasak
kas,ką
tūkst.,tūkst
be,be
ir,Ir
apsauga,apsaugos
miestas,miesto
šis,šiuo
kaip,Kaip
sveikata,sveikatos
jis,Jis
čia,čia
tikrai,tikrai
kitas,kitų
turėti,turėtų
teigti,teigė
jis,jį
ant,ant
aš,mes
V.,V
kuris,kurios
visas,visi
šalis,šalies
kartas,kartą
pagal,pagal
JAV,JAV
to,to
d.,d
kuris,kurių
R.,R
jis,juos
tarp,tarp
kol,kol
vienas,vieną
tam,tam
kuris,kuri
kiek,kiek
pranešti,pranešė
nebūti,nebuvo
bet,Bet
D.,D
jei,Jei
kai,Kai
kartu,kartu
šis,šį
laikas,laiko
jis,jam
be,Be
du,du
šis,šios
savaitė,savaitę
vienas,viena
teigimas,teigimu
J.,J
anot,Anot
šis,šių
jis,ją
dalis,dalis
jeigu,jeigu
valstybė,valstybės
val,val
aš,aš
aš,mano
aš,man
beveik,beveik
jis,jiems
M.,M
namas,namuose
tas,tą
seimas,Seimo
iš,Iš
pats,pats
mln.,mln
savivaldybė,savivaldybės
tad,tad
šalis,šalyje
po,Po
galėti,galėtų
labai,labiau
visas,visą
ypač,ypač
S.,S
rajonas,rajono
diena,dienos
skaičius,skaičius
nuo,Nuo
per,Per
G.,G
šis,šis
vadovas,vadovas
nors,Nors
žmogus,žmogus
šis,šio
toli,toliau
visas,visų
anksti,anksčiau
šis,šią
gerai,gerai
tas,tuo
mažai,mažiau
teigti,teigia
itin,itin
priemonė,priemonių
laikas,laiką
turėti,turėjo
ar,Ar
tapti,tapo
tiesiog,tiesiog
dėl,Dėl
ten,ten
atvejis,atvejų
todėl,Todėl
vieta,vietos
vėl,vėl
mėnuo,mėnesį
gyvenimas,gyvenimo
kuris,kurį
ES,ES
jeigu,Jeigu
dirbti,dirbti
tada,tada
toks,tokių
vaikas,vaikų
šiol,šiol
šis,Šiuo
toks,toks
viskas,viskas
duomenys,duomenimis
centras,centro
jis,Ji
visas,visus
kalbėti,kalbėjo
sportas,sporto
visuomenė,visuomenės
policija,policijos
šeima,šeimos
viso,viso
kitas,kitą
dažnai,dažnai
vėlai,vėliau
pareigūnas,pareigūnai
atvejis,atveju
svarbus,svarbu
darbas,darbą
tas,tas
ministras,ministras
gyventojas,gyventojų
pagalba,pagalbos
rinkimai,rinkimų
šalis,šalių
šis,ši
būdas,būdu
į,Į
vieta,vietoje
visada,visada
aš,mums
tu,jūsų
dabar,Dabar
niekas,nieko
visiškai,visiškai
dar,Dar
pasakoti,pasakojo
pasaulis,pasaulio
žmogus,žmonėms
bent,bent
pradėti,pradėjo
kuo,kuo
kuris,kurio
atvejis,atvejai
naujas,naujų
amžius,amžiaus
jis,Jie
negalėti,negali
dėmesys,dėmesį
pasaulis,pasaulyje
vieta,vietą
kitas,kiti
pats,patys
žmogus,žmogaus
vykti,vyksta
maistas,maisto
karantinas,karantino
vyras,vyras
atlikti,atlikti
daryti,daryti
toks,tokia
pandemija,pandemijos
du,dvi
šiandien,šiandien
prekyba,prekybos
vis,Vis
šiemet,šiemet
gal,gal
saugumas,saugumo
situacija,situacija
įmonė,įmonės
moteris,moteris
vos,vos
visas,visiems
ministerija,ministerija
para,parą
užsienis,užsienio
gyventojas,gyventojai
kuris,kuriuos
aš,Aš
verslas,verslo
kuris,kurioje
visas,visos
vanduo,vandens
rajonas,rajone
jis,jas
žemė,žemės
turėti,turime
kodėl,kodėl
padaryti,padaryti
aš,Mes
dėlto,dėlto
gauti,gauti
vaikas,vaikai
prezidentas,prezidentas
žmones,žmones
pas,pas
veikla,veiklos
rodyti,rodo
prezidentas,prezidento
tiesa,Tiesa
jis,jai
galė,galės
padėti,padėti
paskelbti,paskelbė
dirbti,dirba
informacija,informacijos
diena,dienų
kitas,kitas
kuris,kurią
reikėti,reikėtų
kada,kada
kas,ko
miestas,mieste
asmuo,asmenys
visai,visai
kultūra,kultūros
visas,visas
kuris,kuriame
neturėti,neturi
namas,namų
L.,L
būti,būna
transportas,transporto
mirti,mirė
šis,Šis
kitas,kitos
tekti,teko
savęs,save
viskas,viską
norėti,nori
tad,Tad
liga,ligos
K.,K
tuomet,tuomet
pats,pati
sunkus,sunku
koronavirusu,koronavirusu
būtent,būtent
darbuotojas,darbuotojų
apie,Apie
galėti,galėjo
pinigai,pinigų
greitai,greitai
pradžia,pradžioje
nebūti,nebus
vaizdas,vaizdo
darbas,darbus
skyrius,skyriaus
vienas,vieno
gyvenimas,gyvenimą
reikalas,reikalų
asmuo,asmenų
keli,kelių
dažnai,dažniausiai
