Morph-lemma,Morph-inflection
на,на
во,во
и,и
се,се
за,за
од,од
да,да
е,е
со,со
дека,дека
ќе,ќе
го,го
не,не
што,што
ја,ја
ги,ги
а,а
како,како
кои,кои
по,по
кој,кој
во,Во
тоа,тоа
до,до
но,но
година,година
која,која
има,има
биде,биде
беше,беше
пред,пред
сите,сите
треба,треба
нема,нема
уште,уште
година,години
им,им
му,му
на,На
еден,еден
кога,кога
или,или
сама,само
може,може
тој,тој
пати,пати
за,За
многу,многу
вели,вели
повеќе,повеќе
оваа,оваа
дел,дел
овој,овој
меѓу,меѓу
време,време
против,против
според,Според
денеска,денеска
околу,околу
изјави,изјави
од,Од
каде,каде
поради,поради
тие,тие
кон,кон
ни,ни
кај,кај
тој,Тој
ова,ова
без,без
работи,работи
би,би
со,Со
но,Но
рече,рече
се,Се
веќе,веќе
така,така
биле,биле
сега,сега
и,И
бил,бил
евро,евра
си,си
нив,нив
биде,бидејќи
таа,таа
неколку,неколку
милион,милиони
една,една
две,две
па,па
три,три
според,според
тоа,Тоа
по,По
имаат,имаат
луѓе,луѓе
место,место
под,под
беа,беа
а,А
него,него
откако,откако
додека,додека
ако,ако
ова,Ова
влада,Владата
прочитана,прочитана
бидат,бидат
овие,овие
Не,Не
кое,кое
своите,своите
преку,преку
два,два
лица,лица
дали,дали
туку,туку
страна,страна
статија,Статијата
при,при
пат,пат
свој,својата
вели,велат
држава,државата
друг,други
било,било
својот,својот
врз,врз
над,над
ниту,ниту
работа,работа
претседател,претседател
текст,Текстот
била,била
прочитан,прочитан
земја,земји
пак,пак
исто,исто
затоа,затоа
ден,ден
свет,светот
ден,дена
земја,земјата
негов,неговата
крај,крајот
вчера,вчера
ми,ми
име,името
може,можат
мора,мора
број,број
претседател,претседателот
како,Како
ви,ви
тие,Тие
граѓаните,граѓаните
оваа,Оваа
цел,цел
повторно,повторно
отсто,отсто
избори,избори
Република,Република
земја,земја
пар,пари
нов,нови
покрај,покрај
дури,дури
некои,некои
очекува,очекува
ако,Ако
прв,првиот
негов,неговиот
оти,оти
помош,помош
договор,договор
држава,држава
полиција,полицијата
македонски,македонската
месец,месеци
македонски,македонски
македонски,македонскиот
начин,начин
некој,некој
двете,двете
сум,сум
нивните,нивните
јануари,јануари
игра,игра
пет,пет
нов,нов
министерство,Министерството
час,часот
нешто,нешто
ли,ли
низ,низ
суд,суд
сме,сме
бара,бара
четири,четири
биде,бидат
те,те
голем,голем
секој,секој
потоа,потоа
смета,смета
политички,политички
досега,досега
оние,оние
едно,едно
заедно,заедно
сака,сака
иако,иако
проблем,проблеми
статија,статијата
еден,една
прашање,прашање
та,та
нас,нас
колку,колку
збор,збор
партија,партија
деца,деца
период,период
друг,другите
ние,ние
декември,декември
натпревар,натпревар
нов,новиот
ќе,Ќе
министер,министерот
сепак,сепак
тогаш,тогаш
решение,решение
комисија,комисија
месец,месец
група,група
град,град
македонски,македонските
односен,односно
тек,текот
денари,денари
врска,врска
направи,направи
година,годинава
кола,коло
граѓани,граѓани
февруари,февруари
ме,ме
има,имаше
премиер,премиерот
