Morph-lemma,Morph-inflection
i,i
og,og
være,er
på,på
til,til
å,å
det,det
som,som
for,for
at,at
ha,har
en,en
av,av
med,med
ikke,ikke
de,de
om,om
det,Det
fra,fra
si,sier
den,den
en,et
være,var
han,han
seg,seg
bli,ble
kunne,kan
men,men
etter,etter
skulle,skal
ville,vil
vi,vi
også,også
i,I
foto,Foto
ut,ut
år,år
mot,mot
ha,ha
så,så
bli,blir
være,være
over,over
han,Han
nå,nå
ved,ved
da,da
to,to
opp,opp
men,Men
jeg,jeg
ha,hadde
være,vært
mye,mer
måtte,må
få,få
hun,hun
inn,inn
mange,flere
mene,mener
før,før
vi,Vi
jeg,Jeg
dette,dette
bli,bli
de,De
sin,sin
få,fikk
få,får
annen,andre
enn,enn
eller,eller
mange,mange
noen,noen
dag,dag
en,En
denne,denne
sist,siste
under,under
bare,bare
der,der
mye,mye
når,når
politi,politiet
den,Den
selv,selv
komme,kommer
første,første
du,du
man,man
tre,tre
ny,nye
bli,blitt
ta,ta
tidlig,tidligere
siden,siden
nå,Nå
vi,oss
få,fått
kunne,kunne
komme,kom
noe,noe
mellom,mellom
de,dem
krone,kroner
blant,blant
all,alle
hel,hele
gå,går
hvor,hvor
hel,helt
norsk,norske
stor,store
rundt,rundt
gang,gang
her,her
sin,sine
igjen,igjen
hva,hva
annen,annet
skulle,skulle
både,både
dette,Dette
politi,Politiet
tro,tror
litt,litt
fortelle,forteller
hun,Hun
skrive,skriver
nok,nok
gå,gikk
tid,tid
god,godt
da,Da
ta,tatt
se,ser
sak,saken
kveld,kveld
gjøre,gjør
jeg,meg
ned,ned
og,Og
gå,gå
tilbake,tilbake
veldig,veldig
gjøre,gjøre
si,sa
ny,ny
slik,slik
ingen,ingen
se,se
million,millioner
sammen,sammen
sin,sitt
uten,uten
prosent,prosent
samme,samme
folk,folk
fire,fire
vise,viser
mens,mens
av,Av
stå,står
god,god
ville,ville
ny,nytt
ifølge,ifølge
her,Her
for,For
ønske,ønsker
på,På
lese,Les
stor,stor
fjor,fjor
komme,komme
lang,langt
fortsatt,fortsatt
noen,noe
ta,tar
gjennom,gjennom
ta,tok
hans,hans
gjøre,gjort
måtte,måtte
etter,Etter
ifølge,Ifølge
grunn,grunn
mann,mann
person,personer
ligge,ligger
god,bedre
mål,mål
mye,mest
hvordan,hvordan
god,beste
bak,bak
barn,barn
like,like
fordi,fordi
svær,svært
viktig,viktig
han,ham
gi,gi
neste,neste
kamp,kampen
frem,frem
ha,hatt
disse,disse
gi,gir
land,landet
norsk,norsk
søndag,søndag
alt,alt
fem,fem
tillegg,tillegg
plass,plass
vid,videre
si,si
fredag,fredag
løp,løpet
allerede,allerede
vite,vet
se,sett
sted,stedet
del,del
lørdag,lørdag
mandag,mandag
fram,fram
bra,bra
rett,rett
gammel,gamle
mann,mannen
én,ett
burde,bør
vei,vei
seier,seier
god,gode
finne,funnet
torsdag,torsdag
aldri,aldri
jo,jo
tirsdag,tirsdag
onsdag,onsdag
hos,hos
heller,heller
minutt,minutter
mulig,mulig
gang,ganger
sist,Siste
stor,største
natt,natt
først,først
opplyse,opplyser
poeng,poeng
likevel,likevel
distriktsnyheter,Distriktsnyheter
synes,synes
utenfor,utenfor
så,Så
kanskje,kanskje
annen,annen
vinne,vant
gjøre,gjorde
menneske,mennesker
lenge,lenge
mange,Flere
imidlertid,imidlertid
ti,ti
finne,finne
penge,penger
egen,egen
liten,mindre
gå,gått
leder,leder
hvis,hvis
en,Et
klar,klar
seks,seks
land,land
alle,alle
vår,vår
du,deg
år,årene
dag,dager
Oppdatert,Oppdatert
kamp,kamp
melde,melder
lite,lite
tid,tiden
sette,satt
stor,større
klar,klart
kun,kun
bruke,bruke
ute,ute
håpe,håper
én,én
når,Når
nesten,nesten
kommune,kommune
se,Se
stor,stort
vanskelig,vanskelig
sen,senere
derfor,derfor
hjemme,hjemme
går,går
uke,uke
starte,startet
hver,hver
morgen,morgen
forrige,forrige
gammel,gammel
komme,kommet
bil,bilen
med,Med
legge,legger
følge,følge
skje,skjedde
hver,hvert
lag,lag
lag,laget
drepe,drept
møte,møte
dermed,dermed
meter,meter
gjelde,gjelder
verden,verden
klokke,klokken
rekke,rekke
trenge,trenger
slutt,slutt
også,Også
vei,veien
år,årets
ung,unge
selv,Selv
sist,sist
kjent,kjent
trolig,trolig
Publisert,Publisert
dersom,dersom
område,området
sesong,sesongen
sende,sendt
gi,gitt
dag,dagen
lenkeadresse,lenkeadresse
legge,lagt
deres,deres
eneste,eneste
foran,foran
ting,ting
hjem,hjem
forhold,forhold
jobbe,jobber
ettermiddag,ettermiddag
klubb,klubben
liten,minst
dårlig,dårlig
kvinne,kvinner
bety,betyr
liv,livet
dag,dagens
sykehus,sykehus
mann,menn
lang,lang
spille,spille
amerikansk,amerikanske
fOTO,FOTO
mange,fleste
holde,holde
mai,mai
holde,holdt
pågripe,pågrepet
begge,begge
måte,måte
full,full
mann,Mannen
jobb,jobb
hvis,Hvis
hun,henne
altså,altså
kamp,kamper
fengsel,fengsel
Tips,Tips
år,året
hjelp,hjelp
bil,bil
mange,Mange
til,Til
ofte,ofte
derfor,Derfor
time,timer
slik,Slik
tross,tross
denne,Denne
bruke,brukt
åtte,åtte
måned,måneder
vår,våre
enda,enda
skje,skjer
alltid,alltid
kort,kort
spørsmål,spørsmål
inne,inne
fortsette,fortsetter
spesiell,spesielt
politidistrikt,politidistrikt
uke,uker
dermed,Dermed
finnes,finnes
barn,barna
mars,mars
stå,sto
kontakt,kontakt
by,byen
feil,feil
tidlig,tidlig
vise,viste
dømme,dømt
sette,sette
liten,liten
gi,ga
se,så
rett,retten
president,president
legge,legge
ansatt,ansatte
ingen,Ingen
to,To
vinne,vinne
alvorlig,alvorlig
møte,møter
bort,bort
bruke,bruker
finne,fant
legge,la
skade,skadet
støtte,støtte
samtidig,samtidig
si,sagt
januar,januar
hennes,hennes
juli,juli
sitte,sitter
fast,fast
desember,desember
ha,Har
hvem,hvem
ville,Vil
nemlig,nemlig
eksempel,eksempel
milliard,milliarder
unna,unna
situasjon,situasjonen
fall,fall
problem,problemer
sesong,sesong
kjøre,kjørte
kommune,kommunen
person,person
skade,skader
stå,stå
spille,spiller
min,min
august,august
ikke,Ikke
side,side
ende,endte
der,Der
miste,mistet
hva,Hva
god,best
samtidig,Samtidig
melding,melding
slå,slo
bruk,bruk
kvinne,kvinne
holde,holder
ball,ballen
familie,familien
ekstra,ekstra
juni,juni
stenge,stengt
gjerne,gjerne
verden,verdens
del,deler
lenge,lenger
tredje,tredje
fornøyd,fornøyd
ulik,ulike
spille,spilte
sentrum,sentrum
sted,sted
sted,steder
skje,skjedd
regjering,regjeringen
egen,egne
kjøre,kjørt
spille,spilt
ganske,ganske
burde,burde
liv,liv
jobb,jobben
september,september
klare,klarte
slå,slått
egen,eget
tro,tro
følge,følger
informasjon,informasjon
være,Er
score,scoret
sikte,siktet
slik,slike
skole,skolen
dø,døde
TV,TV
kraftig,kraftig
hevde,hevder
betale,betale
lett,lett
aller,aller
slutt,slutten
handle,handler
starte,starter
sommer,sommer
vise,vise
jobbe,jobbet
foreløpig,foreløpig
jobbe,jobbe
stadig,stadig
uke,uken
forbindelse,forbindelse
kontroll,kontroll
akkurat,akkurat
borte,borte
ulykke,ulykken
spiller,spillere
april,april
noen,Noen
oktober,oktober
februar,februar
føle,føler
øke,økt
medium,medier
vel,vel
politi,politi
svensk,svenske
ønske,ønsket
omgang,omgang
rask,raskt
be,ber
overfor,overfor
myndighet,myndigheter
forklare,forklarer
sette,satte
skole,skole
bekrefte,bekrefter
begynne,begynte
sette,setter
par,par
egentlig,egentlig
faktisk,faktisk
en,ei
kilometer,kilometer
sterk,sterkt
fra,Fra
tidlig,Tidligere
all,all
november,november
kjenne,kjenner
særlig,særlig
andre,andre
brann,brannen
lov,lov
hverandre,hverandre
form,form
kjøre,kjøre
bilde,bilder
sitte,satt
finne,finner
kvinne,kvinnen
direkte,direkte
nummer,nummer
åpne,åpnet
internasjonal,internasjonale
riktig,riktig
avis,avisen
politisk,politiske
død,død
viktig,viktigste
snakke,snakket
helg,helgen
politisk,politisk
hard,hardt
snakke,snakke
som,Som
både,Både
fortelle,fortalte
våpen,våpen
Gå,Gå
innen,innen
om,Om
krav,krav
formiddag,formiddag
fort,fort
fortsette,fortsette
ennå,ennå
sak,saker
nordmann,nordmenn
regjering,regjering
hovedmeny,hovedmeny
hovedinnhold,hovedinnhold
mulighet,mulighet
lage,laget
du,Du
publisert,Publisert
vente,ventet
år,års
arbeid,arbeid
parti,partiet
hvorfor,hvorfor
selskap,selskapet
bil,biler
bo,bor
at,At
tingrett,tingrett
nær,nærmere
imot,imot
sikre,sikre
uansett,uansett
skje,skje
klokke,klokka
varsle,varslet
fotball,fotball
høy,høy
ni,ni
nettopp,nettopp
falle,falt
melde,meldt
sykehus,sykehuset
skrive,skrev
glad,glad
land,landets
bygge,bygge
ferdig,ferdig
mobilversjon,mobilversjonen
hus,huset
ikkje,ikkje
bilde,bildet
frykte,frykter
enkelt,enkelte
valg,valget
vanlig,vanlig
bruke,brukes
hjelpe,hjelpe
gang,gangen
klare,klarer
ene,ene
man,Man
nei,nei
snakke,snakker
angrep,angrep
slå,slå
vite,vite
likevel,Likevel
utsette,utsatt
sak,sak
møte,møtte
OL,OL
svar,svar
total,totalt
publikum,publikum
video,video
kreve,krever
vinne,vunnet
behandling,behandling
valg,valg
sju,sju
eAvis,eAvis
antall,antall
stille,stille
bane,banen
start,start
ledelse,ledelsen
ligge,lå
rest,resten
periode,periode
trener,trener
skrive,skrevet
høy,høyere
opptatt,opptatt
ved,Ved
lang,lange
mens,Mens
velge,valgte
alene,alene
vise,vist
samle,samlet
samt,samt
statsminister,statsminister
grad,grad
kopi,Kopier
navn,navn
nord,nord
mene,mente
sterk,sterk
ansvar,ansvar
spennende,spennende
pause,pause
sikre,sikret
tenke,tenke
tvil,tvil
høy,høyt
hente,hentet
tiltak,tiltak
blant,Blant
vår,vårt
tre,Tre
