Morph-lemma,Morph-inflection
w,w
na,na
i,i
z,z
się,się
do,do
że,że
nie,nie
to,to
być,jest
o,o
w,W
a,a
od,od
po,po
dla,dla
przez,przez
jak,jak
za,za
rok,roku
być,są
ale,ale
oraz,oraz
być,będzie
już,już
który,które
mieć,ma
co,co
też,też
także,także
na,Na
który,który
z,ze
to,To
czy,czy
jak,Jak
tylko,tylko
jednak,jednak
to,tym
ten,tym
móc,może
on,jego
również,również
przed,przed
nie,Nie
rok,lat
on,ich
być,być
przy,przy
ten,tej
pod,pod
być,był
być,było
bardzo,bardzo
tak,tak
on,jej
można,można
ten,tego
który,która
by,by
jeszcze,jeszcze
być,będą
osoba,osób
lub,lub
z,Z
bo,bo
po,Po
ten,ten
rok,r
zostać,został
złoty,zł
który,którzy
do,Do
być,była
ponad,ponad
powiedzieć,powiedział
to,tego
jako,jako
nawet,nawet
móc,mogą
podczas,podczas
aby,aby
nad,nad
mieć,mają
on,nich
w,we
siebie,sobie
gdzie,gdzie
ten,tych
on,go
który,których
miejsce,miejsce
niż,niż
bez,bez
ten,te
kraj,kraju
gdy,gdy
który,którym
my,nas
dziecko,dzieci
a,A
mówić,mówi
mieć,miał
więc,więc
być,były
tysiąc,tys
czas,czasie
co,Co
kilka,kilka
tam,tam
wiele,wiele
czyli,czyli
od,Od
według,Według
czas,czas
sprawa,sprawie
dwa,dwa
miasto,miasta
zostać,została
praca,pracy
około,około
dwa,dwóch
i,I
raz,raz
procent,proc
osoba,osoby
dojść,doszło
dzień,dni
wiele,wielu
teraz,teraz
żeby,żeby
inny,innych
między,między
on,je
swój,swoje
który,której
milion,mln
kiedy,kiedy
początek,początku
sposób,sposób
my,nam
czy,Czy
on,mu
wcześnie,wcześniej
miejsce,miejscu
trzeba,trzeba
więcej,więcej
mecz,meczu
wszystko,wszystko
sobota,sobotę
wojna,wojny
poinformować,poinformował
być,Jest
u,u
jeden,jeden
właśnie,właśnie
on,nim
dom,domu
bardzo,bardziej
wszystek,wszystkich
czas,czasu
o,O
który,którego
trzy,trzy
piątek,piątek
ale,Ale
taki,takie
on,ją
niedziela,niedzielę
swój,swoich
pierwszy,pierwszy
zostać,zostały
zostać,zostanie
on,on
ramy,ramach
jeśli,jeśli
świat,świata
poniedziałek,poniedziałek
uwaga,uwagę
rok,latach
życie,życia
czwartek,czwartek
dziś,dziś
dzień,dnia
wtorek,wtorek
sytuacja,sytuacji
mieszkaniec,mieszkańców
on,im
środa,środę
aż,aż
mówić,mówił
późno,później
udział,udział
jeśli,Jeśli
człowiek,ludzi
złoty,złotych
strona,strony
rok,rok
ulica,ul
temu,temu
przypadek,przypadku
ten,ta
tak,Tak
tu,tu
oryginalny,oryginalny
obecnie,obecnie
życie,życie
jeden,jednym
Materiał,Materiał
mieć,miała
związek,związku
należeć,należy
część,części
swój,swoim
ten,to
wobec,wobec
mieć,mamy
około,ok
stan,stanie
siebie,siebie
dzień,dzień
on,niego
kilka,kilku
kolej,kolei
bardzo,najbardziej
wynikać,wynika
wszystek,wszystkie
pomoc,pomocy
chcieć,chce
godzina,godz
dobrze,dobrze
taki,takich
ciąg,ciągu
swój,swoją
rok,lata
zostać,zostało
prezydent,prezydent
kolejny,kolejne
dzięki,dzięki
ja,mnie
koniec,koniec
swój,swojej
coraz,coraz
wiek,wieku
dodać,dodał
temat,temat
jaki,jakie
miejsce,miejsca
teren,terenie
pierwszy,pierwszej
mieć,mieć
rosyjski,rosyjskich
zawsze,zawsze
wszystko,wszystkim
on,niej
