Morph-lemma,Morph-inflection
i,i
och,och
att,att
på,på
som,som
vara,är
en,en
för,för
ha,har
av,av
till,till
med,med
den,det
en,ett
om,om
inte,inte
en,den
den,Det
från,från
vara,var
sig,sig
en,de
kunna,kan
skola,ska
han,han
säga,säger
men,men
under,under
så,så
man,man
mot,mot
efter,efter
en,det
vi,vi
i,I
år,år
nu,nu
de,de
men,Men
komma,kommer
när,när
sig,sin
ut,ut
jag,jag
in,in
där,där
över,över
ha,ha
också,också
vara,vara
upp,upp
hon,hon
en,En
eller,eller
vid,vid
sedan,sedan
två,två
ha,hade
finnas,finns
här,här
vilja,vill
vi,Vi
få,får
än,än
jag,Jag
även,även
annan,andra
all,alla
skola,skulle
få,få
en,Den
bli,blev
mycket,mer
hur,hur
ny,nya
bli,blir
då,då
en,första
nu,Nu
procent,procent
få,fick
bara,bara
vara,varit
mycket,mycket
han,Han
flera,flera
enligt,enligt
den,den
ta,ta
sig,sina
annan,annat
många,många
tidig,tidigare
vad,vad
krona,kronor
bli,bli
sig,sitt
bland,bland
gå,går
någon,något
på,På
göra,göra
mellan,mellan
göra,gör
skriva,skriver
måste,måste
s,s
hel,hela
tre,tre
du,du
bra,bra
stor,stora
utan,utan
fram,fram
när,När
för,För
få,fått
se,ser
del,del
någon,några
svensk,svenska
komma,kom
och,Och
någon,någon
dag,dag
de,dem
både,både
person,personer
tid,tid
inom,inom
ny,ny
se,se
kunna,kunna
en,De
sen,senaste
genom,genom
redan,redan
vi,oss
efter,Efter
under,Under
ta,tog
vilken,vilket
inför,inför
de,De
gå,gå
enligt,Enligt
plats,plats
en,Det
stor,stor
barn,barn
en,Ett
stå,står
rysk,ryska
innan,innan
tillbaka,tillbaka
denna,detta
miljon,miljoner
helt,helt
hon,Hon
att,Att
jag,mig
samma,samma
olik,olika
ta,tar
all,allt
gå,gick
lite,lite
behöva,behöver
fler,fler
han,hans
dock,dock
göra,gjorde
polis,polisen
mål,mål
fyra,fyra
göra,gjort
kunna,kunde
bli,blivit
land,landet
han,honom
sätt,sätt
klar,klart
komma,komma
ligga,ligger
just,just
ingen,ingen
igen,igen
tro,tror
år,året
visa,visar
gälla,gäller
själv,själv
människa,människor
mycket,mest
kvar,kvar
så,Så
förra,förra
man,en
kommun,kommun
väldig,väldigt
sen,senare
ännu,ännu
tillsammans,tillsammans
grund,grund
om,Om
ner,ner
ta,tagit
fem,fem
fall,fall
runt,runt
då,Då
stor,stort
bra,bättre
stor,större
rätt,rätt
stor,största
sista,sista
samtidig,samtidigt
ju,ju
samt,samt
vecka,veckan
nästa,nästa
vi,vår
fortfarande,fortfarande
ha,haft
gång,gång
bra,bästa
tycka,tycker
handla,handlar
aldrig,aldrig
utanför,utanför
ny,nytt
annan,annan
hos,hos
även,Även
de,deras
veta,vet
berätta,berättar
med,Med
gång,gången
kanske,kanske
ge,ger
match,matchen
länge,länge
gå,gått
hem,hem
tid,tiden
bort,bort
ur,ur
sedan,Sedan
kring,kring
hur,Hur
svår,svårt
vad,Vad
ytterlig,ytterligare
innebära,innebär
emot,emot
hon,hennes
åt,åt
vi,våra
regering,regeringen
före,före
mena,menar
ge,ge
bakom,bakom
hus,huset
varje,varje
eftersom,eftersom
man,Man
trots,trots
beslut,beslut
här,Här
tio,tio
nästan,nästan
fortsätta,fortsätter
säsong,säsongen
värld,världen
alltid,alltid
nära,nära
allt,allt
krig,kriget
kvadratmet,kvadratmeter
företag,företag
denna,Detta
exempel,exempel
säga,säga
väl,väl
väg,väg
samtidig,Samtidigt
liv,liv
stöd,stöd
år,åren
land,länder
ställe,stället
lika,lika
vidare,vidare
lite,minst
början,början
ändå,ändå
börja,började
ägare,ägare
denna,dessa
sex,sex
spela,spela
president,president
den,Den
dag,dagar
svensk,svensk
denna,denna
vann,vann
fråga,frågan
slut,slut
jag,min
ingen,inget
pengar,pengar
tre,tredje
därför,därför
per,per
medan,medan
se,sett
ukraina,Ukraina
problem,problem
hålla,hålla
samband,samband
miljard,miljarder
hålla,håller
pandemin,pandemin
snabb,snabbt
år,årets
dryg,drygt
den,dess
hjälp,hjälp
först,först
del,delar
som,Som
långt,långt
länge,längre
hemma,hemma
mars,mars
minut,minuter
ofta,ofta
hög,högre
mången,många
person,person
gång,gånger
ned,ned
båda,båda
polis,Polisen
slut,slutet
kvinna,kvinnor
finnas,fanns
vecka,vecka
egen,egen
man,mannen
henne,henne
anse,anser
cirka,cirka
maj,maj
stå,stod
ordförande,ordförande
böra,borde
medi,medier
lång,lång
själv,själva
lag,lag
komma,kommit
uppge,uppger
månad,månader
klocka,klockan
framför,framför
vid,Vid
rapportera,rapporterar
kommun,kommunen
november,november
match,match
juni,juni
ukrainsk,ukrainska
brott,brott
böra,bör
april,april
ung,unga
februari,februari
känna,känner
två,andra
riktig,riktigt
amerikansk,amerikanska
hoppas,hoppas
uppgift,uppgifter
sjukhus,sjukhus
nog,nog
ingen,inga
spelare,spelare
fortsätta,fortsätta
viss,vissa
direkt,direkt
viktig,viktigt
börja,börjar
enda,enda
säga,sa
lag,laget
december,december
fråga,frågor
land,landets
dag,dagen
vecka,veckor
se,såg
vilja,ville
ihop,ihop
år,års
lämna,lämna
poäng,poäng
säga,sade
klar,klar
gammal,gamla
via,via
alltså,alltså
hög,höga
sju,sju
januari,januari
där,Där
det,Det
två,Två
pris,priset
fastighet,fastigheten
kvinna,kvinna
kommande,kommande
dessutom,dessutom
stad,staden
tisdag,tisdagen
kort,kort
förslag,förslag
onsdag,onsdagen
fortsätta,fortsatt
verkligen,verkligen
vi,vårt
torsdag,torsdagen
september,september
du,dig
hög,hög
vänta,väntar
väg,vägen
måndag,måndagen
all,Alla
bolag,bolaget
politisk,politiska
fredag,fredagen
varandra,varandra
par,par
juli,juli
man,män
jämföra,jämfört
möjlig,möjligt
natt,natten
vilken,vilka
kännas,känns
spela,spelar
ni,ni
helg,helgen
varför,varför
lite,mindre
social,sociala
åtta,åtta
därmed,därmed
mången,flesta
folk,folk
skola,skolan
vänta,väntas
säga,sagt
klubb,klubben
heller,heller
augusti,augusti
arbete,arbete
egen,egna
vd,vd
trots,Trots
oktober,oktober
bygga,bygga
område,området
igenom,igenom
dessutom,Dessutom
val,valet
misstänkt,misstänkt
ens,ens
rad,rad
fast,fast
extra,extra
verka,verkar
omkring,omkring
gammal,äldre
svensk,Svenska
krig,krig
bland,Bland
lördag,lördagen
precis,precis
öka,ökat
land,land
fel,fel
snart,snart
därför,Därför
hård,hårt
öka,öka
dags,dags
särskilt,särskilt
plats,platsen
slå,slog
skapa,skapa
bo,bor
visa,visade
antal,antal
antal,antalet
säsong,säsong
månad,månad
kunna,kunnat
ha,Har
jobb,jobb
inte,Inte
öka,ökar
till,Till
liv,livet
hand,hand
form,form
håll,håll
fråga,fråga
hitta,hitta
hjälpa,hjälpa
värld,världens
ge,gav
spela,spelade
sak,saker
boyta,boyta
liten,mindre
fängelse,fängelse
sommar,sommaren
stå,stå
total,totalt
idag,idag
möjlighet,möjlighet
egentligen,egentligen
död,död
ganska,ganska
meter,meter
minska,minska
bolag,bolag
sitta,sitter
använda,använda
kalla,kallade
viktig,viktig
pressmeddelande,pressmeddelande
kräva,krävs
pågå,pågår
försöka,försöker
bil,bil
borta,borta
öka,ökade
vem,vem
ute,ute
timme,timmar
val,val
åtgärd,åtgärder
hända,händer
vård,vård
behöva,behövs
vara,Är
spel,spel
hittills,hittills
hög,högsta
namn,namn
vinna,vinna
match,matcher
kräva,kräver
från,Från
politik,politiker
sluta,slutade
behov,behov
lång,långa
krav,krav
betala,betala
endast,endast
visa,visa
Mannen,Mannen
tänka,tänker
kraftig,kraftigt
roll,roll
tre,Tre
steg,steg
meddela,meddelar
flera,Flera
kritik,kritik
arbeta,arbetar
exempelvis,exempelvis
lämna,lämnar
framtid,framtiden
parti,partiet
vilken,vilken
period,perioden
situation,situationen
adress,adressen
bruka,brukar
läge,läget
lägga,lägga
ifrån,ifrån
ledare,ledare
central,centrala
euro,euro
svar,svar
information,information
avgörande,avgörande
söndag,söndagen
rysk,rysk
välja,väljer
personal,personal
sida,sidan
skriva,skrev
nära,närmare
ske,sker
riskera,riskerar
samhälle,samhället
nå,nå
ställa,ställa
faktisk,faktiskt
sätta,sätta
ansvar,ansvar
enkel,enkelt
leda,leder
köpa,köpa
meddela,meddelade
tydlig,tydligt
bra,bäst
jobba,jobbar
mål,målet
man,En
viktig,viktiga
kvartal,kvartalet
regering,regering
liten,liten
fokus,fokus
röra,rör
nyligen,nyligen
södra,södra
strax,strax
jag,mitt
börja,börja
betydlig,betydligt
lokal,lokala
all,all
ny,Nya
mat,mat
tidning,tidningen
tidig,tidigt
hus,hus
kvinna,kvinnan
fyra,fjärde
internationell,internationella
ekonomisk,ekonomiska
åka,åka
risk,risk
bygga,byggt
samtlig,samtliga
resultat,resultat
hålla,höll
Huset,Huset
betyda,betyder
kväll,kväll
beslut,beslutet
ligga,låg
tur,tur
ovan,ovan
hot,hot
spelar,spelaren
verksamhet,verksamhet
liten,små
sen,sent
god,god
istället,istället
lätt,lätt
familj,familj
e,e
tänka,tänka
främst,främst
följd,följd
försöka,försöka
mången,Många
dag,dagens
satte,satte
leda,leda
någonsin,någonsin
lag,lagen
anledning,anledning
lämna,lämnade
barn,barnen
du,din
fotboll,fotboll
utveckling,utveckling
kommun,kommuner
familj,familjen
såväl,såväl
egen,eget
ingen,Ingen
skola,skola
sån,sådan
omfattande,omfattande
kund,kunder
fjol,fjol
rum,rum
behöva,behöva
dra,drar
höst,hösten
möte,möte
bild,bild
stark,stark
riksdag,riksdagen
poli,polis
inne,inne
igång,igång
jobba,jobba
föll,föll
område,områden
nio,nio
allra,allra
besked,besked
mamma,mamma
däremot,däremot
nej,nej
division,division
hög,högt
elev,elever
full,fullt
anställd,anställda
marknad,marknaden
historia,historia
låg,lägre
ungefär,ungefär
ställa,ställer
bil,bilen
vapen,vapen
uppdrag,uppdrag
mitt,mitt
lång,längre
dit,dit
uttalande,uttalande
resa,resa
slå,slår
ord,ord
inträffa,inträffade
inflation,inflationen
tv,TV
arbete,arbetet
börja,börjat
skada,skador
lycka,lyckades
möte,mötet
du,Du
sida,sida
SD,SD
tränare,tränare
ta,tas
finnas,finnas
nivå,nivå
samarbete,samarbete
vatten,vatten
företag,företaget
gärna,helst
gammal,gammal
leva,lever
händels,händelsen
tidig,Tidigare
risk,risken
dra,dra
därefter,därefter
boende,boende
plats,platser
förälder,föräldrar
aktie,aktier
stark,starkt
nuvarande,nuvarande
gärna,gärna
mord,mord
respektive,respektive
varför,Varför
parti,parti
of,of
bild,bilder
våld,våld
följa,följa
partie,partier
vanlig,vanligt
energi,energi
liknande,liknande
stad,stad
positiv,positivt
start,start
sommar,sommar
konstatera,konstaterar
politik,politik
vladimir,Vladimir
rak,raka
veta,veta
känna,känna
lämna,lämnat
redan,Redan
norra,norra
lördag,lördag
bil,bilar
spela,spelat
ibland,ibland
sätta,sätter
säker,säkert
knappt,knappt
fall,fallet
dag,dagarna
framåt,framåt
doll,dollar
oklar,oklart
jag,mina
regione,regionen
el,el
pappa,pappa
många,Många
fungera,fungerar
tag,tag
rapport,rapport
slå,slå
välja,valt
myndighet,myndigheter
Åbo,Åbo
övrig,övriga
leva,leva
läge,läge
mitt,mitten
prata,prata
tillräcklig,tillräckligt
grov,grovt
besök,besök
följa,följer
ingå,ingår
situation,situation
tvinga,tvingas
god,goda
se,Se
motsvarande,motsvarande
sak,sak
samtal,samtal
kunna,Kan
oro,oro
ledning,ledningen
skapa,skapar
chef,chef
vilja,vilja
tills,tills
invånare,invånare
redo,redo
befinna,befinner
nämligen,nämligen
sen,sen
möjlighet,möjligheter
skäl,skäl
utveckling,utvecklingen
påverka,påverkar
kontakt,kontakt
hantera,hantera
vänn,vänner
använda,använder
vår,våren
beskriva,beskriver
hitta,hittades
liksom,liksom
bero,beror
skillnad,skillnad
försök,försök
chans,chansen
gräns,gränsen
höra,hör
göra,gjordes
stoppa,stoppa
norsk,norska
medlem,medlemmar
köra,köra
viktig,viktigaste
full,full
se,ses
stark,starka
besked,beskedet
musik,musik
ekonomi,ekonomi
söndag,söndag
viss,viss
klara,klara
lärare,lärare
köpt,köpt
regering,Regeringen
tala,talar
kväll,kvällen
del,delen
soldat,soldater
vänta,vänta
grupp,grupp
prata,pratar
the,The
tysk,tyska
arbeta,arbeta
driva,driver
låta,låta
stat,staten
kontroll,kontroll
berätta,berätta
utredning,utredning
verksamhet,verksamheten
patient,patienter
uppge,uppges
plan,planen
president,presidenten
öka,ökad
ge,gett
åka,åkte
centrum,centrum
tal,tal
plan,plan
körde,körde
sitta,satt
flytta,flytta
överens,överens
hända,hänt
chans,chans
visa,visat
lycka,lyckas
bygga,byggdes
starta,startade
alls,alls
lära,lära
dom,dom
bygga,bygger
kä,kände
regering,regeringens
allvarlig,allvarligt
säkerhet,säkerhet
ni,er
dålig,dåligt
ligga,ligga
sakna,saknar
hel,hel
sälja,sälja
framtid,framtid
rejält,rejält
ja,ja
framöver,framöver
öppna,öppnar
återig,återigen
civil,civila
fredag,fredag
påverka,påverka
