Morph-lemma,Morph-inflection
на,на
в,в
що,що
у,у
з,з
і,і
та,та
не,не
до,до
за,за
це,це
для,для
про,про
у,У
від,від
а,а
який,які
як,як
він,він
за,За
із,із
на,На
бути,буде
по,по
бути,є
також,також
під,під
щоб,щоб
час,час
вже,вже
й,й
вони,вони
але,але
ми,ми
ще,ще
рок,року
рф,РФ
який,який
бути,було
могти,може
область,області
через,через
той,того
це,Це
після,після
ви,ви
його,його
все,все
війна,війни
в,В
можний,можна
слово,словами
як,Як
або,або
також,Також
він,Він
дуже,дуже
людина,людей
так,так
і,І
про,Про
проти,проти
а,А
але,Але
той,те
чи,чи
Зараз,Зараз
коли,коли
він,його
вона,вона
який,яка
тому,тому
ми,Ми
вони,їх
мати,має
могти,можуть
зі,зі
сказати,сказав
зараз,зараз
російський,російських
бути,бути
окупант,окупанти
вони,них
щодо,щодо
заявити,заявив
де,де
територія,території
нагадати,Нагадаємо
бути,був
я,Я
якщо,якщо
я,я
це,цього
бути,були
лише,лише
рік,років
російський,російські
зазначити,зазначив
навіть,навіть
то,то
країна,країни
більше,більше
йтися,йдеться
вона,її
якщо,Якщо
окупант,окупантів
новина,новину
ми,нас
без,без
читати,читаєте
ж,ж
багато,багато
оборона,оборони
цей,цей
сьогодні,сьогодні
вони,Вони
понад,понад
бути,будуть
день,день
там,там
початок,початку
життя,життя
який,яких
український,українських
місто,міста
потрібно,потрібно
з,З
хто,хто
повідомлення,повідомленні
немає,немає
розповісти,розповів
її,її
фото,фото
тільки,тільки
один,один
Тому,Тому
вторгнення,вторгнення
напрямок,напрямку
була,була
кілька,кілька
мати,мають
повідомити,повідомив
раніше,раніше
просто,просто
українець,українців
близько,близько
військовий,військових
себе,себе
до,До
свій,свою
так,Так
після,Після
всі,всі
рішення,рішення
цей,цього
саме,саме
додати,додав
свій,свої
два,два
наголосити,наголосив
війна,війну
свій,своїх
всі,всіх
інший,інших
не,Не
для,Для
військовий,військові
крім,Крім
президент,президента
сила,сил
президент,президент
дія,дії
люда,люди
росіянин,росіяни
цей,ці
над,над
лютий,лютого
майже,майже
тисяча,тисяч
сила,сили
дитина,дітей
який,яку
це,цьому
військо,військ
разом,разом
особа,осіб
дані,даними
український,українські
дія,дій
три,три
ніж,ніж
рік,році
військо,війська
безпека,безпеки
той,тим
треба,треба
кількість,кількість
зокрема,зокрема
росіянин,росіян
той,тому
б,б
вони,їм
світ,світу
між,між
він,нього
російський,російського
район,районі
бо,бо
поки,поки
Раніше,Раніше
зробити,зробити
допомога,допомоги
питання,питання
я,мене
казати,каже
потім,потім
наш,наших
російський,російської
держава,держави
країна,країн
допомога,допомогу
серед,серед
цей,цих
військовий,військової
удар,ударів
інший,інші
вона,Вона
тимчасово,тимчасово
однак,Однак
будь,будь
жовтень,жовтня
цей,цю
день,днів
тут,тут
Коли,Коли
армія,армії
два,двох
при,при
війна,війна
зокрема,Зокрема
день,дня
робота,роботу
місто,місті
він,йому
ворог,ворог
варта,варто
населений,населених
грн,грн
ви,вас
ми,нам
знову,знову
російський,Російські
зброя,зброї
відомо,відомо
населення,населення
свій,свого
березень,березня
техніка,техніки
перед,перед
наш,наші
той,тих
під,Під
ввесь,всі
завжди,завжди
пункт,пунктів
млн,млн
цей,цієї
відео,відео
вночі,вночі
повідомляти,повідомляв
водночас,Водночас
рік,рік
час,часом
сьогодні,Сьогодні
біля,біля
ракета,ракети
який,яке
більше,більш
листопад,листопада
такий,такі
можливість,можливість
вересень,вересня
який,якого
стати,стало
тоді,тоді
свій,свій
протягом,протягом
міністр,міністр
вважати,вважає
При,При
травень,травня
місце,місце
липень,липня
голова,голова
ворог,ворога
чоловік,чоловік
грудень,грудня
продовжувати,продовжують
ракета,ракет
компанія,компанії
робити,робити
бік,боку
український,українського
ви,вам
участь,участь
серпень,серпня
бойовий,бойових
почати,почали
робота,роботи
адже,адже
наш,нашої
інфраструктура,інфраструктури
оскільки,оскільки
аби,аби
тис,тис
повідомити,повідомили
написати,написав
обстріл,обстріли
такий,таких
вдень,вдень
президент,Президент
той,той
через,Через
січень,січня
підтримка,підтримку
наразі,Наразі
наразі,наразі
раз,разі
обстріл,обстрілів
ситуація,ситуація
нібито,нібито
два,дві
повністю,повністю
громадянин,громадян
російський,російський
вона,неї
червень,червня
квітень,квітня
теж,теж
час,часу
територія,територію
продовжувати,продовжує
себе,собі
проте,Проте
внаслідок,внаслідок
стати,став
який,якому
український,української
вдатися,вдалося
експерт,експерт
система,системи
справа,справ
тепер,тепер
місто,місто
що,чого
війна,війні
країна,країні
що,Що
українець,українці
думка,думку
хотіти,хоче
той,ті
одного,одного
день,дні
артилерія,артилерії
свій,своєму
працювати,працювати
цей,цьому
отримати,отримати
інформація,інформацію
окупант,Окупанти
ситуація,ситуацію
озброєння,озброєння
санкція,санкції
місце,місці
район,районах
повинний,повинні
удар,удару
я,мені
доба,добу
голова,голови
працювати,працюють
ніщо,нічого
атака,атаки
долар,доларів
гроші,гроші
працювати,працює
різний,різних
напрямок,напрямках
там,Там
будинок,будинку
збройний,Збройних
федерація,Федерації
гривня,гривень
новий,нові
отримати,отримали
повномасштабний,повномасштабного
відновлення,відновлення
цей,ця
намагатися,намагаються
період,період
рік,роки
позиція,позиції
повідомляти,повідомляє
уж,уже
управління,управління
щось,щось
далі,далі
підтримка,підтримки
відбуватися,відбувається
добре,добре
краще,краще
увесь,усіх
вода,води
проблема,проблеми
умова,умовах
чому,чому
ракетний,ракетних
ще,Ще
житель,жителів
армія,армія
світ,світі
ні,ні
розповісти,розповіла
склад,складу
свій,своє
швидко,швидко
щоб,Щоб
Саме,Саме
змі,ЗМІ
світ,світ
людина,людина
такий,такий
три,трьох
євро,євро
від,Від
пояснити,пояснив
поліція,поліції
вона,їй
зсу,ЗСУ
зазначатися,Зазначається
людина,людини
окупований,окупованих
увесь,усі
перший,перший
ситуація,ситуації
чин,чином
казати,кажуть
момент,момент
річ,речі
місяць,місяців
зброя,зброю
український,український
місце,місця
можливість,можливості
кінець,кінця
влада,влада
столиця,столиці
ніколи,ніколи
млрд,млрд
агресія,агресії
тиждень,тижня
інформація,інформацією
який,якої
допомога,допомогою
проте,проте
район,району
російський,Російської
група,групи
стати,стати
свій,своєї
газ,газу
постачання,постачання
тривати,триває
результат,результаті
лікарня,лікарні
стати,стала
залишатися,залишається
завдання,завдання
чоловік,чоловіка
чотири,чотири
російський,російська
перебувати,перебуває
новий,нових
