Morph-Lemma,Occurrence
係,60613
我,45295
一,42366
唔,35972
嘅,30560
個,27601
有,27543
人,27163
都,25886
好,25362
你,24376
佢,21661
到,19688
就,18521
既,18314
咁,17190
會,16127
同,15420
大,15278
呢,15030
以,14658
得,13493
無,12998
要,12896
不,12709
可,11816
然,11416
去,11115
講,11096
過,10812
地,10549
但,10232
話,10232
多,10116
為,9855
出,9842
後,9790
自,9758
時,9672
下,9195
家,9172
上,8997
咗,8741
點,8697
又,8686
真,8663
之,8450
果,8023
知,7959
做,7827
生,7740
而,7582
啦,7316
日,7292
經,7247
住,7234
啲,7152
左,7152
中,7128
可以,7083
如,7075
面,7010
的,6894
咩,6835
心,6792
幾,6715
其,6714
成,6518
事,6510
想,6368
開,6337
所,6301
對,6296
樣,6265
喺,6194
真係,6193
己,6192
實,6180
呀,6171
文,6096
睇,6093
年,6090
自己,6036
用,5852
先,5772
唔係,5725
只,5696
仲,5492
已,5488
學,5471
度,5417
最,5417
意,5411
當,5292
女,5278
於,5134
入,5075
再,5036
但係,5023
定,4978
嚟,4961
頭,4867
已經,4866
問,4818
見,4818
本,4799
是,4753
發,4711
呢個,4696
港,4647
間,4627
來,4598
能,4597
行,4591
手,4519
因,4492
哋,4313
老,4309
邊,4299
仔,4291
都係,4280
解,4278
黎,4265
似,4222
分,4214
覺,4200
次,4190
返,4172
打,4162
冇,4072
嘢,4063
少,4049
香,4007
道,3988
前,3969
法,3955
完,3942
明,3942
身,3891
食,3844
就係,3831
者,3819
起,3815
理,3790
聲,3781
方,3734
埋,3684
全,3679
情,3604
正,3591
亦,3589
香港,3579
兩,3576
依,3537
即,3532
語,3514
野,3509
小,3501
其實,3483
國,3465
俾,3462
應,3461
如果,3446
落,3436
力,3390
叫,3364
三,3346
十,3337
阿,3332
因為,3329
諗,3313
至,3312
現,3293
死,3290
口,3226
世,3223
相,3221
望,3185
作,3182
咪,3182
公,3110
在,3086
聽,3047
識,3026
算,3013
友,3012
架,2971
今,2960
機,2929
水,2927
字,2894
嗰,2886
未,2885
天,2866
好似,2849
依家,2840
唔好,2818
所以,2812
動,2787
走,2743
覺得,2716
重,2714
加,2708
大家,2700
笑,2700
條,2690
種,2685
變,2677
緊,2671
通,2655
子,2644
將,2630
等,2628
高,2616
哈,2613
好多,2607
電,2607
寫,2599
外,2598
工,2567
或,2565
題,2555
不過,2536
只係,2506
唔知,2504
可能,2485
更,2479
直,2478
然後,2457
他,2446
主,2444
晒,2443
二,2389
原,2386
陣,2372
氣,2371
太,2367
神,2357
點解,2357
路,2354
該,2344
第,2343
由,2332
書,2323
句,2315
感,2310
快,2300
竟,2300
始,2292
記,2292
反,2290
關,2288
部,2275
刻,2272
結,2272
新,2268
眼,2264
搵,2263
比,2255
了,2232
長,2227
放,2209
男,2199
知道,2146
位,2145
唔到,2145
甚,2122
細,2116
我哋,2112
信,2102
應該,2080
數,2073
乜,2063
番,2063
白,2057
平,2055
教,2039
班,2039
表,2039
個人,2032
場,2031
言,2022
名,2019
代,2012
夠,2006
界,1999
單,1989
常,1965
民,1940
或者,1932
性,1925
愛,1921
問題,1917
難,1917
登,1909
色,1903
說,1903
終,1899
林,1893
連,1878
一樣,1876
之後,1876
令,1860
向,1860
回,1858
件,1849
清,1846
期,1838
企,1826
隻,1824
接,1820
認,1808
續,1806
搞,1800
西,1796
受,1792
物,1790
錯,1789
四,1785
係咁,1777
低,1776
哈哈,1774
論,1765
何,1738
音,1732
車,1730
開始,1713
份,1710
化,1706
畀,1702
每,1697
玩,1697
候,1691
見到,1688
朋,1670
錢,1659
時間,1647
屋,1643
朋友,1632
繼,1632
街,1625
世界,1624
失,1613
門,1605
近,1594
一定,1592
月,1592
入面,1574
完全,1570
政,1569
幫,1547
最後,1539
轉,1535
慢,1533
合,1532
東,1525
著,1524
體,1524
乎,1521
風,1518
影,1506
收,1506
任,1505
當然,1505
時候,1497
喇,1494
金,1487
離,1481
張,1479
拎,1477
美,1475
繼續,1474
其他,1473
雖,1471
思,1466
安,1463
咁樣,1452
究,1447
線,1443
岩,1437
早,1435
根,1433
利,1432
流,1432
試,1432
提,1425
佢哋,1419
士,1418
從,1418
齊,1417
五,1408
亦都,1403
例,1395
甚至,1395
使,1393
司,1393
仲有,1388
係咪,1384
特,1375
留,1368
喎,1366
另,1359
活,1356
計,1356
此,1348
雖然,1341
囉,1340
花,1335
讀,1333
半,1329
英,1325
鐘,1321
求,1315
萬,1301
深,1281
角,1276
即刻,1273
師,1271
處,1271
差,1259
買,1255
非,1255
山,1254
突,1249
就算,1247
選,1244
光,1242
且,1238
目,1236
驚,1236
指,1235
海,1222
星,1219
品,1218
交,1212
內,1211
帶,1205
樂,1205
視,1199
於是,1195
被,1195
極,1193
決,1192
傳,1191
這,1191
容,1187
都會,1185
式,1181
殺,1171
義,1170
今日,1168
別,1165
步,1164
答,1163
立,1160
除,1158
屋企,1156
粵,1150
廣,1146
詞,1143
晚,1141
總,1141
呢啲,1134
一齊,1133
飯,1132
故,1127
市,1126
竟然,1126
遠,1125
命,1118
持,1115
即係,1112
八,1110
飲,1108
也,1105
報,1104
類,1104
第一,1101
業,1097
強,1096
足,1090
進,1088
un,1086
斷,1080
必,1077
同埋,1076
圖,1076
鍾,1074
坐,1071
絕,1067
千,1061
程,1061
社,1058
根本,1058
百,1055
原來,1045
改,1044
保,1043
請,1043
仍,1042
黑,1042
媽,1038
首,1030
觀,1029
估,1026
都好,1020
謂,1017
員,1015
鍾意,1014
考,1013
啱,1012
簡,1011
以為,1007
一直,1005
精,997
支,996
跟,992
底,991
耐,989
出嚟,984
及,983
究竟,983
歌,980
易,978
馬,974
整,973
形,967
格,965
雞,965
遊,964
普,963
戰,958
少少,953
母,949
am,949
有啲,946
怪,943
火,943
王,942
地方,940
空,940
一下,937
需,936
包,935
況,935
駛,935
牙,934
所有,931
