Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,1,0,337097
el,el,0,1,257350
el,la,0,2,253838
a,a,2,3,238145
que,que,3,4,209898
i,i,4,5,179669
de,d,1,6,112866
el,els,0,7,105654
en,en,9,8,101223
per,per,8,9,95982
el,les,0,10,82235
haver,ha,6,11,79171
un,un,5,12,74692
amb,amb,11,13,62739
no,no,12,14,60748
un,una,5,15,59314
anar,va,10,16,52902
ser,és,7,17,52801
el,l,0,18,48271
se,es,13,19,45692
més,més,14,20,42937
com,com,18,21,33950
però,però,22,22,24454
hi,hi,23,23,22767
aquest,aquest,15,24,22020
també,també,25,25,20825
haver,han,6,26,18989
tot,tot,19,27,18040
ser,ser,7,28,16578
o,o,28,29,15942
anar,van,10,30,15517
ja,ja,29,31,14750
si,si,30,32,14405
fer,fer,16,33,14204
el,ls,0,34,14067
seu,seva,17,35,13800
molt,molt,24,36,13737
any,anys,27,37,13657
perquè,perquè,31,38,13656
seu,seu,17,39,13465
per,p,8,40,12252
aquest,aquesta,15,41,12125
ara,ara,36,42,11813
fins,fins,37,43,11719
ser,són,7,44,11584
això,això,39,45,11279
cap,cap,38,46,11161
des,des,41,47,11150
entre,entre,42,48,11011
quan,quan,43,49,10952
després,després,46,50,10080
fer,fa,16,51,9644
sobre,sobre,48,52,9354
ho,ho,49,53,9166
govern,govern,50,54,8553
tenir,té,20,55,8202
què,què,54,56,8043
segons,segons,55,57,7973
durant,durant,56,58,7904
nos,ens,58,59,7733
estar,està,26,60,7689
on,on,59,61,7579
dos,dos,35,62,7552
només,només,62,63,7196
poder,pot,21,64,7104
així,així,65,65,7103
li,li,66,66,7075
fet,fet,47,67,7073
ser,estat,7,68,7067
part,part,60,69,6858
sense,sense,68,70,6568
ser,era,7,71,6533
encara,encara,70,72,6488
persona,persones,52,73,6414
tot,tots,19,74,6313
haver,havia,6,75,6238
cas,cas,51,76,6171
dia,dia,44,77,6031
contra,contra,78,78,5927
manera,manera,72,79,5825
gran,gran,53,80,5660
mateix,mateix,75,81,5470
ni,ni,88,82,5430
altre,altres,45,83,5395
tres,tres,90,84,5289
primer,primer,34,85,5260
