Morph-Lemma,Occurrences
的,371867
在,96973
是,70070
了,66338
和,58188
有,41217
人,33592
也,30401
他,27200
不,26175
中,24938
要,24276
都,23210
上,21631
就,21151
我,20937
疫情,20111
到,19157
为,18832
但,18102
等,17337
工作,17108
对,16995
月,16829
我们,16438
被,16362
以,15977
而,15810
及,15720
这,15281
會,15247
後,15229
於,15071
日,14043
中国,13996
自己,13612
表示,13222
与,13005
年,12561
新,12503
將,12290
為,12235
一个,11901
對,11786
说,11661
更,11457
把,11179
之,10995
多,10915
她,10860
大,10789
会,10250
可以,10083
你,10075
一,10062
又,9709
发展,9684
将,9620
好,9521
與,9312
下,9144
或,9129
让,9114
人民,8992
已,8945
没有,8865
从,8795
地,8671
並,8651
新冠,8422
向,8337
着,8271
其,8212
能,8157
政府,8123
最,8002
病毒,7981
后,7954
他们,7916
还,7907
時,7895
由,7761
可能,7623
做,7478
就是,7383
问题,7363
去,7291
群众,7282
需要,7245
香港,6799
用,6760
很,6623
并,6435
要求,6433
指,6412
时,6375
提供,6286
至,6239
該,6045
国家,6011
得,5931
公司,5825
亦,5798
美國,5744
說,5679
可,5668
肺炎,5658
来,5609
干部,5583
包括,5540
政治,5480
美国,5441
前,5417
目前,5391
以及,5372
作为,5314
如果,5262
生活,5259
再,5256
重要,5149
防控,5123
口罩,5061
特朗普,4973
才,4951
不是,4938
中心,4920
这个,4882
进行,4861
给,4797
党,4795
一些,4714
不能,4649
安全,4646
一名,4578
其他,4547
所,4474
曾,4467
高,4440
里,4350
建设,4347
其中,4339
全面,4289
因,4265
今年,4264
个,4259
措施,4252
社会,4238
個,4238
过,4231
希望,4231
這,4213
病例,4211
坚持,4195
能力,4189
精神,4183
確診,4181
沒有,4144
警方,4101
小,4097
進行,4093
于,4080
已经,4036
感染,4028
內,4020
來,4017
者,3981
他們,3960
出,3958
时代,3934
還,3903
所有,3855
想,3839
從,3807
仍,3805
它,3797
世界,3789
中國,3788
们,3753
脱贫,3737
经济,3718
通过,3710
很多,3657
支持,3657
名,3651
檢測,3642
这些,3640
学习,3625
成为,3587
企业,3578
方面,3572
习近平,3555
因为,3548
那,3546
研究,3539
接受,3535
看,3533
这样,3530
才能,3506
地方,3497
指出,3489
只有,3484
领导,3424
使用,3417
时间,3416
起,3403
歲,3391
大家,3390
教育,3382
只,3377
事,3372
約,3369
一個,3367
基层,3346
实现,3330
因此,3297
一直,3288
健康,3276
患者,3273
不断,3273
组织,3259
非常,3255
加拿大,3254
死亡,3233
正,3222
情况,3210
所以,3204
服务,3193
自,3168
还是,3164
萬,3138
認為,3116
政策,3097
必须,3088
任何,3063
過,3063
保持,3058
但是,3038
人士,3033
有人,3025
什么,3020
知道,3005
方式,2998
开始,2987
思想,2987
我們,2967
全球,2961
却,2949
同时,2929
增加,2928
主要,2927
走,2926
服務,2912
看到,2908
现在,2907
孩子,2897
影響,2887
时候,2882
湖南,2880
制度,2876
不同,2848
各,2847
稱,2843
一定,2821
提出,2805
則,2785
如,2783
一种,2783
令,2778
正在,2776
比,2776
時間,2769
調查,2763
文化,2758
疫苗,2753
提高,2747
加强,2744
情況,2741
甚至,2740
是否,2738
復,2738
使,2736
每,2734
防疫,2676
社區,2654
做好,2645
人員,2637
讓,2637
担当,2630
当,2630
已經,2627
像,2624
为了,2609
全国,2606
外,2605
总书记,2602
宣布,2594
该,2593
部分,2584
活動,2576
历史,2557
努力,2553
保障,2546
不少,2535
这种,2535
市民,2528
一起,2506
出現,2504
事件,2501
日本,2492
影响,2490
党员干部,2486
一次,2481
做到,2465
醫院,2456
便,2437
而且,2437
推动,2436
了解,2429
完成,2423
例,2416
得到,2416
出现,2413
发现,2411
受,2411
落实,2409
居民,2409
即,2395
更加,2392
打,2386
城市,2384
發現,2381
如何,2379
推进,2370
提升,2356
人们,2353
加州,2346
管理,2345
社会主义,2342
活动,2339
係,2335
兩,2308
安排,2305
元,2302
认为,2301
個案,2273
國家,2271
两个,2269
抗疫,2268
生,2267
起来,2263
力量,2262
繼續,2261
長,2260
攻坚,2258
心,2253
民眾,2250
問題,2246
吃,2235
存在,2231
对于,2228
另外,2214
開始,2208
合作,2204
無,2203
任务,2202
太,2198
最大,2194
跟,2193
期間,2189
相信,2188
計劃,2187
只是,2186
經濟,2178
新增,2174
解决,2169
受到,2169
真正,2162
根據,2162
平台,2161
信息,2151
因為,2147
造成,2143
男子,2137
创新,2135
还有,2123
均,2122
责任,2111
应该,2103
社交,2103
家庭,2100
此,2095
未,2094
能够,2088
监督,2077
當,2077
成,2074
则,2069
代表,2066
有效,2066
内,2062
行动,2059
不要,2052
呢,2045
學生,2042
医院,2036
戴,2034
人员,2015
三,2007
據,2004
另,1993
成功,1990
病人,1990
應,1982
同,1978
副,1978
法律,1972
今日,1964
之前,1961
州,1955
面对,1946
相關,1945
武汉,1941
虽然,1940
地区,1938
第一,1938
发生,1937
作用,1919
学生,1913
公布,1911
控制,1909
市,1907
扶贫,1898
不会,1898
党员,1893
开展,1887
科技,1878
站,1878
報道,1872
家,1870
道,1858
人生,1856
關,1854
作出,1851
北京,1850
主席,1845
總統,1838
去年,1837
基本,1836
生命,1836
先,1820
建立,1817
形成,1817
特色,1814
除了,1809
