Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
biti,je,0,0,241572
u,u,1,1,192046
i,i,2,2,185791
na,na,4,3,101121
sebe,se,3,4,100830
da,da,5,5,84821
biti,su,0,6,68843
za,za,7,7,63222
od,od,11,8,48427
a,a,12,9,41924
sa,s,10,10,41846
htjeti,će,9,11,37979
koji,koji,6,12,32062
što,što,13,13,31147
taj,to,8,14,27337
kako,kako,15,15,25470
ne,ne,17,16,24686
iz,iz,18,17,23741
o,o,21,18,21566
biti,bi,0,19,19450
biti,nije,0,20,18897
do,do,24,21,18581
ali,ali,26,22,17739
te,te,28,23,17191
kao,kao,30,24,16094
nakon,nakon,34,25,15335
koji,koje,6,26,14491
biti,biti,0,27,14280
još,još,39,28,13011
mnogo,više,31,29,12703
koji,koja,6,30,12255
biti,sam,0,31,11532
godina,godine,22,32,11124
zbog,zbog,44,33,10936
biti,bio,0,34,10841
ili,ili,47,35,10627
jer,jer,50,36,10065
biti,smo,0,37,10036
već,već,52,38,9859
po,po,53,39,9633
no,no,54,40,9489
samo,samo,56,41,9247
sve,sve,45,42,9135
sa,sa,10,43,9109
dan,dana,38,44,8853
pa,pa,61,45,8357
tako,tako,64,46,8054
moći,može,16,47,7954
osoba,osoba,37,48,7875
prije,prije,67,49,7868
kada,kada,69,50,7769
imati,ima,20,51,7503
uz,uz,72,52,7415
reći,rekao,40,53,7389
čovjek,ljudi,41,54,7377
prema,prema,74,55,7128
ako,ako,75,56,6820
on,ga,14,57,6805
sada,sada,76,58,6725
biti,bilo,0,59,6712
dok,dok,77,60,6708
godina,godina,22,61,6543
jedan,jedan,25,62,6392
dva,dva,43,63,6309
biti,bila,0,64,6209
li,li,82,65,6119
tri,tri,83,66,5958
kad,kad,87,67,5950
oni,ih,29,68,5872
danas,danas,91,69,5762
bez,bez,92,70,5729
vrijeme,vrijeme,57,71,5685
oko,oko,84,72,5659
kod,kod,93,73,5639
broj,broj,62,74,5599
protiv,protiv,96,75,5579
taj,toga,8,76,5486
on,mu,14,77,5433
sav,sve,27,78,5375
nego,nego,100,79,5312
kazati,kaže,46,80,5201
biti,nisu,0,81,5162
htjeti,ćemo,9,82,5058
koronavirus,koronavirusa,51,83,4938
moći,mogu,16,84,4823
gdje,gdje,113,85,4812
sav,svi,27,86,4772
nekoliko,nekoliko,119,87,4714
on,on,14,88,4703
posto,posto,120,89,4691
ovaj,ove,19,90,4684
htjeti,neće,9,91,4684
svoj,svoje,23,92,4594
nemati,nema,89,93,4546
prvi,prvi,36,94,4396
tijekom,tijekom,127,95,4362
dva,dvije,43,96,4344
mi,nam,42,97,4308
ni,ni,129,98,4241
osoba,osobe,37,99,4051
nešto,nešto,133,100,4022
biti,bili,0,101,4011
koji,kojima,6,102,3997
uvijek,uvijek,138,103,3968
također,također,139,104,3950
milijun,milijuna,122,105,3904
mjera,mjere,58,106,3884
trebati,treba,48,107,3864
oni,im,29,108,3827
vrlo,vrlo,145,109,3826
jedan,jedna,25,110,3791
taj,taj,8,111,3789
kuna,kuna,136,112,3779
koji,koju,6,113,3744
ovaj,ovo,19,114,3698
čak,čak,151,115,3683
puno,puno,154,116,3636
taj,tome,8,117,3635
dio,dio,79,118,3634
oni,njih,29,119,3624
iako,iako,156,120,3616
među,među,158,121,3570
četiri,četiri,160,122,3481
mi,nas,42,123,3434
način,način,128,124,3357
mjera,mjera,58,125,3345
nov,novi,33,126,3296
ja,mi,59,127,3288
kazati,kazao,46,128,3278
sat,sata,73,129,3273
dan,dan,38,130,3249
koji,kojem,6,131,3220
koji,kojoj,6,132,3217
daleko,dalje,143,133,3213
slučaj,slučajeva,68,134,3193
dobro,dobro,102,135,3188
predsjednik,predsjednik,98,136,3180
između,između,176,137,3166
ukupno,ukupno,181,138,3136
imati,imaju,20,139,3096
ipak,ipak,184,140,3086
pod,pod,172,141,3077
raditi,radi,66,142,3063
županija,županije,95,143,3036
pet,pet,169,144,3035
riječ,riječ,131,145,2985
ovaj,ovaj,19,146,2925
jako,jako,200,147,2897
drugi,drugi,35,148,2895
on,ona,14,149,2856
sav,svih,27,150,2819
tko,tko,182,151,2809
tek,tek,208,152,2804
svoj,svojim,23,153,2794
put,put,80,154,2784
sat,sati,73,155,2776
neki,neki,55,156,2769
možda,možda,215,157,2733
područje,području,109,158,2717
onda,onda,217,159,2716
zaraza,zaraze,209,160,2667
taj,te,8,161,2663
svoj,svoj,23,162,2645
koronavirus,koronavirusom,51,163,2617
malo,manje,86,164,2608
put,puta,80,165,2594
koliko,koliko,227,166,2586
osim,osim,230,167,2570
kroz,kroz,232,168,2567
drugi,druge,35,169,2564
odnosno,odnosno,234,170,2561
sezona,sezone,110,171,2561
svoj,svoju,23,172,2549
taj,tom,8,173,2536
gotovo,gotovo,240,174,2513
biti,bit,0,175,2506
malo,malo,86,176,2477
hrvatski,hrvatski,49,177,2460
tada,tada,246,178,2442
mi,mi,42,179,2424
bolest,bolesti,190,180,2422
on,joj,14,181,2417
imati,imao,20,182,2413
grad,grada,81,183,2392
poput,poput,250,184,2387
zaštita,zaštite,163,185,2375
nov,nove,33,186,2368
mjesto,mjesto,78,187,2350
teško,teško,242,188,2348
preko,preko,262,189,2302
moći,možemo,16,190,2297
vrijeme,vremena,57,191,2297
život,život,97,192,2292
upravo,upravo,264,193,2290
nov,novih,33,194,2241
baš,baš,271,195,2240
kuća,kuće,114,196,2236
imati,imati,20,197,2234
koronavirus,koronavirus,51,198,2231
tu,tu,273,199,2229
mjesto,mjesta,78,200,2225
ovaj,ovom,19,201,2224
ja,ja,59,202,2223
naime,naime,275,203,2205
šest,šest,260,204,2199
neki,neke,55,205,2178
međutim,međutim,280,206,2159
pitanje,pitanje,142,207,2129
pandemija,pandemije,161,208,2128
morati,mora,70,209,2126
ništa,ništa,282,210,2125
taj,ta,8,211,2120
tjedan,tjedna,121,212,2117
zato,zato,285,213,2096
vlada,vlada,115,214,2084
utakmica,utakmice,85,215,2077
mnogo,najviše,31,216,2063
obitelj,obitelji,174,217,2056
zaražen,zaraženih,225,218,2034
koji,kojih,6,219,2025
značiti,znači,247,220,2023
sav,svim,27,221,2018
nalaziti,nalazi,178,222,1992
sad,sad,304,223,1985
ovaj,ova,19,224,1975
moći,mogao,16,225,1972
ministar,ministar,206,226,1963
tisuća,tisuća,214,227,1961
kraj,kraju,108,228,1953
svijet,svijetu,117,229,1944
on,njega,14,230,1943
igrač,igrača,105,231,1937
kraj,kraja,108,232,1932
vlada,vlade,115,233,1931
trenutno,trenutno,312,234,1930
niti,niti,321,235,1887
što,čega,13,236,1885
pred,pred,317,237,1882
ovaj,ovog,19,238,1875
on,ono,14,239,1873
policija,policija,194,240,1866
imati,imamo,20,241,1861
reći,rekla,40,242,1845
ponovno,ponovno,334,243,1843
velik,veliki,32,244,1843
oni,oni,29,245,1836
godina,godinu,22,246,1827
stožer,stožera,140,247,1823
liga,lige,147,248,1821
imati,imali,20,249,1816
reći,reći,40,250,1813
njegov,njegov,65,251,1813
moguć,moguće,202,252,1812
nitko,nitko,298,253,1801
život,života,97,254,1797
biti,bude,0,255,1796
njegov,njegova,65,256,1795
posebno,posebno,347,257,1783
odmah,odmah,349,258,1781
onaj,one,63,259,1781
početak,početka,149,260,1778
posao,posao,137,261,1776
oni,njima,29,262,1773
obzir,obzirom,220,263,1767
činiti,čini,204,264,1765
strana,strane,222,265,1760
pomoć,pomoć,257,266,1759
inače,inače,355,267,1750
euro,eura,290,268,1747
hrvatski,hrvatske,49,269,1746
slučaj,slučaju,68,270,1746
koji,kojeg,6,271,1742
grad,grad,81,272,1735
svaki,svaki,94,273,1727
kasno,kasnije,333,274,1726
situacija,situacija,106,275,1717
stožer,stožer,140,276,1717
mjesto,mjestu,78,277,1706
onaj,oni,63,278,1705
željeti,želi,99,279,1699
ja,me,59,280,1698
moći,možete,16,281,1696
utakmica,utakmica,85,282,1696
zajedno,zajedno,367,283,1695
županija,županiji,95,284,1695
često,često,253,285,1692
postojati,postoji,201,286,1683
svoj,svom,23,287,1676
civilan,civilne,313,288,1665
smatrati,smatra,205,289,1658
dodati,dodao,189,290,1655
htjeti,ću,9,291,1646
predsjednik,predsjednika,98,292,1642
zemlja,zemlje,90,293,1640
država,država,126,294,1637
naš,naše,71,295,1629
jedan,jednom,25,296,1628
svijet,svijeta,117,297,1626
moći,moći,16,298,1623
