Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
i,i,0,0,179984
at,at,2,1,145657
og,og,3,2,134633
være,er,1,3,118636
det,det,6,4,89760
en,en,4,5,88758
på,på,7,6,88379
til,til,8,7,87317
af,af,10,8,74873
der,der,11,9,74013
for,for,12,10,73089
have,har,9,11,64920
med,med,13,12,59320
den,den,5,13,57579
ikke,ikke,14,14,45041
som,som,15,15,43430
den,de,5,16,40049
en,et,4,17,38490
om,om,19,18,34523
fra,fra,20,19,32296
han,han,18,20,31692
kunne,kan,17,21,28673
men,men,21,22,28665
den,det,5,23,25589
være,var,1,24,25495
så,så,25,25,24757
vi,vi,24,26,23536
skulle,skal,23,27,21500
de,de,22,28,20933
sig,sig,31,29,20162
man,man,32,30,19484
også,også,33,31,19379
sige,siger,27,32,18689
jeg,jeg,29,33,18155
ville,vil,28,34,17612
blive,blev,16,35,16674
efter,efter,38,36,15805
ved,ved,39,37,15655
hvor,hvor,40,38,15549
nu,nu,41,39,15285
år,år,34,40,15006
hun,hun,37,41,15003
være,være,1,42,14082
over,over,45,43,12636
ud,ud,48,44,11816
blive,bliver,16,45,11403
op,op,53,46,10831
mange,flere,30,47,10725
da,da,54,48,10674
her,her,57,49,10134
to,to,58,50,10132
være,været,1,51,10050
eller,eller,59,52,9646
når,når,60,53,9308
få,få,26,54,9094
mange,mange,30,55,8947
hvis,hvis,63,56,8930
mod,mod,62,57,8911
have,havde,9,58,8399
sin,sin,43,59,8398
have,have,9,60,8223
ifølge,ifølge,67,61,8166
meget,meget,46,62,7889
kunne,kunne,17,63,7769
deres,deres,68,64,7738
blive,blevet,16,65,7497
du,du,64,66,7436
dansk,danske,49,67,7338
nogen,noget,44,68,7189
selv,selv,72,69,7133
end,end,71,70,7041
al,alle,52,71,7019
komme,kommer,35,72,7017
derfor,derfor,74,73,6945
anden,andet,36,74,6888
blandt,blandt,75,75,6877
siden,siden,76,76,6869
første,første,77,77,6757
blive,blive,16,78,6682
anden,andre,36,79,6381
de,dem,22,80,6373
dag,dag,50,81,6333
ind,ind,81,82,6293
dog,dog,83,83,6238
ny,nye,51,84,6014
gang,gang,65,85,5997
sidste,sidste,86,86,5927
hvad,hvad,87,87,5852
under,under,90,88,5648
skulle,skulle,23,89,5609
helt,helt,91,90,5580
lige,lige,92,91,5504
stor,store,42,92,5392
få,får,26,93,5278
nogen,nogle,44,94,5140
tre,tre,97,95,5070
få,fik,26,96,5060
se,se,47,97,4976
fortælle,fortæller,84,98,4920
kun,kun,103,99,4816
både,både,104,100,4799
mellem,mellem,106,101,4654
hel,hele,95,102,4638
tilbage,tilbage,109,103,4578
tid,tid,79,104,4527
krone,kroner,108,105,4514
mene,mener,98,106,4464
igen,igen,113,107,4447
hos,hos,115,108,4375
godt,godt,116,109,4367
stå,står,69,110,4314
mere,mere,117,111,4309
del,del,93,112,4285
dansk,dansk,49,113,4205
politi,politiet,70,114,4184
hans,hans,120,115,4141
komme,komme,35,116,3972
rusland,rusland,101,117,3971
mens,mens,124,118,3967
fordi,fordi,125,119,3954
inden,inden,126,120,3932
sammen,sammen,127,121,3923
omkring,omkring,128,122,3918
få,fået,26,123,3916
frem,frem,129,124,3899
anden,anden,36,125,3893
ville,ville,28,126,3890
gøre,gøre,56,127,3885
før,før,131,128,3864
meget,mere,46,129,3815
procent,procent,132,130,3805
uden,uden,136,131,3754
gå,går,55,132,3716
lidt,lidt,138,133,3712
endnu,endnu,141,134,3669
vores,vores,134,135,3661
