Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,0,0,248914
het,het,2,1,125677
een,een,3,2,111315
van,van,4,3,111108
in,in,5,4,95043
en,en,6,5,92679
dat,dat,7,6,67338
zijn,is,1,7,65564
op,op,8,8,55067
te,te,9,9,49418
met,met,11,10,44020
zijn,zijn,1,11,43180
voor,voor,12,12,42912
die,die,13,13,41782
niet,niet,14,14,40356
je,je,16,15,34075
maar,maar,17,16,30872
er,er,18,17,30551
ook,ook,19,18,30201
om,om,20,19,28355
ik,ik,21,20,28176
aan,aan,22,21,26800
als,als,25,22,25947
ze,ze,26,23,22130
bij,bij,27,24,20766
dan,dan,28,25,20244
nog,nog,30,26,19379
hij,hij,32,27,18070
hebben,heeft,10,28,16548
naar,naar,34,29,16345
we,we,35,30,16154
uit,uit,36,31,15583
of,of,37,32,15537
door,door,39,33,15324
zijn,was,1,34,15014
al,al,29,35,14833
wat,wat,41,36,14253
veel,meer,24,37,14230
wel,wel,43,38,14164
over,over,44,39,14125
dit,dit,45,40,13538
hebben,hebben,10,41,13308
worden,worden,15,42,12262
jaar,jaar,40,43,11673
geen,geen,47,44,11262
kunnen,kan,23,45,11093
zo,zo,48,46,11054
worden,wordt,15,47,10956
nu,nu,52,48,10342
deze,deze,53,49,10252
tot,tot,55,50,9771
kunnen,kunnen,23,51,9307
veel,veel,24,52,9059
mens,mensen,57,53,8583
hun,hun,60,54,8395
zich,zich,62,55,8264
na,na,63,56,8028
gaan,gaat,31,57,7811
moeten,moet,38,58,7649
zullen,zou,33,59,7607
worden,werd,15,60,7470
daar,daar,68,61,7353
haar,haar,69,62,7197
weer,weer,72,63,6880
dus,dus,73,64,6826
tegen,tegen,74,65,6700
gaan,gaan,31,66,6581
waar,waar,75,67,6385
ander,andere,59,68,6094
goed,goed,46,69,6091
toch,toch,80,70,5940
twee,twee,64,71,5893
onder,onder,81,72,5757
hebben,had,10,73,5727
moeten,moeten,38,74,5705
hoe,hoe,82,75,5615
nieuw,nieuwe,71,76,5612
mijn,mijn,83,77,5578
volgens,volgens,84,78,5386
hebben,heb,10,79,5283
zullen,zal,33,80,5268
alleen,alleen,86,81,5115
maken,maken,49,82,5057
doen,doen,50,83,5015
heel,heel,70,84,4952
één,eerste,51,85,4919
willen,wil,56,86,4897
zeggen,zegt,54,87,4625
omdat,omdat,94,88,4552
al,alle,29,89,4472
komen,komt,42,90,4435
hier,hier,99,91,4173
tijd,tijd,90,92,4107
komen,komen,42,93,4098
mee,mee,100,94,4079
