Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
the,the,0,0,437591
of,of,2,1,210197
and,and,3,2,170873
to,to,4,3,154534
in,in,5,4,152343
a,a,6,5,132911
be,is,1,6,68480
be,was,1,7,58235
for,for,8,8,52501
as,as,9,9,51633
that,that,10,10,50695
with,with,11,11,44996
by,by,12,12,43224
on,on,13,13,40413
be,are,1,14,34435
it,it,14,15,34055
from,from,15,16,32208
be,be,1,17,29091
his,his,17,18,28268
this,this,18,19,27349
he,he,16,20,25114
or,or,19,21,25024
an,an,20,22,24609
at,at,21,23,24457
be,were,1,24,23958
not,not,22,25,22437
which,which,25,26,19477
have,have,7,27,18603
have,had,7,28,16646
their,their,26,29,16474
also,also,27,30,16426
but,but,28,31,16307
have,has,7,32,16165
they,they,24,33,15274
one,one,29,34,15010
can,can,31,35,13655
other,other,30,36,13118
its,its,32,37,13012
more,more,33,38,12261
be,been,1,39,11913
all,all,36,40,10919
first,first,37,41,10689
use,used,23,42,10599
when,when,38,43,10425
some,some,40,44,10379
two,two,42,45,10189
these,these,43,46,10174
after,after,44,47,10027
there,there,45,48,10025
most,most,46,49,9901
many,many,48,50,9499
citation,citation,47,51,9481
only,only,49,52,9472
into,into,50,53,9438
than,than,51,54,9336
would,would,52,55,9237
time,time,35,56,9202
may,may,53,57,8743
who,who,54,58,8594
such,such,55,59,8143
however,however,57,60,7473
during,during,61,61,7270
between,between,62,62,7249
new,new,59,63,7160
over,over,64,64,7039
no,no,66,65,6949
about,about,67,66,6743
if,if,70,67,6496
year,years,41,68,6486
use,use,23,69,6424
while,while,74,70,6185
both,both,76,71,5970
they,them,24,72,5903
he,him,16,73,5757
will,will,78,74,5605
so,so,81,75,5584
up,up,82,76,5554
out,out,84,77,5533
then,then,85,78,5506
I,i,71,79,5476
her,her,89,80,5446
make,made,39,81,5430
each,each,92,82,5361
any,any,93,83,5251
often,often,94,84,5160
system,system,58,85,5141
people,people,91,86,5118
because,because,96,87,5038
through,through,98,88,4925
she,she,69,89,4905
could,could,99,90,4900
be,being,1,91,4893
number,number,73,92,4873
where,where,102,93,4801
main,main,105,94,4708
world,world,100,95,4696
later,later,108,96,4620
since,since,109,97,4602
before,before,111,98,4497
three,three,112,99,4492
city,city,87,100,4445
under,under,118,101,4301
convert,convert,101,102,4294
same,same,119,103,4290
well,well,80,104,4260
know,known,83,105,4194
call,called,86,106,4176
work,work,56,107,4167
early,early,88,108,4113
several,several,134,109,4029
do,did,34,110,3983
part,part,90,111,3974
government,government,120,112,3941
year,year,41,113,3887
very,very,142,114,3868
do,do,34,115,3841
different,different,144,116,3784
state,state,68,117,3781
th,th,145,118,3761
much,much,146,119,3758
even,even,147,120,3741
become,became,60,121,3723
until,until,153,122,3691
although,although,154,123,3660
life,life,132,124,3648
large,large,72,125,3632
high,high,75,126,3540
second,second,143,127,3510
another,another,160,128,3502
those,those,162,129,3461
find,found,97,130,3452
power,power,126,131,3417
example,example,131,132,3352
around,around,172,133,3315
what,what,173,134,3308
war,war,156,135,3306
own,own,149,136,3272
within,within,175,137,3248
form,form,79,138,3215
set,set,130,139,3189
against,against,185,140,3114
still,still,184,141,3105
use,using,23,142,3058
century,century,159,143,2995
end,end,115,144,2995
small,small,127,145,2990
like,like,188,146,2928
due,due,201,147,2887
we,we,137,148,2881
include,including,63,149,2881
name,name,95,150,2880
common,common,196,151,2866
water,water,187,152,2839
without,without,205,153,2832
film,film,136,154,2825
now,now,206,155,2815
public,public,208,156,2799
begin,began,113,157,2794
way,way,158,158,2774
usually,usually,211,159,2760
area,area,104,160,2758
order,order,152,161,2739
four,four,214,162,2732
death,death,194,163,2730
music,music,217,164,2689
country,country,107,165,2685
make,make,39,166,2678
long,long,135,167,2666
game,game,133,168,2632
history,history,219,169,2610
must,must,226,170,2605
group,group,123,171,2603
among,among,229,172,2588
say,said,114,173,2563
do,does,34,174,2539
day,day,125,175,2528
series,series,233,176,2517
major,major,232,177,2495
you,you,237,178,2481
back,back,224,179,2459
less,less,228,180,2435
base,based,170,181,2421
few,few,216,182,2414
give,given,77,183,2400
period,period,215,184,2389
s,s,247,185,2372
general,general,238,186,2367
point,point,148,187,2354
become,become,60,188,2351
place,place,139,189,2349
family,family,198,190,2338
thus,thus,250,191,2338
support,support,155,192,2335
accord,according,241,193,2322
consider,considered,190,194,2297
political,political,259,195,2292
modern,modern,256,196,2291
system,systems,58,197,2279
national,national,251,198,2273
great,great,150,199,2263
down,down,262,200,2243
control,control,191,201,2242
member,members,183,202,2233
though,though,270,203,2219
should,should,273,204,2211
important,important,276,205,2190
language,language,165,206,2167
line,line,167,207,2153
along,along,282,208,2137
last,last,227,209,2132
time,times,35,210,2128
just,just,288,211,2120
development,development,254,212,2118
home,home,245,213,2114
take,took,65,214,2106
follow,following,121,215,2097
various,various,293,216,2095
million,million,257,217,2092
how,how,295,218,2091
original,original,294,219,2076
similar,similar,300,220,2072
every,every,301,221,2072
law,law,203,222,2061
result,result,110,223,2061
either,either,309,224,2051
case,case,161,225,2042
human,human,220,226,2038
man,men,141,227,2037
take,take,65,228,2034
single,single,269,229,2032
process,process,222,230,2025
local,local,296,231,2022
international,international,314,232,2009
military,military,313,233,2008
area,areas,104,234,2008
book,book,177,235,2005
never,never,319,236,1995
generally,generally,321,237,1987
country,countries,107,238,1979
woman,women,221,239,1979
child,children,207,240,1968
publish,published,264,241,1967
lead,led,117,242,1946
right,right,189,243,1946
american,american,334,244,1929
population,population,271,245,1917
old,old,192,246,1917
show,show,106,247,1916
rather,rather,338,248,1916
french,french,341,249,1896
air,air,291,250,1896
school,school,204,251,1888
popular,popular,345,252,1887
sometimes,sometimes,346,253,1884
state,states,68,254,1881
king,king,284,255,1879
service,service,179,256,1876
possible,possible,349,257,1875
body,body,252,258,1870
include,include,63,259,1869
off,off,351,260,1864
light,light,261,261,1862
social,social,352,262,1860
term,term,166,263,1852
production,production,315,264,1847
age,age,267,265,1831
hold,held,178,266,1823
army,army,308,267,1822
british,british,356,268,1818
other,others,30,269,1811
datum,data,355,270,1809
per,per,358,271,1808
have,having,7,272,1807
field,field,249,273,1800
force,force,122,274,1790
develop,developed,200,275,1788
late,late,311,276,1785
man,man,141,277,1779
church,church,274,278,1775
word,word,182,279,1774
information,information,364,280,1773
company,company,223,281,1759
work,works,56,282,1757
leave,left,163,283,1751
german,german,357,284,1749
play,play,128,285,1745
space,space,286,286,1739
next,next,371,287,1735
land,land,268,288,1734
see,see,103,289,1734
once,once,372,290,1732
again,again,377,291,1721
instead,instead,380,292,1711
five,five,378,293,1711
come,came,140,294,1703
available,available,384,295,1699
theory,theory,306,296,1690
little,little,386,297,1679
energy,energy,368,298,1677
almost,almost,392,299,1664
team,team,265,300,1651
she,her,69,301,1649
himself,himself,400,302,1645
upon,upon,401,303,1644
die,died,253,304,1641
create,created,169,305,1640
day,days,125,306,1638
high,higher,75,307,1628
see,seen,103,308,1625
design,design,176,309,1622
change,change,124,310,1610
party,party,246,311,1609
specie,species,411,312,1600
require,required,180,313,1598
release,released,210,314,1596
good,good,174,315,1594
addition,addition,391,316,1590
level,level,231,317,1588
side,side,292,318,1586
range,range,299,319,1584
season,season,347,320,1580
build,built,244,321,1576
research,research,407,322,1576
include,included,63,323,1565
write,wrote,116,324,1557
throughout,throughout,420,325,1554
free,free,395,326,1543
role,role,332,327,1543
above,above,422,328,1542
produce,produced,168,329,1535
type,type,209,330,1534
version,version,289,331,1526
south,south,427,332,1525
natural,natural,425,333,1523
low,low,181,334,1515
continue,continued,195,335,1512
certain,certain,435,336,1507
together,together,436,337,1501
position,position,298,338,1499
total,total,410,339,1497
group,groups,123,340,1496
standard,standard,302,341,1494
write,written,116,342,1490
third,third,432,343,1485
allow,allowed,129,344,1478
able,able,441,345,1477
black,black,412,346,1465
provide,provide,138,347,1455
make,making,39,348,1451
receive,received,235,349,1442
itself,itself,450,350,1440
program,program,248,351,1440
large,largest,72,352,1439
force,forces,122,353,1436
case,cases,161,354,1431
therefore,therefore,454,355,1431
establish,established,320,356,1430
economic,economic,397,357,1427
typically,typically,456,358,1426
size,size,396,359,1420
house,house,304,360,1412
my,my,463,361,1411
final,final,439,362,1410
game,games,133,363,1408
society,society,398,364,1408
always,always,468,365,1408
earth,earth,459,366,1407
father,father,428,367,1406
too,too,473,368,1403
present,present,272,369,1394
mean,means,193,370,1393
today,today,479,371,1391
open,open,258,372,1388
term,terms,166,373,1384
word,words,182,374,1381
part,parts,90,375,1378
art,art,340,376,1376
band,band,362,377,1373
take,taken,65,378,1373
special,special,476,379,1372
effect,effect,240,380,1367
person,person,381,381,1366
study,study,199,382,1361
six,six,491,383,1360
least,least,496,384,1359
hand,hand,322,385,1359
short,short,399,386,1356
describe,described,239,387,1356
surface,surface,414,388,1352
might,might,499,389,1351
central,central,501,390,1347
character,character,243,391,1346
use,uses,23,392,1346
rate,rate,312,393,1344
court,court,374,394,1343
especially,especially,504,395,1343
market,market,365,396,1342
low,lower,181,397,1336
current,current,442,398,1334
particular,particular,498,399,1332
value,value,285,400,1323
individual,individual,283,401,1316
increase,increased,151,402,1312
player,player,242,403,1308
month,months,353,404,1302
number,numbers,73,405,1302
play,played,128,406,1296
service,services,179,407,1294
across,across,520,408,1293
north,north,522,409,1290
source,source,278,410,1288
change,changes,124,411,1285
full,full,507,412,1283
structure,structure,354,413,1278
western,western,523,414,1271
aircraft,aircraft,528,415,1269
act,act,266,416,1268
president,president,495,417,1266
trade,trade,447,418,1266
education,education,529,419,1265
model,model,310,420,1265
go,went,157,421,1263
eventually,eventually,531,422,1262
despite,despite,532,423,1262
head,head,369,424,1261
follow,followed,121,425,1261
significant,significant,534,426,1258
return,return,197,427,1258
material,material,330,428,1258
strong,strong,415,429,1256
network,network,385,430,1256
lose,lost,359,431,1254
language,languages,165,432,1253
food,food,464,433,1250
run,run,218,434,1248
average,average,448,435,1246
region,region,344,436,1243
young,young,390,437,1241
away,away,546,438,1240
large,larger,72,439,1238
function,function,307,440,1235
white,white,502,441,1234
name,named,95,442,1233
far,far,236,443,1225
style,style,417,444,1219
near,near,512,445,1218
story,story,327,446,1217
traditional,traditional,557,447,1216
need,need,213,448,1214
office,office,443,449,1213
start,started,212,450,1212
book,books,177,451,1210
record,record,202,452,1210
come,come,140,453,1209
building,building,337,454,1209
top,top,511,455,1208
fact,fact,474,456,1208
form,forms,79,457,1207
provide,provided,138,458,1207
island,island,348,459,1202
cause,cause,171,460,1200
battle,battle,488,461,1198
nature,nature,560,462,1196
live,live,230,463,1194
type,types,209,464,1192
whether,whether,569,465,1185
culture,culture,419,466,1184
element,elements,366,467,1183
our,our,567,468,1182
long,longer,135,469,1181
event,events,297,470,1178
half,half,553,471,1177
view,view,290,472,1177
good,best,174,473,1176
far,further,236,474,1174
practice,practice,375,475,1169
official,official,403,476,1163
student,students,383,477,1162
line,lines,167,478,1161
increase,increase,151,479,1161
science,science,486,480,1160
success,success,547,481,1152
send,sent,373,482,1151
move,moved,186,483,1150
problem,problems,277,484,1149
radio,radio,562,485,1148
give,gave,77,486,1148
former,former,588,487,1147
television,television,576,488,1147
outside,outside,587,489,1147
point,points,148,490,1145
themselves,themselves,591,491,1144
movement,movement,433,492,1141
close,close,303,493,1138
return,returned,197,494,1138
class,class,388,495,1138
computer,computer,426,496,1137
result,results,110,497,1137
fire,fire,413,498,1132
business,business,469,499,1127
win,won,260,500,1127
soon,soon,584,501,1122
evidence,evidence,579,502,1121
produce,produce,168,503,1117
center,center,462,504,1113
attack,attack,323,505,1112
project,project,370,506,1112
religious,religious,602,507,1112
pressure,pressure,530,508,1111
right,rights,189,509,1111
design,designed,176,510,1106
player,players,242,511,1105
private,private,608,512,1102
specific,specific,599,513,1101
true,true,611,514,1096
town,town,438,515,1094
we,us,137,516,1093
add,added,335,517,1092
complete,complete,316,518,1091
real,real,605,519,1091
influence,influence,376,520,1090
community,community,423,521,1089
english,english,616,522,1087
action,action,387,523,1087
sound,sound,453,524,1086
bring,brought,342,525,1080
industry,industry,480,526,1076
help,help,318,527,1076
study,studies,199,528,1076
foreign,foreign,623,529,1075
allow,allow,129,530,1073
below,below,627,531,1072
performance,performance,471,532,1071
put,put,513,533,1068
cause,caused,171,534,1067
introduce,introduced,458,535,1063
character,characters,243,536,1063
physical,physical,633,537,1063
method,method,328,538,1061
condition,conditions,418,539,1055
ground,ground,492,540,1052
remain,remained,164,541,1051
enough,enough,639,542,1046
mother,mother,589,543,1045
give,give,77,544,1044
lead,lead,117,545,1043
effect,effects,240,546,1040
money,money,643,547,1039
go,go,157,548,1034
problem,problem,277,549,1032
complex,complex,607,550,1032
form,formed,79,551,1032
feature,features,234,552,1032
find,find,97,553,1031
additional,additional,649,554,1031
believe,believed,325,555,1026
growth,growth,650,556,1025
great,greater,150,557,1021
policy,policy,457,558,1021
small,smaller,127,559,1020
personal,personal,659,560,1019
city,cities,87,561,1019
access,access,573,562,1019
northern,northern,661,563,1017
locate,located,603,564,1015
well,better,80,565,1012
key,key,548,566,1011
directly,directly,667,567,1010
refer,referred,275,568,1010
sea,sea,617,569,1007
think,thought,379,570,1005
son,son,525,571,1004
speed,speed,535,572,1001
software,software,678,573,1000
night,night,594,574,999
temperature,temperature,416,575,999
code,code,497,576,998
further,further,656,577,996
construction,construction,636,578,995
health,health,681,579,995
lead,leading,117,580,994
get,get,350,581,993
particularly,particularly,683,582,992
album,album,552,583,991
associate,associated,574,584,991
move,move,186,585,990
technology,technology,544,586,986
capital,capital,648,587,985
primary,primary,670,588,983
create,create,169,589,979
need,needed,213,590,978
difficult,difficult,693,591,977
recent,recent,694,592,975
future,future,669,593,974
rule,rule,263,594,974
see,saw,103,595,973
yet,yet,698,596,972
amount,amount,475,597,967
commonly,commonly,703,598,966
kill,killed,402,599,965
level,levels,231,600,965
here,here,702,601,965
subject,subject,466,602,964
early,earlier,88,603,964
I,me,71,604,962
do,done,34,605,960
river,river,551,606,959
relationship,relationship,517,607,956
love,love,570,608,954
widely,widely,712,609,952
southern,southern,713,610,951
already,already,716,611,950
rule,rules,263,612,950
work,working,56,613,949
idea,idea,408,614,948
european,european,660,615,947
civil,civil,720,616,946
song,song,393,617,941
school,schools,204,618,939
variety,variety,593,619,937
show,shown,106,620,936
medium,media,516,621,935
separate,separate,482,622,935
ever,ever,724,623,933
unit,units,404,624,933
name,names,95,625,929
film,films,136,626,929
show,shows,106,627,928
originally,originally,738,628,927
legal,legal,739,629,926
seven,seven,731,630,922
interest,interest,537,631,919
remain,remains,164,632,918
base,base,170,633,918
title,title,452,634,917
entire,entire,745,635,916
change,changed,124,636,915
cost,cost,478,637,915
color,color,518,638,913
include,includes,63,639,912
career,career,692,640,910
sell,sold,472,641,909
member,member,183,642,909
pp,pp,749,643,908
roman,roman,663,644,908
event,event,297,645,907
red,red,697,646,907
image,image,477,647,904
successful,successful,758,648,903
memory,memory,673,649,902
site,site,484,650,902
mostly,mostly,763,651,900
front,front,718,652,898
decide,decided,543,653,894
simple,simple,596,654,894
stage,stage,519,655,893
multiple,multiple,741,656,893
economy,economy,701,657,888
place,placed,139,658,888
method,methods,328,659,887
security,security,714,660,886
appear,appeared,225,661,884
allow,allows,129,662,883
nearly,nearly,785,663,883
spanish,spanish,786,664,883
whole,whole,780,665,882
product,products,406,666,881
de,de,777,667,881
mass,mass,768,668,881
direct,direct,487,669,879
release,release,210,670,875
finally,finally,794,671,875
company,companies,223,672,875
commercial,commercial,742,673,870
summer,summer,706,674,868
council,council,676,675,867
highly,highly,801,676,866
percent,percent,802,677,865
list,list,431,678,865
hour,hours,578,679,863
force,forced,122,680,863
appear,appear,225,681,863
involve,involved,367,682,862
basic,basic,781,683,862
make,makes,39,684,862
towards,towards,808,685,859
rock,rock,644,686,858
past,past,810,687,857
rest,rest,707,688,857
program,programs,248,689,857
simply,simply,816,690,855
quickly,quickly,817,691,854
reason,reason,467,692,853
perform,performed,361,693,853
source,sources,278,694,851
test,test,434,695,851
turn,turn,326,696,850
reach,reached,336,697,849
majority,majority,806,698,848
training,training,821,699,847
press,press,628,700,844
state,stated,68,701,844
course,course,634,702,843
length,length,722,703,841
board,board,666,704,840
likely,likely,828,705,838
road,road,554,706,837
whose,whose,830,707,835
plan,plan,333,708,834
gas,gas,679,709,833
record,recorded,202,710,832
text,text,620,711,832
wide,wide,652,712,831
response,response,729,713,830
child,child,207,714,830
operation,operation,405,715,830
oil,oil,784,716,830
report,reported,279,717,830
active,active,834,718,827
attempt,attempt,305,719,827
previous,previous,840,720,825
work,worked,56,721,824
individual,individuals,283,722,821
income,income,803,723,819
west,west,852,724,816
university,university,642,725,816
behind,behind,853,726,815
relatively,relatively,856,727,815
wife,wife,754,728,814
provide,provides,138,729,814
eight,eight,855,730,811
approach,approach,524,731,810
report,report,279,732,809
issue,issues,280,733,809
necessary,necessary,863,734,808
operation,operations,405,735,808
high,highest,75,736,804
independent,independent,849,737,802
occur,occur,281,738,801
sense,sense,730,739,800
regular,regular,864,740,798
approximately,approximately,870,741,797
numerous,numerous,871,742,796
start,start,212,743,796
loss,loss,598,744,795
object,objects,389,745,795
star,star,440,746,795
knowledge,knowledge,875,747,794
serve,served,317,748,793
historical,historical,876,749,793
clear,clear,728,750,793
remain,remain,164,751,792
end,ended,115,752,791
property,property,430,753,790
experience,experience,470,754,790
engine,engine,527,755,790
define,defined,494,756,790
object,object,389,757,790
contain,contains,255,758,789
heavy,heavy,723,759,789
ten,ten,767,760,789
cell,cells,444,761,789
police,police,869,762,788
machine,machine,555,763,785
intend,intended,775,764,784
complete,completed,316,765,784
section,section,597,766,783
take,taking,65,767,782
financial,financial,887,768,782
quality,quality,719,769,782
law,laws,203,770,781
analysis,analysis,843,771,781
replace,replaced,539,772,780
issue,issue,280,773,779
ancient,ancient,878,774,778
know,know,83,775,773
account,account,503,776,772
video,video,793,777,771
relate,related,632,778,769
elect,elected,772,779,769
edition,edition,686,780,765
thing,things,563,781,765
fall,fall,324,782,764
party,parties,246,783,764
application,applications,461,784,764
say,say,114,785,763
division,division,653,786,761
concept,concept,612,787,760
middle,middle,900,788,760
pass,passed,343,789,759
blood,blood,903,790,759
ability,ability,735,791,758
animal,animals,514,792,757
product,product,406,793,757
increase,increasing,151,794,757
potential,potential,886,795,757
largely,largely,907,796,756
ship,ships,409,797,755
distance,distance,689,798,754
paper,paper,664,799,753
apply,applied,455,800,749
treatment,treatment,779,801,749
support,supported,155,802,749
matter,matter,641,803,747
read,read,568,804,747
status,status,914,805,746
date,date,437,806,744
equipment,equipment,920,807,744
lack,lack,646,808,744
way,ways,158,809,743
result,resulting,110,810,743
ship,ship,409,811,742
adopt,adopted,715,812,741
note,note,287,813,741
take,takes,65,814,741
story,stories,327,815,739
direction,direction,744,816,737
propose,proposed,797,817,737
keep,keep,394,818,736
county,county,760,819,734
estimate,estimated,583,820,733
example,examples,131,821,732
park,park,699,822,731
property,properties,430,823,731
function,functions,307,824,731
divide,divided,691,825,731
old,older,192,826,729
musical,musical,894,827,725
