Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
der,die,0,0,161463
der,der,0,1,154102
und,und,4,2,104489
in,in,1,3,90523
der,das,0,4,55917
der,den,0,5,52772
mit,mit,10,6,45544
zu,zu,5,7,42625
von,von,8,8,42020
in,im,1,9,41982
auf,auf,11,10,40047
für,für,12,11,38528
sein,ist,3,12,38104
es,es,13,13,36584
ein,ein,2,14,35035
sich,sich,14,15,34032
auch,auch,15,16,30779
nicht,nicht,16,17,29994
ein,eine,2,18,29823
der,dem,0,19,29456
der,des,0,20,26128
sie,sie,18,21,24025
an,am,9,22,23658
an,an,9,23,22325
bei,bei,17,24,22155
als,als,20,25,21492
nach,nach,22,26,20307
dass,dass,23,27,19242
er,er,24,28,19113
aus,aus,25,29,18848
werden,werden,6,30,18495
haben,hat,7,31,18039
wie,wie,27,32,17280
um,um,28,33,16451
sein,sind,3,34,15174
vor,vor,29,35,14951
werden,wird,6,36,14914
ein,einem,2,37,14736
noch,noch,31,38,14652
aber,aber,32,39,14381
ein,einen,2,40,14317
ein,einer,2,41,14105
so,so,33,42,12953
haben,haben,7,43,12551
sein,war,3,44,12234
zu,zum,5,45,12196
wir,wir,36,46,11918
über,über,37,47,11702
mehr,mehr,38,48,10495
oder,oder,39,49,10371
nur,nur,40,50,10196
man,man,43,51,9842
ich,ich,44,52,9793
werden,wurde,6,53,9224
bis,bis,45,54,9130
gegen,gegen,48,55,8733
sein,sein,3,56,8703
sein,sei,3,57,8145
zu,zur,5,58,7913
durch,durch,54,59,7284
können,kann,19,60,7124
wieder,wieder,55,61,7060
haben,hatte,7,62,6976
wenn,wenn,57,63,6826
unter,unter,58,64,6727
können,können,19,65,6527
schon,schon,60,66,6419
dann,dann,61,67,6389
dieser,diese,21,68,6329
haben,habe,7,69,6230
zwei,zwei,63,70,6183
nun,nun,65,71,6091
seit,seit,66,72,5947
sollen,soll,34,73,5889
bei,beim,17,74,5820
geben,gibt,35,75,5705
doch,doch,69,76,5649
ihr,ihre,26,77,5619
Jahr,jahr,30,78,5590
Prozent,prozent,71,79,5465
von,vom,8,80,5427
sagen,sagte,41,81,5407
immer,immer,72,82,5370
Mensch,menschen,68,83,5365
bereits,bereits,74,84,5272
Jahr,jahren,30,85,5062
sein,seine,3,86,5046
dabei,dabei,75,87,4873
jetzt,jetzt,76,88,4844
damit,damit,78,89,4769
Euro,euro,79,90,4740
ab,ab,81,91,4632
was,was,82,92,4627
da,da,83,93,4625
ihr,ihr,26,94,4544
dieser,dieser,21,95,4542
kein,keine,49,96,4518
werden,wurden,6,97,4354
sehr,sehr,89,98,4216
neu,neue,42,99,4120
sein,waren,3,100,4083
drei,drei,91,101,4013
Uhr,uhr,92,102,4000
gehen,geht,50,103,3873
rund,rund,94,104,3864
vieler,viele,73,105,3796
laut,laut,96,106,3777
erster,ersten,59,107,3747
sein,seiner,3,108,3746
werden,worden,6,109,3729
hier,hier,100,110,3726
weiter,weiter,104,111,3662
wollen,will,51,112,3585
etwa,etwa,106,113,3582
dieser,diesem,21,114,3555
ein,eines,2,115,3524
Polizei,polizei,109,116,3476
denn,denn,108,117,3475
zwischen,zwischen,110,118,3455
viel,viel,111,119,3440
müssen,müssen,77,120,3424
gut,gut,46,121,3406
Jahr,jahre,30,122,3359
aller,alle,70,123,3272
Zeit,zeit,99,124,3235
sowie,sowie,114,125,3216
wegen,wegen,115,126,3191
neu,neuen,42,127,3190
Ende,ende,117,128,3182
selbst,selbst,121,129,3074
dort,dort,122,130,3073
weil,weil,124,131,3061
muss,muss,125,132,3058
sein,seien,3,133,2989
dazu,dazu,128,134,2974
sagen,sagt,41,135,2959
in,ins,1,136,2930
allerdings,allerdings,132,137,2910
dafür,dafür,135,138,2851
ganz,ganz,86,139,2841
ihr,ihren,26,140,2838
erst,erst,136,141,2830
anderer,anderen,52,142,2817
ob,ob,137,143,2816
