Morph-Lemma,Occurrences
있,90049
하,63610
것,58977
이,49967
등,41085
고,31122
수,30197
일,28942
년,24071
않,22453
대하,20790
없,18178
위하,18021
되,17595
그,16547
며,15977
말하,14948
대통령,14816
전,14670
월,13770
밝히,13735
받,12623
중,11892
정부,11738
이날,11353
따르,11223
명,11186
지나,11172
,10823
보,10602
통하,10244
아니,9894
한,9656
만,9484
내,9170
같,8966
잇,8174
관련,8113
대표,8100
후보,8004
크,7998
때,7927
오,7867
이번,7804
보이,7626
우리,7489
국민,7338
많,7267
이후,7245
가,7225
사람,7148
및,7119
다르,7101
나오,7074
원,7055
상황,6897
더,6860
의원,6859
두,6716
때문,6624
함께,6560
개,6430
또,6376
못하,6287
뒤,6177
경우,6130
문제,6046
시,6037
말,5985
안,5968
이상,5885
경찰,5659
최근,5623
높,5581
는,5568
대,5565
윤,5513
지역,5468
를,5416
주,5391
지난,5381
열리,5360
시간,5257
을,5224
올해,5148
경기,5146
지원,5123
만들,5113
가장,5106
필요,5028
진행,5015
들,4989
점,4960
기업,4918
현재,4871
나,4843
생각,4834
씨,4774
국내,4672
발생,4667
시작,4660
설명,4618
위,4593
시장,4527
결과,4527
오후,4477
자신,4476
장관,4469
앞,4457
후,4453
세계,4434
모두,4427
윤석,4418
이라,4378
일부,4376
당시,4356
계획,4236
오전,4236
관계자,4225
라고,4104
사업,4067
국회,4053
에,4039
찾,4022
데,3969
주장,3954
좋,3946
특히,3944
앞서,3928
사건,3895
가능성,3857
강조,3840
곳,3840
국가,3764
발표,3686
어렵,3673
사용,3648
수사,3638
알리,3622
늘,3620
차,3598
기준,3556
혐의,3553
경제,3546
가운데,3533
전하,3502
과정,3482
거,3474
대상,3451
조사,3443
기록,3439
맞,3427
가격,3409
가지,3342
예정,3321
살,3319
분,3310
약,3290
이렇,3285
당,3282
넘,3267
운영,3266
오르,3260
모습,3251
다시,3248
지금,3243
지적,3225
정책,3212
개발,3195
사실,3194
이유,3191
의,3178
모든,3157
내용,3154
사회,3148
결정,3142
검찰,3120
억,3104
코로나,3102
지난달,3099
제공,3095
기술,3092
국,3091
만나,3084
가능,3084
정도,3080
수준,3074
열,3059
현장,3053
다양,3032
분석,3016
적,2997
인하,2996
확대,2943
알,2917
쓰,2912
해당,2864
나서,2854
정치,2851
규모,2847
확인,2833
대응,2832
대비,2799
조,2798
측,2795
전망,2793
입장,2790
새롭,2787
한편,2786
다만,2758
서비스,2753
달,2733
우려,2724
추진,2724
주요,2720
계속,2718
증가,2714
직접,2712
지,2708
최대,2706
포함,2696
세,2684
요구,2683
대선,2676
바,2672
동안,2670
집,2662
교수,2660
추가,2659
처음,2646
어떻,2644
첫,2631
사고,2623
투자,2623
강화,2621
싶,2610
인,2577
영향,2574
기간,2556
잘,2554
평가,2551
비판,2548
여성,2546
참여,2539
그렇,2521
공개,2507
이용,2501
제품,2501
나타나,2499
입,2493
상태,2489
로,2479
제,2464
마련,2449
많이,2442
정,2426
올리,2425
책임,2423
낮,2423
기존,2419
기자,2403
인사,2400
전국,2371
하나,2352
사이,2350
연구,2348
총리,2343
예상,2333
활동,2331
글로,2316
하지만,2302
전체,2282
그러나,2280
방안,2269
교육,2252
여러,2251
보도,2245
검사,2232
활용,2232
또한,2231
a,2229
공급,2224
논의,2208
관리,2199
만큼,2194
자리,2184
남,2174
시민,2169
총,2166
지속,2162
판단,2160
행사,2146
아이,2142
최고,2141
코로,2136
방식,2134
감염,2132
중심,2121
법,2118
인상,2116
상승,2113
선수,2110
확진,2103
속,2101
역시,2096
개월,2088
지난해,2082
유지,2079
방문,2073
내리,2035
준비,2029
전쟁,2027
기대,2026
다음,2025
의견,2023
논란,2011
조치,2010
적용,1992
사진,1990
이전,1986
중요,1979
달러,1976
더불어민주,1973
관계,1969
안전,1965
덧붙이,1960
기,1959
내년,1956
적극,1944
전날,1942
가족,1938
정보,1935
분야,1931
피해,1928
새,1920
선거,1920
직원,1917
마음,1915
이미,1907
다,1903
생산,1888
차량,1885
회의,1882
갖,1881
높이,1875
그러면서,1872
비롯,1864
국제,1862
의혹,1856
길,1854
상대,1854
떨어지,1853
이런,1852
노력,1852
신,1849
도,1844
금리,1835
사,1830
문,1823
민주당,1822
배,1822
이야기,1816
참석,1810
협력,1809
영상,1804
문재,1803
발언,1793
한국,1789
회장,1789
성장,1788
지지,1774
환경,1769
자체,1758
위기,1756
검토,1752
업무,1740
공격,1740
판매,1740
군,1732
에서,1727
확보,1726
하루,1722
당선,1718
뜻,1717
전문가,1716
전기,1715
관심,1714
각각,1712
핵심,1709
역할,1707
학생,1706
해외,1704
부분,1701
간,1700
구성,1696
환자,1695
개선,1693
요청,1692
부담,1691
면서,1691
보내,1689
막,1689
만명,1687
a씨,1680
질문,1674
저,1671
의미,1662
회사,1662
개인,1657
차례,1656
마치,1634
설치,1629
미,1628
전략,1620
줄,1620
으로,1611
손,1605
아파트,1598
나가,1596
향하,1594
아직,1591
변화,1589
번,1583
물론,1580
반대,1577
효과,1576
목표,1573
시스템,1572
경험,1569
사망,1568
정상,1563
치료,1563
작품,1562
평균,1559
여부,1557
주민,1555
이르,1555
날,1549
채,1547
대회,1541
먹,1539
바이,1537
반면,1528
발사,1523
공,1515
느끼,1501
시즌,1501
산업,1501
공간,1495
위험,1495
초,1494
피하,1493
더욱,1488
선,1483
성공,1483
인정,1483
여기,1482
그리고,1478
공식,1477
제기,1476
미래,1475
시행,1474
언론,1474
가치,1473
규제,1473
사태,1470
예산,1468
이름,1468
감소,1467
집중,1467
쉽,1466
힘,1465
주택,1465
감독,1460
기반,1460
신규,1458
너무,1452
결국,1452
후보자,1451
부,1445
기능,1444
서,1442
북한,1440
만원,1440
수요,1438
얻,1438
번째,1436
잡,1435
미국,1435
건,1429
담,1421
도입,1419
빠르,1416
비,1414
여,1414
병원,1411
일정,1408
겪,1406
검,1403
에너지,1397
반도체,1396
제도,1392
작업,1390
인근,1390
쪽,1387
회,1387
대부분,1384
불,1382
배우,1379
거치,1376
출신,1375
참사,1373
피해자,1371
해결,1369
나라,1368
백신,1366
억원,1366
글,1361
마지막,1358
학교,1358
물,1355
매우,1355
위원,1355
월일,1355
선택,1354
모르,1352
앞두,1351
과거,1351
실제,1345
눈,1344
발전,1343
단계,1341
거리,1341
돈,1340
끝,1339
서울,1335
이제,1331
먼저,1329
자,1327
거래,1327
맡,1327
안정,1326
고객,1326
수출,1323
방법,1320
팀,1320
소비자,1320
주변,1319
영화,1318
방역,1318
소속,1315
라는,1309
제대로,1307
감사,1302
합의,1299
러시아,1299
차지,1297
방침,1295
삶,1291
고려,1287
건강,1280
외,1279
뿐,1276
향후,1274
상품,1270
부족,1266
의사,1266
프로그램,1266
바라,1261
관하,1261
국민의,1260
최초,1258
누구,1257
금융,1257
또는,1254
실시,1253
시대,1253
방송,1252
내부,1248
예,1247
문화,1245
일반,1244
강,1240
묻,1240
듣,1240
생기,1240
오늘,1236
이달,1235
m,1235
중단,1234
개정,1232
구조,1231
사례,1231
공동,1230
확산,1229
규정,1228
인천,1219
비용,1218
강하,1217
최종,1216
해,1207
연속,1207
당국,1197
접종,1197
대신,1191
목소리,1191
전환,1188
처리,1188
신청,1186
물가,1183
보호,1181
계약,1179
정권,1177
외교,1174
바로,1172
이같이,1172
언급,1170
시기,1168
개최,1168
대화,1166
추,1164
역사,1161
부동산,1158
도시,1157
제한,1156
방향,1155
원인,1154
놓,1148
지키,1147
대출,1146
분기,1145
구체,1142
속도,1142
경쟁,1142
기회,1141
우크라이나,1141
전달,1140
작가,1137
시절,1136
역대,1135
대학,1135
미치,1134
원내대표,1131
신종,1129
타,1128
안보,1124
온라인,1123
신고,1123
발견,1123
제시,1120
도움,1118
국정,1117
유,1115
자료,1113
제재,1112
전문,1108
중국,1108
절차,1107
비하,1107
게,1105
디지털,1103
각,1100
촉구,1099
이동,1097
남성,1093
경,1091
그동안,1089
상,1084
이에,1084
게임,1083
재판,1082
과,1074
돌,1074
청년,1072
보유,1072
매출,1066
완화,1064
모델,1062
못,1059
시설,1058
성과,1056
핵,1056
권,1055
침공,1055
벌,1054
위협,1054
얘기,1053
시분,1053
건물,1051
위치,1049
전했,1049
표현,1045
행위,1045
제출,1044
능력,1042
동시,1041
데이터,1035
책,1034
민,1034
끝나,1033
발,1032
그런데,1032
공장,1029
업계,1028
차원,1025
위반,1025
양,1019
조성,1017
이해,1010
무엇,1010
통화,1010
강력,1007
밖,1006
우선,1006
대책,1006
줄이,1005
각종,1005
장,1002
승리,995
약속,995
밤,995
조직,992
상당,992
인수,988
여전,985
힘들,982
몸,981
기본,981
구축,980
