Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
ir,ir,0,0,135907
kad,kad,3,1,55456
į,į,5,2,36024
su,su,8,3,29769
būti,yra,1,4,28366
iš,iš,9,5,27747
būti,buvo,1,6,24485
o,o,12,7,21302
kaip,kaip,13,8,19197
tas,tai,4,9,18936
ar,ar,16,10,17547
taip,taip,20,11,16558
dėl,dėl,21,12,16423
tik,tik,22,13,15924
savęs,savo,15,14,15811
nuo,nuo,24,15,15686
apie,apie,26,16,15555
bet,bet,27,17,15345
ne,ne,29,18,14669
per,per,30,19,13687
tačiau,tačiau,32,20,13254
dar,dar,34,21,12822
jau,jau,35,22,12451
kai,kai,37,23,12050
pat,pat,38,24,11483
jis,jis,2,25,11337
galėti,gali,11,26,10957
būti,bus,1,27,10862
iki,iki,42,28,10736
po,po,43,29,10734
metas,metu,40,30,10595
jis,jų,2,31,10076
metai,metų,14,32,9841
jis,jo,2,33,9443
labai,labai,36,34,9029
bei,bei,48,35,8045
daug,daugiau,28,36,8038
už,už,50,37,7887
būti,būti,1,38,7829
kas,kas,31,39,7725
nei,nei,51,40,7578
jis,jos,2,41,7487
nes,nes,57,42,7073
prie,prie,58,43,6833
jis,jie,2,44,6795
turėti,turi,18,45,6644
net,net,60,46,6568
jei,jei,61,47,6258
kuris,kurie,6,48,6180
nebūti,nėra,41,49,6162
tas,to,4,50,6041
tiek,tiek,63,51,6036
prieš,prieš,64,52,6012
jis,ji,2,53,6006
be,be,65,54,5973
daug,daug,28,55,5932
nors,nors,66,56,5876
būti,būtų,1,57,5820
dabar,dabar,67,58,5780
galėti,galima,11,59,5771
jog,jog,69,60,5757
m.,m,70,61,5740
todėl,todėl,72,62,5676
aš,mūsų,10,63,5571
sakyti,sakė,39,64,5480
vis,vis,75,65,5350
klaipėda,klaipėdos,56,66,5202
žmogus,žmonių,19,67,5133
šis,šiuo,7,68,5038
žmogus,žmonės,19,69,5012
kur,kur,82,70,4957
vienas,vienas,25,71,4921
reikėti,reikia,52,72,4856
tai,tai,91,73,4591
d.,d,95,74,4517
sveikata,sveikatos,73,75,4504
pasak,pasak,97,76,4427
darbas,darbo,44,77,4405
aš,mes,10,78,4341
arba,arba,98,79,4331
sakyti,sako,39,80,4280
kas,ką,31,81,4237
