Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
на,на,0,0,312048
во,во,1,1,192523
и,и,2,2,172282
за,за,3,3,135824
се,се,4,4,133935
од,од,5,5,116898
да,да,6,6,106548
со,со,7,7,77003
е,е,8,8,73388
ќе,ќе,9,9,55509
дека,дека,10,10,52343
го,го,11,11,48075
не,не,12,12,46807
што,што,13,13,37513
ја,ја,14,14,34996
ги,ги,15,15,31715
а,а,16,16,26849
како,како,18,17,24450
по,по,19,18,24277
кои,кои,20,19,21577
тоа,тоа,21,20,20165
но,но,22,21,19015
кој,кој,24,22,17940
до,до,25,23,17348
година,година,17,24,15220
има,има,26,25,12974
која,која,29,26,12935
тој,тој,31,27,12068
беше,беше,32,28,11958
биде,биде,23,29,11882
пред,пред,35,30,11253
сите,сите,37,31,10832
нема,нема,30,32,9752
треба,треба,34,33,9429
кога,кога,40,34,9334
според,според,41,35,9313
уште,уште,42,36,9126
еден,еден,36,37,8739
им,им,44,38,8706
му,му,45,39,8682
година,години,17,40,8674
или,или,46,41,8584
оваа,оваа,47,42,8497
ова,ова,49,43,8242
сама,само,48,44,8195
може,може,27,45,7984
тие,тие,52,46,7579
многу,многу,53,47,7529
повеќе,повеќе,56,48,7339
овој,овој,60,49,7020
пати,пати,59,50,6973
вели,вели,39,51,6855
дел,дел,50,52,6767
меѓу,меѓу,63,53,6580
поради,поради,65,54,6324
денеска,денеска,66,55,6233
ни,ни,67,56,6187
против,против,68,57,6167
околу,околу,70,58,6124
време,време,62,59,6055
ако,ако,72,60,5787
таа,таа,73,61,5683
кај,кај,74,62,5670
каде,каде,76,63,5575
кон,кон,77,64,5566
изјави,изјави,69,65,5538
би,би,64,66,5511
без,без,79,67,5472
сега,сега,80,68,5466
така,така,84,69,5154
статија,статијата,88,70,5066
веќе,веќе,95,71,4879
работи,работи,83,72,4875
си,си,87,73,4752
бил,бил,97,74,4674
биле,биле,98,75,4659
евро,евра,89,76,4649
рече,рече,99,77,4595
милион,милиони,85,78,4582
па,па,101,79,4547
влада,владата,54,80,4515
дали,дали,102,81,4494
една,една,106,82,4434
биде,бидејќи,23,83,4424
неколку,неколку,105,84,4361
откако,откако,112,85,4298
две,две,114,86,4283
нив,нив,115,87,4258
три,три,117,88,4157
додека,додека,122,89,3959
затоа,затоа,125,90,3869
овие,овие,129,91,3849
под,под,127,92,3794
беа,беа,130,93,3777
место,место,78,94,3774
имаат,имаат,131,95,3773
луѓе,луѓе,82,96,3771
ниту,ниту,133,97,3635
претседател,претседателот,58,98,3620
него,него,135,99,3578
преку,преку,143,100,3390
бидат,бидат,146,101,3382
два,два,147,102,3377
при,при,148,103,3372
прочитана,прочитана,152,104,3295
кое,кое,153,105,3289
лица,лица,154,106,3278
исто,исто,155,107,3277
иако,иако,158,108,3229
своите,своите,159,109,3203
над,над,160,110,3152
македонски,македонската,33,111,3106
страна,страна,156,112,3061
врз,врз,163,113,3059
држава,државата,61,114,3043
вели,велат,39,115,3031
сепак,сепак,165,116,3031
претседател,претседател,58,117,3023
туку,туку,166,118,3013
текст,текстот,150,119,3004
пат,пат,109,120,3001
друг,други,55,121,2995
полиција,полицијата,100,122,2986
ми,ми,139,123,2962
покрај,покрај,168,124,2958
било,било,170,125,2945
ние,ние,172,126,2922
ден,ден,57,127,2914
свој,својата,110,128,2911
била,била,176,129,2896
својот,својот,177,130,2891
работа,работа,81,131,2864
