Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
i,i,0,0,188986
og,og,2,1,125640
det,det,3,2,104016
være,er,1,3,102211
på,på,5,4,97528
til,til,7,5,83789
å,å,8,6,75044
som,som,9,7,72410
for,for,10,8,71710
en,en,4,9,71293
at,at,11,10,68494
av,av,12,11,67467
ha,har,6,12,66431
med,med,13,13,56835
de,de,14,14,48348
ikke,ikke,16,15,42179
han,han,17,16,37937
om,om,18,17,36400
den,den,19,18,33549
fra,fra,23,19,29270
en,et,4,20,28057
men,men,24,21,27868
være,var,1,22,26606
si,sier,20,23,26059
vi,vi,21,24,25428
bli,ble,15,25,24443
seg,seg,26,26,24088
etter,etter,29,27,21980
kunne,kan,25,28,19830
jeg,jeg,28,29,19383
skulle,skal,27,30,19101
ville,vil,30,31,17719
også,også,34,32,16433
foto,foto,36,33,15142
nå,nå,37,34,14870
så,så,43,35,13903
år,år,32,36,13693
ut,ut,45,37,13687
hun,hun,41,38,13629
da,da,47,39,13403
mot,mot,49,40,12840
ha,ha,6,41,12172
dette,dette,54,42,11890
bli,blir,15,43,11522
to,to,56,44,11170
over,over,57,45,11097
ved,ved,58,46,10907
være,være,1,47,10763
mange,flere,31,48,10444
ha,hadde,6,49,10113
politi,politiet,55,50,9815
opp,opp,60,51,9781
mye,mer,33,52,9529
måtte,må,50,53,9336
være,vært,1,54,9169
få,få,22,55,8993
før,før,65,56,8769
inn,inn,66,57,8747
mene,mener,63,58,8475
mange,mange,31,59,8191
sist,siste,61,60,8132
bli,bli,15,61,8014
annen,andre,44,62,7902
få,fikk,22,63,7787
noen,noen,59,64,7672
få,får,22,65,7656
sin,sin,39,66,7611
du,du,64,67,7523
eller,eller,70,68,7442
når,når,71,69,7397
her,her,72,70,7262
denne,denne,73,71,7258
enn,enn,74,72,7068
selv,selv,75,73,7060
man,man,76,74,6992
dag,dag,51,75,6859
der,der,78,76,6848
under,under,81,77,6619
bare,bare,82,78,6353
mye,mye,33,79,6153
tre,tre,83,80,6042
første,første,90,81,5798
komme,kommer,38,82,5728
ifølge,ifølge,95,83,5632
ny,nye,46,84,5622
tidlig,tidligere,79,85,5602
siden,siden,98,86,5359
all,alle,80,87,5255
se,se,52,88,5147
blant,blant,102,89,5108
bli,blitt,15,90,5107
hva,hva,103,91,5071
distriktsnyhet,distriktsnyheter,104,92,5025
gå,gå,40,93,4964
ta,ta,42,94,4940
krone,kroner,105,95,4877
hel,hele,62,96,4850
norsk,norske,68,97,4828
noe,noe,106,98,4804
vi,oss,21,99,4786
kunne,kunne,25,100,4775
både,både,107,101,4735
mellom,mellom,108,102,4732
komme,kom,38,103,4701
få,fått,22,104,4696
hvor,hvor,110,105,4630
de,dem,14,106,4605
slik,slik,89,107,4547
stor,store,48,108,4542
gå,går,40,109,4539
hel,helt,62,110,4524
rundt,rundt,114,111,4493
ny,ny,46,112,4456
ingen,ingen,115,113,4436
gang,gang,77,114,4219
igjen,igjen,122,115,4201
skulle,skulle,27,116,4195
sin,sine,39,117,4138
litt,litt,126,118,4132
tro,tror,93,119,4063
