Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
w,w,0,0,168442
na,na,1,1,90796
i,i,4,2,81444
z,z,2,3,77783
się,się,5,4,65627
do,do,6,5,51252
nie,nie,8,6,43866
że,że,10,7,40315
to,to,7,8,35113
być,jest,3,9,29087
o,o,13,10,26884
a,a,16,11,19386
po,po,17,12,17775
jak,jak,18,13,17543
od,od,19,14,17085
dla,dla,20,15,14380
przez,przez,22,16,13666
za,za,25,17,12783
ale,ale,26,18,11555
być,są,3,19,11521
rok,roku,14,20,11329
co,co,23,21,11089
już,już,28,22,10024
być,będzie,3,23,10022
oraz,oraz,29,24,9446
mieć,ma,15,25,9164
który,które,11,26,8975
czy,czy,31,27,8535
też,też,36,28,7842
także,także,39,29,7643
z,ze,2,30,7561
który,który,11,31,7232
jednak,jednak,43,32,7117
on,jego,9,33,6592
tylko,tylko,49,34,6437
ten,tym,12,35,6313
tak,tak,52,36,6248
móc,może,21,37,6191
to,tym,7,38,6126
przed,przed,42,39,6108
on,ich,9,40,5813
przy,przy,54,41,5730
również,również,56,42,5608
pod,pod,57,43,5588
być,był,3,44,5518
bardzo,bardzo,30,45,5418
on,jej,9,46,5370
być,być,3,47,5355
rok,lat,14,48,5336
być,było,3,49,5240
można,można,60,50,5211
ten,tej,12,51,5131
ten,tego,12,52,4689
jeszcze,jeszcze,72,53,4607
ukraina,ukrainy,33,54,4532
by,by,75,55,4464
który,która,11,56,4456
być,będą,3,57,4440
ten,ten,12,58,4436
złoty,zł,50,59,4376
bo,bo,77,60,4319
podczas,podczas,81,61,4237
osoba,osób,34,62,4212
lub,lub,86,63,4016
rok,r,14,64,3831
ponad,ponad,95,65,3721
w,we,0,66,3681
gdzie,gdzie,98,67,3680
zostać,został,24,68,3677
być,była,3,69,3672
jako,jako,99,70,3659
aby,aby,102,71,3574
nawet,nawet,104,72,3535
który,którzy,11,73,3512
to,tego,7,74,3426
powiedzieć,powiedział,65,75,3401
gdy,gdy,111,76,3361
móc,mogą,21,77,3313
ten,te,12,78,3305
nad,nad,113,79,3296
mieć,mają,15,80,3287
on,nich,9,81,3110
teraz,teraz,123,82,3063
siebie,sobie,64,83,2983
jeśli,jeśli,126,84,2981
bez,bez,127,85,2959
on,go,9,86,2929
ten,tych,12,87,2906
według,według,129,88,2884
kiedy,kiedy,132,89,2870
miejsce,miejsce,41,90,2851
który,których,11,91,2767
niż,niż,142,92,2727
dziecko,dzieci,70,93,2692
kraj,kraju,71,94,2618
tysiąc,tys,76,95,2588
wiele,wiele,66,96,2587
tam,tam,148,97,2554
kilka,kilka,89,98,2540
miasto,miasta,58,99,2528
mieć,miał,15,100,2527
my,nas,55,101,2525
być,były,3,102,2512
procent,proc,106,103,2497
który,którym,11,104,2486
mówić,mówi,53,105,2450
wcześnie,wcześniej,151,106,2428
dwa,dwa,51,107,2413
więc,więc,162,108,2397
czyli,czyli,169,109,2304
czas,czas,37,110,2303
osoba,osoby,34,111,2299
wszystko,wszystko,100,112,2281
praca,pracy,68,113,2276
około,około,97,114,2255
wiele,wielu,66,115,2253
trzeba,trzeba,178,116,2242
czas,czasie,37,117,2232
milion,mln,103,118,2228
ukraina,ukrainie,33,119,2189
żeby,żeby,182,120,2186
zostać,została,24,121,2165
raz,raz,63,122,2128
dwa,dwóch,51,123,2123
sprawa,sprawie,59,124,2121
dzień,dni,45,125,2118
jeden,jeden,32,126,2106
taki,takie,38,127,2089
dojść,doszło,144,128,2054
dziś,dziś,193,129,2049
między,między,195,130,2033
obecnie,obecnie,198,131,2014
rosja,rosji,149,132,1990
pierwszy,pierwszy,40,133,1987
swój,swoje,27,134,1976
inny,innych,48,135,1969
u,u,208,136,1966
prezydent,prezydent,93,137,1960
dzięki,dzięki,209,138,1957
dodać,dodał,114,139,1951
więcej,więcej,211,140,1950
on,je,9,141,1947
mieć,mamy,15,142,1943
ten,ta,12,143,1941
dom,domu,108,144,1901
który,której,11,145,1899
trzy,trzy,116,146,1878
my,nam,55,147,1874
właśnie,właśnie,231,148,1859
sposób,sposób,155,149,1857
początek,początku,156,150,1847
dlatego,dlatego,236,151,1837
on,mu,9,152,1835
dzień,dzień,45,153,1829
miejsce,miejscu,41,154,1805
mecz,meczu,83,155,1789
on,on,9,156,1786
wszystek,wszystkich,85,157,1784
świat,świata,91,158,1781
poinformować,poinformował,107,159,1778
wojna,wojny,92,160,1763
sobota,sobotę,205,161,1757
jaki,jakie,79,162,1735
wśród,wśród,256,163,1728
bardzo,bardziej,30,164,1725
późno,później,232,165,1716
on,nim,9,166,1705
czas,czasu,37,167,1704
wszystek,wszystkie,85,168,1692
centrum,centrum,253,169,1671
piątek,piątek,230,170,1667
warto,warto,266,171,1667
jeden,jednym,32,172,1652
tu,tu,270,173,1649
który,którego,11,174,1646
natomiast,natomiast,272,175,1644
związek,związku,168,176,1644
dzień,dnia,45,177,1641
zostać,zostały,24,178,1630
zostać,zostanie,24,179,1628
ten,to,12,180,1625
on,ją,9,181,1623
niedziela,niedzielę,218,182,1619
swój,swoich,27,183,1614
rok,rok,14,184,1605
aż,aż,286,185,1593
ulica,ul,109,186,1589
choć,choć,289,187,1574
należeć,należy,188,188,1573
ramy,ramach,285,189,1560
życie,życia,96,190,1554
materiał,materiał,190,191,1541
mówić,mówił,53,192,1527
poniedziałek,poniedziałek,259,193,1525
uwaga,uwagę,189,194,1522
czwartek,czwartek,282,195,1511
rok,latach,14,196,1511
on,im,9,197,1510
kolejny,kolejne,61,198,1507
złoty,złotych,50,199,1501
sytuacja,sytuacji,101,200,1494
część,część,117,201,1494
udział,udział,160,202,1490
mieszkaniec,mieszkańców,125,203,1477
wtorek,wtorek,288,204,1473
bardzo,najbardziej,30,205,1472
coraz,coraz,314,206,1459
strona,strony,90,207,1456
życie,życie,96,208,1455
polski,polskiego,44,209,1454
środa,środę,291,210,1449
mieć,miała,15,211,1446
nowy,nowe,35,212,1442
człowiek,ludzi,84,213,1438
około,ok,97,214,1431
pomoc,pomocy,121,215,1429
przypadek,przypadku,173,216,1425
temu,temu,328,217,1414
policja,policji,134,218,1405
mężczyzna,mężczyzna,122,219,1405
wobec,wobec,329,220,1402
dzisiaj,dzisiaj,331,221,1400
wtedy,wtedy,332,222,1400
oryginalny,oryginalny,293,223,1389
szef,szef,194,224,1388
dobrze,dobrze,139,225,1381
część,części,117,226,1375
zdanie,zdaniem,262,227,1371
każdy,każdy,88,228,1366
swój,swoim,27,229,1361
wynikać,wynika,265,230,1361
zawsze,zawsze,338,231,1360
obrona,obrony,258,232,1356
kolej,kolei,313,233,1351
taki,takich,38,234,1330
dwa,dwie,51,235,1329
siebie,siebie,64,236,1329
kilka,kilku,89,237,1329
stan,stanie,137,238,1328
on,niego,9,239,1326
godzina,godz,82,240,1324
chcieć,chce,74,241,1324
często,często,180,242,1323
kto,kto,227,243,1320
mecz,mecz,83,244,1319
rosyjski,rosyjskie,47,245,1317
swój,swoją,27,246,1312
koniec,koniec,118,247,1308
