Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,1,0,292772
o,o,0,1,182944
o,a,0,2,156959
e,e,3,3,146130
que,que,6,4,133018
de o,do,2,5,108576
de o,da,2,6,94307
em,em,8,7,89599
para,para,9,8,79302
com,com,10,9,67238
em o,no,4,10,66057
em o,na,4,11,56446
um,um,7,12,53597
o,os,0,13,49119
um,uma,7,14,45757
a,a,12,15,43884
ser,é,5,16,42164
não,não,14,17,39076
por,por,15,18,36532
o,as,0,19,35156
se,se,19,20,28487
ser,foi,5,21,27652
mais,mais,20,22,27454
a o,ao,11,23,26757
de o,dos,2,24,26116
como,como,21,25,22675
de o,das,2,26,19526
mas,mas,26,27,16463
a o,à,11,28,16134
também,também,27,29,16104
ser,ser,5,30,14735
por o,pelo,17,31,14557
já,já,30,32,14348
por o,pela,17,33,13989
ano,anos,22,34,13109
ele,ele,23,35,12931
ou,ou,37,36,12356
estar,está,16,37,12139
ter,tem,13,38,11774
ainda,ainda,39,39,11491
até,até,40,40,11354
ser,são,5,41,10832
sobre,sobre,42,42,10793
seu,sua,18,43,10708
seu,seu,18,44,10496
dia,dia,31,45,9669
em o,nos,4,46,9246
segundo,segundo,41,47,9215
ser,foram,5,48,9017
entre,entre,48,49,8951
muito,muito,33,50,8890
ano,ano,22,51,8861
em o,nas,4,52,8750
isso,isso,49,53,8709
pessoa,pessoas,44,54,8270
quando,quando,52,55,7899
dizer,disse,32,56,7791
após,após,53,57,7746
a o,aos,11,58,7717
ter,ter,13,59,7414
a o,às,11,60,7368
poder,pode,24,61,7218
haver,há,34,62,7016
ir,vai,28,63,6899
além,além,59,64,6761
eu,eu,43,65,6636
ser,será,5,66,6565
estar,estão,16,67,6315
dois,dois,46,68,6279
mesmo,mesmo,51,69,6170
presidente,presidente,66,70,6166
sem,sem,73,71,5887
em este,nesta,45,72,5886
todo,todos,29,73,5747
contra,contra,79,74,5583
governo,governo,72,75,5570
durante,durante,82,76,5321
fazer,fazer,25,77,5281
saúde,saúde,86,78,5226
depois,depois,89,79,5210
ela,ela,69,80,5208
você,você,76,81,5187
acordo,acordo,84,82,5121
estado,estado,71,83,5082
país,país,61,84,4975
grande,grande,38,85,4913
hoje,hoje,93,86,4868
desde,desde,94,87,4868
esse,esse,35,88,4831
casa,casa,85,89,4766
tempo,tempo,87,90,4720
esse,essa,35,91,4697
