Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,0,0,298988
în,în,2,1,153485
avea,a,1,2,122235
la,la,5,3,107123
și,și,6,4,96116
din,din,7,5,70528
cu,cu,8,6,70486
să,să,9,7,66587
care,care,10,8,61261
pe,pe,12,9,60349
pentru,pentru,13,10,55335
nu,nu,14,11,54510
avea,au,1,12,53902
un,o,4,13,53127
mai,mai,15,14,52954
că,că,16,15,51265
un,un,4,16,50913
sine,se,17,17,41561
fi,este,3,18,39489
fi,fost,3,19,35733
al,a,11,20,33329
şi,şi,20,21,33103
ce,ce,21,22,27069
ca,ca,22,23,24358
fi,fi,3,24,22744
vrea,va,18,25,21539
fi,sunt,3,26,20845
a,a,30,27,19181
al,al,11,28,19066
si,si,36,29,17281
său,sa,26,30,15973
dar,dar,37,31,15059
avea,ar,1,32,14866
in,in,38,33,14746
avea,am,1,34,13714
după,după,40,35,13315
vrea,vor,18,36,13207
iar,iar,42,37,13177
sau,sau,44,38,12931
an,ani,25,39,12831
fi,e,3,40,11452
lui,lui,31,41,10745
acest,acest,23,42,9949
prin,prin,50,43,9653
dacă,dacă,49,44,9352
avea,are,1,45,8650
cum,cum,55,46,8460
dintre,dintre,56,47,8382
când,când,57,48,8165
mult,mult,35,49,7624
doar,doar,61,50,7549
despre,despre,62,51,7545
putea,poate,24,52,7401
până,până,64,53,7373
timp,timp,48,54,7354
mare,mare,43,55,7334
al,ale,11,56,7260
trebui,trebuie,47,57,7094
mult,multe,35,58,6773
acum,acum,68,59,6734
el,el,19,60,6656
el,le,19,61,6617
eu,ne,28,62,6560
acest,această,23,63,6466
doi,două,39,64,6311
tot,toate,32,65,6285
foarte,foarte,71,66,6276
spune,spus,41,67,6237
peste,peste,72,68,6177
tot,tot,32,69,6133
un,unui,4,70,6033
cel,cel,34,71,5986
face,face,33,72,5832
fi,fie,3,73,5641
chiar,chiar,81,74,5514
leu,lei,78,75,5508
potrivit,potrivit,79,76,5465
putea,putea,24,77,5451
el,o,19,78,5403
declara,declarat,76,79,5361
putea,pot,24,80,5287
avea,avea,1,81,5281
acesta,asta,29,82,5238
acela,cei,27,83,5229
eu,noi,28,84,5212
cel,cele,34,85,5176
astfel,astfel,87,86,5159
avea,avut,1,87,5088
unde,unde,90,88,5021
bine,bine,93,89,4987
lui,lor,31,90,4841
un,unei,4,91,4799
loc,loc,51,92,4794
fără,fără,98,93,4750
fi,era,3,94,4735
acesta,acesta,29,95,4693
fi,fiind,3,96,4631
lună,luni,54,97,4582
către,către,103,98,4568
face,făcut,33,99,4553
asemenea,asemenea,105,100,4478
însă,însă,106,101,4458
nici,nici,108,102,4445
cât,cât,92,103,4405
între,între,109,104,4403
parte,parte,65,105,4338
alt,alte,58,106,4049
acela,ceea,27,107,3986
atunci,atunci,118,108,3961
an,anul,25,109,3897
tu,te,45,110,3874
trei,trei,102,111,3823
el,ei,19,112,3803
doi,doi,39,113,3790
zi,zile,46,114,3764
spune,spune,41,115,3751
acest,aceste,23,116,3751
sub,sub,124,117,3711
persoană,persoane,69,118,3676
el,îi,19,119,3611
milion,milioane,120,120,3555
decât,decât,128,121,3533
an,an,25,122,3476
cadru,cadrul,123,123,3443
avea,ai,1,124,3436
prim,prima,52,125,3363
unul,unul,60,126,3357
euro,euro,138,127,3325
zi,zi,46,128,3269
sine,își,17,129,3269
acesta,aceasta,29,130,3265
atât,atât,129,131,3196
așa,așa,147,132,3185
lucru,lucru,88,133,3161
exista,există,96,134,3145
spre,spre,156,135,3115
fiecare,fiecare,133,136,3104
nou,nou,53,137,3102
său,său,26,138,3078
cel,cea,34,139,3077
încă,încă,160,140,3068
ucraină,ucrainei,134,141,3045
el,ea,19,142,3038
lui,ei,31,143,3021
el,îl,19,144,3010
un,unor,4,145,3000
acela,cele,27,146,2996
eu,eu,28,147,2949
avea,avem,1,148,2933
asupra,asupra,171,149,2910
urmă,urma,89,150,2846
acesta,acestea,29,151,2846
al,ai,11,152,2845
timp,timpul,48,153,2799
aproape,aproape,176,154,2790
mare,mari,43,155,2780
ajunge,ajuns,80,156,2777
