Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
и,и,1,0,136335
в,в,0,1,135476
на,на,2,2,66735
не,не,3,3,60687
с,с,5,4,43966
что,что,4,5,43644
по,по,8,6,28377
для,для,9,7,24237
как,как,10,8,23791
это,это,7,9,23015
а,а,12,10,22236
но,но,13,11,20441
из,из,15,12,19740
к,к,14,13,19529
то,то,16,14,19083
я,я,18,15,16774
от,от,19,16,16603
он,он,11,17,15381
за,за,24,18,15336
о,о,25,19,13466
у,у,26,20,12931
так,так,27,21,12299
или,или,28,22,11965
если,если,33,23,10740
же,же,35,24,9915
мы,мы,36,25,9699
только,только,37,26,9470
вы,вы,40,27,8560
до,до,41,28,8447
при,при,42,29,8437
она,она,31,30,8416
они,они,29,31,8118
можно,можно,43,32,7848
все,все,44,33,7848
бы,бы,46,34,7489
чтобы,чтобы,47,35,7487
уже,уже,48,36,7420
мочь,может,23,37,7324
когда,когда,49,38,7279
было,было,50,39,7253
его,его,51,40,7187
он,его,11,41,7078
весь,все,20,42,7069
быть,есть,6,43,6703
очень,очень,54,44,6669
быть,будет,6,45,6152
быть,был,6,46,6138
время,время,39,47,6120
ещё,еще,45,48,5925
даже,даже,63,49,5569
которые,которые,64,50,5552
также,также,65,51,5509
год,года,22,52,5457
в,во,0,53,5428
быть,быть,6,54,5418
более,более,66,55,5385
после,после,67,56,5157
мне,мне,70,57,4954
меня,меня,73,58,4782
со,со,74,59,4781
их,их,76,60,4602
вот,вот,77,61,4567
себя,себя,38,62,4560
кто,кто,56,63,4517
ты,ты,81,64,4443
просто,просто,85,65,4254
того,того,88,66,4237
где,где,89,67,4197
быть,была,6,68,4176
нет,нет,90,69,4156
этот,этот,17,70,4098
под,под,94,71,4083
который,который,95,72,4067
ли,ли,101,73,3827
это,этом,7,74,3814
сейчас,сейчас,102,75,3772
они,их,29,76,3746
были,были,103,77,3734
без,без,104,78,3712
раз,раз,87,79,3614
ни,ни,106,80,3561
год,году,22,81,3514
год,лет,22,82,3494
больше,больше,108,83,3440
это,этого,7,84,3393
вам,вам,111,85,3369
нужный,нужно,68,86,3347
чем,чем,114,87,3337
них,них,115,88,3316
