Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
biti,je,0,0,204416
v,v,1,1,170010
in,in,2,2,126578
na,na,3,3,103753
za,za,5,4,79525
biti,so,0,5,77536
da,da,6,6,76451
se,se,4,7,75726
ki,ki,8,8,57559
pa,pa,11,9,49887
tudi,tudi,12,10,45166
z,z,7,11,41168
po,po,13,12,34516
z,s,7,13,34146
biti,bo,0,14,33148
še,še,14,15,30489
ne,ne,15,16,30421
kot,kot,16,17,30018
biti,bi,0,18,27673
od,od,19,19,21638
biti,ni,0,20,20462
ta,to,9,21,19216
pri,pri,21,22,18577
že,že,22,23,18413
do,do,24,24,18223
lahko,lahko,23,25,17880
biti,bodo,0,26,17587
iz,iz,26,27,17202
tako,tako,28,28,16748
o,o,30,29,16584
med,med,29,30,16570
ko,ko,31,31,15253
več,več,34,32,13627
ali,ali,35,33,13477
zaradi,zaradi,37,34,13306
on,jih,10,35,13044
ob,ob,38,36,12956
ta,tem,9,37,12941
kar,kar,36,38,11846
pred,pred,39,39,11762
biti,bil,0,40,11672
on,ga,10,41,11502
biti,bilo,0,42,10593
biti,smo,0,43,10531
a,a,45,44,10500
naj,naj,49,45,9688
biti,sem,0,46,9460
če,če,50,47,9346
ves,vse,18,48,9156
leto,leta,17,49,9041
biti,bila,0,50,8976
biti,sta,0,51,8972
sicer,sicer,53,52,8672
se,si,4,53,8444
le,le,55,54,8372
saj,saj,58,55,7861
danes,danes,59,56,7733
ter,ter,62,57,7548
nekaj,nekaj,61,58,7511
zato,zato,70,59,7004
ta,ta,9,60,6813
on,jo,10,61,6812
zelo,zelo,71,62,6651
zdaj,zdaj,74,63,6399
kjer,kjer,75,64,6354
ker,ker,76,65,6301
ta,tega,9,66,6074
človek,ljudi,46,67,5839
bolj,bolj,81,68,5737
biti,niso,0,69,5475
prav,prav,82,70,5425
evro,evrov,80,71,5405
proti,proti,85,72,5376
kako,kako,86,73,5324
vedno,vedno,90,74,5145
biti,bili,0,75,5051
kaj,kaj,94,76,4723
glede,glede,100,77,4673
brez,brez,104,78,4620
imeti,ima,20,79,4554
iti,gre,66,80,4392
veliko,veliko,109,81,4386
biti,bomo,0,82,4236
okužba,okužb,56,83,4152
k,k,112,84,4081
prvi,prvi,43,85,3992
jaz,nas,32,86,3970
on,mu,10,87,3957
drug,drugi,27,88,3903
ves,vseh,18,89,3874
svoj,svoje,33,90,3826
dan,dan,41,91,3821
namreč,namreč,125,92,3786
najbolj,najbolj,127,93,3773
čas,času,48,94,3715
dejati,dejal,99,95,3647
treba,treba,134,96,3605
predvsem,predvsem,135,97,3594
samo,samo,126,98,3573
ves,vsi,18,99,3459
pod,pod,138,100,3445
skupaj,skupaj,139,101,3427
potem,potem,140,102,3399
jaz,mi,32,103,3380
delo,delo,63,104,3368
leto,let,17,105,3355
leto,leto,17,106,3323
koronavirus,koronavirusa,57,107,3316
manj,manj,144,108,3307
nato,nato,151,109,3238
vlada,vlada,69,110,3235
število,število,101,111,3199
koronavirus,koronavirusom,57,112,3197
letos,letos,157,113,3193
oziroma,oziroma,158,114,3190
on,jim,10,115,3189
dan,dni,41,116,3110
ta,te,9,117,3093
imeti,imajo,20,118,3065
stran,strani,121,119,3062
odstotek,odstotkov,95,120,3052
okoli,okoli,169,121,2999
vendar,vendar,170,122,2991
zadnji,zadnjih,65,123,2959
jaz,nam,32,124,2945
nov,novega,25,125,2944
dva,dva,54,126,2924
predsednik,predsednik,96,127,2884
epidemija,epidemije,108,128,2868
trije,tri,83,129,2847
država,države,44,130,2830
nov,novih,25,131,2814
potrditi,potrdili,115,132,2810
leto,letih,17,133,2803
čas,čas,48,134,2795
del,del,106,135,2755
delo,dela,63,136,2738
svet,svetu,79,137,2694
praviti,pravi,128,138,2677
ta,teh,9,139,2640
nov,novim,25,140,2622
skoraj,skoraj,198,141,2620
povedati,povedal,92,142,2596
dva,dve,54,143,2595
ampak,ampak,199,144,2587
kljub,kljub,200,145,2582
drug,drugim,27,146,2561
biti,biti,0,147,2558
ukrep,ukrepov,67,148,2531
drug,drugih,27,149,2525
nad,nad,203,150,2518
lani,lani,205,151,2482
čeprav,čeprav,207,152,2470
vlada,vlade,69,153,2452
slovenski,slovenski,52,154,2405
naprej,naprej,216,155,2377
poleg,poleg,218,156,2362
imeti,imeli,20,157,2345
medtem,medtem,223,158,2337
trenutno,trenutno,226,159,2325
dobro,dobro,132,160,2308
konec,konec,73,161,2306
čas,časa,48,162,2293
človek,ljudje,46,163,2277
vsak,vsak,91,164,2272
država,državi,44,165,2269
vsaj,vsaj,231,166,2255
drug,druge,27,167,2255
doslej,doslej,232,168,2251
okužba,okužbe,56,169,2241
dva,dveh,54,170,2234
seveda,seveda,237,171,2230
pomeniti,pomeni,183,172,2212
svoj,svojo,33,173,2208
zdravje,zdravje,184,174,2189
nov,novo,25,175,2184
morati,morali,47,176,2172
teden,teden,77,177,2168
celo,celo,242,178,2156
znova,znova,243,179,2155
