Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,1,0,458595
el,la,0,1,270800
el,el,0,2,223672
que,que,2,3,210858
en,en,3,4,205524
y,y,4,5,166619
a,a,7,6,142735
el,los,0,7,104697
él,se,5,8,88566
del,del,9,9,83438
uno,un,6,10,75394
el,las,0,11,71711
con,con,10,12,70923
por,por,11,13,69634
para,para,14,14,62844
uno,una,6,15,60100
no,no,16,16,50723
su,su,12,17,47955
ser,es,8,18,46067
al,al,17,19,40825
él,lo,5,20,33546
más,más,20,21,30495
como,como,21,22,27588
haber,ha,13,23,26819
este,este,15,24,23886
su,sus,12,25,17653
pero,pero,29,26,16433
ser,fue,8,27,15511
este,esta,15,28,14476
también,también,32,29,14327
o,o,33,30,14106
año,años,24,31,12553
desde,desde,34,32,12492
ya,ya,36,33,11852
él,le,5,34,11640
entre,entre,37,35,11357
estar,está,18,36,11162
sin,sin,39,37,11025
si,si,40,38,10951
sobre,sobre,41,39,10881
haber,han,13,40,10645
ser,son,8,41,9923
dos,dos,46,42,9864
todo,todo,23,43,9534
hasta,hasta,47,44,9111
haber,hay,13,45,9101
ser,ser,8,46,8959
cuando,cuando,49,47,8913
mucho,muy,27,48,8840
año,año,24,49,8230
parte,parte,48,50,8223
tener,tiene,19,51,8194
persona,personas,45,52,7818
durante,durante,54,53,7425
además,además,56,54,7358
porque,porque,57,55,7188
decir,dijo,31,56,7166
donde,donde,63,57,7048
yo,me,26,58,7022
así,así,64,59,7015
todo,todos,23,60,7009
país,país,50,61,6643
según,según,67,62,6427
poder,puede,22,63,6306
yo,nos,26,64,6245
contra,contra,69,65,6174
uno,uno,6,66,6049
día,día,42,67,5999
tras,tras,73,68,5932
ese,ese,28,69,5881
estar,están,18,70,5801
después,después,79,71,5637
solo,solo,71,72,5531
vez,vez,61,73,5493
ese,eso,28,74,5458
millón,millones,74,75,5441
hacer,hace,25,76,5421
presidente,presidente,84,77,5357
ahora,ahora,87,78,5299
ser,sido,8,79,5296
cada,cada,88,80,5262
momento,momento,70,81,5182
tiempo,tiempo,76,82,5138
tres,tres,91,83,5120
este,esto,15,84,5040
ante,ante,96,85,5038
e,e,103,86,4887
día,días,42,87,4844
otro,otros,30,88,4796
qué,qué,105,89,4777
gran,gran,107,90,4748
hacer,hacer,25,91,4745
ciudad,ciudad,83,92,4736
vida,vida,95,93,4710
haber,había,13,94,4681
primero,primera,35,95,4628
lugar,lugar,86,96,4589
tanto,tanto,55,97,4545
este,estos,15,98,4489
mientras,mientras,112,99,4475
quien,quien,65,100,4440
nacional,nacional,98,101,4370
ese,esa,28,102,4360
otro,otro,30,103,4330
ser,era,8,104,4309
mismo,mismo,60,105,4306
hoy,hoy,117,106,4286
caso,caso,66,107,4274
mundo,mundo,115,108,4273
antes,antes,119,109,4247
trabajo,trabajo,100,110,4207
nuevo,nuevo,43,111,4136
bien,bien,113,112,4112
aunque,aunque,121,113,4099
ser,será,8,114,4078
ser,fueron,8,115,4072
estado,estado,109,116,4048
luego,luego,127,117,4046
menos,menos,129,118,4004
hora,horas,78,119,3979
primero,primer,35,120,3968
mejor,mejor,90,121,3953
pasado,pasado,102,122,3917
partido,partido,81,123,3899
mi,mi,106,124,3894
ni,ni,136,125,3848
semana,semana,89,126,3847
equipo,equipo,93,127,3845
mucho,mucho,27,128,3842
tener,tener,19,129,3814
manera,manera,137,130,3689
forma,forma,124,131,3672
gobierno,gobierno,123,132,3614
tener,tienen,19,133,3590
embargo,embargo,148,134,3585
tú,te,104,135,3573
mayor,mayor,108,136,3548
salud,salud,151,137,3515
siempre,siempre,152,138,3479
él,les,5,139,3455
poder,poder,22,140,3440
él,la,5,141,3434
ir,va,38,142,3354
seguridad,seguridad,163,143,3319
cómo,cómo,164,144,3310
acuerdo,acuerdo,142,145,3308
través,través,173,146,3237
este,estas,15,147,3227
nuevo,nueva,43,148,3213
poder,pueden,22,149,3185
él,ellos,5,150,3177
casa,casa,147,151,3147
situación,situación,146,152,3145
otro,otra,30,153,3142
otro,otras,30,154,3115
alguno,algunos,58,155,3094
general,general,158,156,3090
algo,algo,186,157,3066
todo,todas,23,158,3054
mil,mil,139,159,3032
poco,poco,120,160,3028
estar,estaba,18,161,3024
él,él,5,162,3013
importante,importante,130,163,3009
ver,ver,51,164,2996
mes,meses,82,165,2955
mucho,muchos,27,166,2906
final,final,159,167,2889
centro,centro,144,168,2877
medio,medio,97,169,2819
estar,estamos,18,170,2801
grupo,grupo,138,171,2791
estar,estar,18,172,2784
cuatro,cuatro,201,173,2780
uno,unos,6,174,2773
frente,frente,197,175,2772
yo,yo,26,176,2762
policía,policía,189,177,2605
último,último,53,178,2603
gente,gente,213,179,2601
cuenta,cuenta,180,180,2593
ser,sea,8,181,2575
nivel,nivel,168,182,2574
zona,zona,156,183,2574
caso,casos,66,184,2571
social,sociales,101,185,2568
deber,debe,52,186,2563
hecho,hecho,132,187,2562
proyecto,proyecto,145,188,2562
hacer,hizo,25,189,2553
tener,tenemos,19,190,2539
tipo,tipo,195,191,2525
público,público,80,192,2505
nuestro,nuestro,62,193,2496
tu,tu,172,194,2492
autoridad,autoridades,190,195,2486
fin,fin,198,196,2481
mundial,mundial,210,197,2477
mes,mes,82,198,2470
todo,toda,23,199,2467
nuestro,nuestra,62,200,2438
quien,quienes,65,201,2433
sector,sector,170,202,2412
nada,nada,236,203,2375
poder,podría,22,204,2374
información,información,218,205,2367
cual,cual,165,206,2360
junto,junto,176,207,2354
casi,casi,242,208,2350
familia,familia,153,209,2349
historia,historia,207,210,2347
social,social,101,211,2343
mujer,mujeres,111,212,2341
él,ello,5,213,2341
él,ella,5,214,2339
sino,sino,246,215,2320
total,total,232,216,2318
viernes,viernes,249,217,2311
aún,aún,252,218,2287
proceso,proceso,199,219,2283
persona,persona,45,220,2282
hacia,hacia,254,221,2281
haber,haber,13,222,2278
red,redes,149,223,2277
dentro,dentro,255,224,2277
mujer,mujer,111,225,2266
país,países,50,226,2254
programa,programa,200,227,2253
domingo,domingo,247,228,2251
empresa,empresa,118,229,2223
ley,ley,216,230,2214
incluso,incluso,266,231,2189
cambio,cambio,185,232,2188
sistema,sistema,209,233,2187
servicio,servicio,126,234,2184
varios,varios,140,235,2179
último,últimos,53,236,2176
cualquiera,cualquier,226,237,2164
dar,dar,44,238,2157
sí,sí,271,239,2153
lunes,lunes,272,240,2153
cinco,cinco,273,241,2147
decir,decir,31,242,2146
respecto,respecto,274,243,2141
bajo,bajo,179,244,2131
entonces,entonces,277,245,2126
tratar,trata,131,246,2114
mañana,mañana,281,247,2097
punto,puntos,134,248,2088
tener,tuvo,19,249,2087
mucho,muchas,27,250,2070
segundo,segundo,114,251,2063
número,número,228,252,2062
haber,hemos,13,253,2060
personal,personal,237,254,2048
tener,tenía,19,255,2048
posible,posible,215,256,2046
dato,datos,241,257,2046
cosa,cosas,212,258,2042
empresa,empresas,118,259,2042
agua,agua,240,260,2014
tanto,tan,55,261,2013
señalar,señaló,128,262,2003
dar,dio,44,263,2003
